,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X002475.SZ,X000568.SZ,X002304.SZ,X600690.SH,X600031.SH,X000725.SZ,X600104.SH,X300014.SZ,X300124.SZ,X002371.SZ,X000338.SZ,X000625.SZ,X000063.SZ,X600703.SH,X002129.SZ,X002241.SZ,X003816.SZ,X300142.SZ,X002049.SZ,X000661.SZ,X601877.SH,X000596.SZ,X000100.SZ,X002179.SZ,X600460.SH,X000157.SZ,X600702.SH,X002414.SZ,X002074.SZ,X000799.SZ,X600741.SH,X002007.SZ,X002236.SZ,X600584.SH,X600089.SH,X600779.SH,X600183.SH,X601799.SH,X000800.SZ,X600884.SH,X000733.SZ,X300146.SZ,X300003.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.260043285894132,0,0,0,0,0,0.121102098850704,0.0195815671861284,0,0,0,0,0,0.0316428530049498,0,0,0,0,0,0.0651220278765493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.00451790840262781,0,0,0.230227037799364,0.0542310666747133,0,0.118799188061269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150722831598794,0,0,0,0,-0.00595021892353969,0.0555554202583898,0,0,0,0.00297523181045257,0,0,0,-0.0823728382960692,0,0.205537033553853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0.105746701730563,0,0,0.113128558025553,0,0.106950750165231,0,0,0,0,0,0,0.0773908484103969,0,0,0,0,0,0.0749143607045748,0.0838433911773939,0,0,0.0153228076584135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0768536833847981,0,0,0,0,0,0.00322282930352354,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.261214413869108,0.0926581758919314,0,0,0,0,-0.0879834582866994,0.0296987739041921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0800577376358438,0,0,0.418829422596275,0,0,0,0,0,0.0725376473574642,0,0.0508447306508033,0,0,0,0,0,0,0,-0.0452171109699542,0.0110496564399651,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,-0.0902400850682485,0,0,0.108504461440907,0,0,0,0,0.0605608021140907,0,0,0,0,0,0,0,0,0,0,0.172946534367221,0,0,0,0,0,0.206172305572816,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,-0.110745153274451,0,0,0.130406297814789,0,0,0,0,0,0,-0.080758137827149,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0243755218874671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172271198101682,0,0,0,0,0,0,0.0564719811553955,0.0375311731041641,-0.00811729596410621,0,0,-0.0732127942971559,0,0,0,0,0,0,0,0,0,0,0.0701765292174669,0,-0.125182646331249,0,-0.00725279703152743,0,0,0,-0.015013212299109,0,-0.0302316824796701,0.0948073303601325,0,0,0,0,0,0
X002475.SZ,0,0,0,0.048124619795779,0,0,0,0,0.0325888013061966,-0.0728000765225081,0,0,0,0,0,0.00763610483275318,0,0,0,0,0,0.367065670874787,0,0,0.129698535203069,0,-0.0208180618365822,0,0,0,0.0688131914745458,0,0,0,0,0,0,0,0,0.0896051899549984,-0.164636616716366,0,0,0.222748896247345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.14306605721216,0,0.0348692332690609,0,0,0,0,0.148472947354274,0,0,0,0,0,0,-0.00658445296054447,0,0,0,0,0,0,0,0,0,0,0,0.157446813054263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130354872955366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.256612545009223,0,0,0,0.298504953234972,0,0,0,0,0,0,0,0,0,0,0.0672512183813779,0.0823627710094213,0,0,0,0.0518570760657891,0,0,0,0,0,0,0,0,0,0,0.0134558450252691,0,0,0.126586261412103,0,0,0,0,0,0,0,0,0,0,0,0.0597373086684082,0,-0.112451840695667,0,0,0,0,0,0,0
X600690.SH,0,0.10505296695489,0,0,0.21808427893232,0,0,0.0495716454409992,0.0532657121819521,0,0,0,0,0.0272912844675906,0,0,0,0,0,0,0,0,0,0,0,0.0396948890239431,0,0,0,0,0,0,0.0301952992218653,0,0,0,0,0,0,0,0,0.0463543014792025,0,0,0,0,0,0,0,0,0,-0.0704996312808277,0,0,0,0,0,0,0
