,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X002241.SZ,X002475.SZ,X000338.SZ,X600066.SH,X002236.SZ,X000100.SZ,X601877.SH,X600118.SH,X600271.SH,X000157.SZ,X002456.SZ,X300124.SZ,X600372.SH,X600177.SH,X002007.SZ,X600089.SH,X600522.SH,X002085.SZ,X000066.SZ,X002508.SZ,X000981.SZ,X300003.SZ,X600867.SH,X600699.SH,X002292.SZ,X000559.SZ,X002294.SZ,X002074.SZ,X300136.SZ,X002180.SZ,X600809.SH,X600498.SH,X002426.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.137959490544352,0,0,0,0,0,0.10884016294213,0,0,0.0423611075298985,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043445044722813,0,0,0,0,0.222292995614661,0,0,0.00560296266558951,0,-0.00977482435461502,0.000189508474837367,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379185813974099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139709195906109,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037417965165899,-0.0176030432169667,0.00728878115785597,0,0,0,0,0,0
X002415.SZ,0,0,0,0.165474727405038,0,0,0,0,0,0,0,0.0808632048968187,0,-0.0189180230404449,0,0,0,0.168004902256752,0,0.185572319062107,-0.0104353471292674,0,0,0,0,0,0,0,0,-0.0177719316610478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514448349609369,-0.045495002554,0,0,0,0,0.00295787033333295,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221841826702059,0,0,0,0,0,0.0313021132876314,0,0,-0.0650494401455268,0,0,0,0,0,0,0,0,0,0,0,0.0452327399720602,0,0,0.742812902649228,-0.149692315463392,0.0185699777071658,0.0129200705637402,0,0,0,0,0,0
X000858.SZ,0.0287967092731748,0,0,0.0744594399601886,0,0,0,0,0.132510811990614,0,0,8.67361737988404e-19,0,0.347760418749195,0.228175778256502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0332393650309557,0,-0.0554036882961479,0,0,0,-0.0542442972317668,0,0,0,0.0153737648647582,0,0.0110979532213048,0,0,0,0,0.00657269556752734,0.00116093794597033,0,0,0,0,0,0
X002304.SZ,0,0.150287917542099,0,0,0,0,0,0.00858935626464682,0,0,0,0,0,0.109814589880073,0.193564249698833,0,0,0,0,0,0.0180791505573252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166825306771452,0,0,0,0,0.00897196934008781,-0.00482316619012201,0,0,0,0,0,0
X600276.SH,0,-0.101720077432751,0,0,0,0,0,0,0,0,0,0.212455318011285,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012325924560437,0,0,0,0,0,0,0,0,0,-0.00248093730581081,0.0118391614902649,-8.67361737988404e-19,0,0,0,-0.129544374574509,0.0231511089735155,-0.00240192460645059,0,0,0,0,0,0
X000725.SZ,0,0,0,0.165713742660789,0.0485408343109072,0,0,0,0,0,0,0,0,0,0,0,-0.150234045701945,0,0,0,0.200443937913469,0,0,0,0,-0.0118431240520364,0,0,0,0,-0.0414087481916895,0,0,0,0,0,0,0,0,0.186370941263798,0.000533602599302713,0,0,0,0,0,-0.120571742054057,0,0.0627720819915179,0,-0.00895676666956812,0.00133914450230603,0,0,0,0,0,0
X000625.SZ,0,0,0,0.166564160697068,0.0569874669483869,0,0,0,0,0,0,0,0.0430132696962606,0,0.236300484939797,0,0,0,0,0,0,0,0.0348029555031493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149009765999986,0.00744101426527865,0,0,0,0,0,0
X600690.SH,0,0,0,0.20664274966599,0.0555746841106757,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399290211963319,0,0,0,0.0885734928533424,0,0,0,-0.0319989750593051,0,0,0,0,0,0,0,0,0,0,-0.0416777495336445,0,0,0,0,0,-0.0754764718371317,0.000478801727267605,0,0,0,0,0,0.000551943480376618,-0.0031882980143513,0,0,0,0,0,0
