,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X600703.SH,X000063.SZ,X600031.SH,X000568.SZ,X600741.SH,X002241.SZ,X002475.SZ,X002236.SZ,X600066.SH,X000338.SZ,X000100.SZ,X601877.SH,X002456.SZ,X600118.SH,X600271.SH,X300124.SZ,X000157.SZ,X600177.SH,X600522.SH,X600372.SH,X002085.SZ,X600089.SH,X002007.SZ,X002508.SZ,X000066.SZ,X300136.SZ,X000981.SZ,X600699.SH,X300003.SZ,X600867.SH,X002074.SZ,X002294.SZ,X600487.SH,X000559.SZ,X002180.SZ,X002292.SZ,X600498.SH,X600809.SH,X002008.SZ,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0391993880152486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449724827949757,0,0,0,0,0,0,0,0,0,0,0,0,-0.0093753090778454,0,0,0,0,0,0,0,0.0808965444746494,0.0838345721571922,0,0,0,0.161072733947706,0,0,0,-0.0148542172774551,0.00624400005608129,0,0,0,0,0,0
X600104.SH,0,0,-0.0231105314417198,0,0,0,0,0,0,0,0,0,0,0,0.38292368684256,0,0,-0.0824368052298099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171595275743541,0.00786631925485291,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.0146683492562715,0.00540789396090807,0,0,0,0,0,0
X002415.SZ,0,0,0,0.141502536874035,0,0,0,0,0,0,0.0640926661145799,0,0,0,0,0,0,0.0956981313693003,0,0.203107335077589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226635516830097,0,0,0,-0.0846576033427399,0.0760376015592299,0,0,0,-0.0153572721496202,0.00949056633951546,0,0,0,0,0,0
X000651.SZ,0,0,0.00660809120763877,0,0,0,0,0,0,0,0,0,0,0.00340781261470236,0,0,0,0,0,0.152170796163505,0,0,0.0369701665537566,0,0,0,0,0,0,0,0,0,0,0,-0.0223878241637054,0,0,0,0.123639363485331,0,0,0,0,0.168899495697131,0,0,0,0.196279473555337,0,0,-0.031198693664846,-0.00470414400445142,0.00387271005214503,0,0,0,0,0,0
X000858.SZ,0,0,0,0.137777277400527,0,0,0,0,0.0699864682220269,0,0,0,0,0.365038592533234,0,0,0,0,0.0661578743716314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945901977707591,0,0,0,0,0,0,0,0,0.0044689324379582,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.234557211310186,0,0,0,0,0,0,0,0,0.0394472181909141,0.118823276697673,0.142511851963332,0,0,0,0,0,0.0932808976616719,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165258088560846,0,0,0,0,0,0,0,0,0,0,0,0,0.125115606580742,0,0,0,-0.0058009991569541,-0.000980782764645045,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.193250998209589,0,0,0,0,0,0,-0.0312863489417346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298270994361423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0742973089752943,0.0186396251381319,0.000895272919971819,0,0,0,0,0,0
X000725.SZ,0,0,0,0.226833833639858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749416711642689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145344348068409,0,0.0409569175454772,0,0,0,0,0,-0.0185778050080386,0.00348348780373823,0,0,0,0,0,0
X000625.SZ,0,0.175096927882174,0,0.0362845520049164,0.145470552628289,0,0,0.0279184713967751,0,0,0,0,0,0,0.0645784973467448,0,0,0.159268439735814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328382247832475,0,0,0,-0.00732720068060867,0.0018349099756391,0,0,0,0,0,0
X600690.SH,-0.0109032097992014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364162571007085,0,0,0,0.124891802371957,0.0762995977865935,0,0,0.0530909612539492,0.10856847473001,0.0213882275648448,0,0,0,0,0,-0.0540534686068379,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0437346488444883,0.0137577818494068,-0.0080651492201611,0,0,0,0,0,0
