,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000625.SZ,X000063.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X600271.SH,X600703.SH,X600118.SH,X600372.SH,X002129.SZ,X000157.SZ,X000338.SZ,X000559.SZ,X600839.SH,X002241.SZ,X600741.SH,X600089.SH,X002292.SZ,X600066.SH,X600177.SH,X600582.SH,X300124.SZ,X002236.SZ,X002475.SZ,X002456.SZ,X601877.SH,X300003.SZ,X000800.SZ,X002276.SZ,X002223.SZ,X600060.SH,X000568.SZ,X600435.SH,X000016.SZ,X600166.SH,X002465.SZ,X000550.SZ,X000727.SZ,X000581.SZ,X600198.SH,X000869.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.0930257557436139,0.0624559422750968,0.112706286468115,0,0,0,0,0,0,0,0,0,0.0371565487132483,0,0,0,0,0.0390365102859537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635206330312431,0.049231600951017,0,0,0,0,0,0,0,0,0,0,0,0,0.0105012148500103,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.0816078481751518,0,0,0,0,0.0184250301869096,0.0352957985183636,0,0.0487188463982772,0,0,0,0,0.0703271572218495,0,0,0.0944916833319031,0,0,0.0387331201644824,0,0,0.0495137376951259,0,0,0,0,0,1.0842021724855e-19,0,0,0.0713888734733667,0,0,0,0,0,0,0,0,0,0,0,-0.00367887512740834,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913681045399945,0.125758215690896,0,0,0,0,0,0.0459983100755772,0,0,0.045290693396038,0,0,0,0.235886698861284,0,0,0,0,0,0,0.0164179118910628,0,0,0,0,0,0,0,0,0,0.101803174592482,0,0.0106464763431067,0,0,0,0,-0.0119587450731311,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.00302037260824061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118293770188912,0.00374578284470013,0.0140198601729648,0,0,0,0,0,0,0,0,0.0219382739165064,0,0,0,0,0,0,0,0.101809536076237,0.039122450354201,0,0,0,0,0,0,0,0,0,0,0,-0.0119870848425433,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449906051191735,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119782455845047,0,0.0398392314346408,0,0.00219581238918183,0,0.117330731279189,0.175673707084826,0.00683264660197017,0,0,0,0,0.00163833890623088,0,0,0,0,0,0,0,-0.0226792667935135,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0390592671643892,0,0.0765594179710312,0,0.0529700391718697,0.0342938924778772,0,0,0,0.0185390281541632,0,0,0,0,0,0,0,0,0,0,0.00872862566379517,0,0,0,0.0224324638065424,0,0.000408080726864268,0,0,0,0,0,0,0,0,0.21367835385512,0,0,0,0,0,0,0,0.00248904364467163,0,0,0,-0.0104210450830689,-0.00899019089781032,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.0712549369370183,0,0,0,0,0.0243945972766522,0.124590338438983,0,0.0664560742444311,0,0,0,0,0,0,0,0,0,0,0.0246432275904888,0,0,0.105883786852615,0,0,0,0,0,0,0,0.0316884886282395,0.0505307635447413,0,0,0,0,0,0,0,0.0600306951065592,0,0.0362081507437689,0,-0.00576422220053337,-0.0128137531471814,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.132288357386277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294541453100917,0.0165001073191983,0,0.0522722881487842,0.0430489060130981,0,0,-3.46944695195361e-18,0.0215963303881861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213672471950919,0.0221050589560056,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744594777995037,0,0.0829186483059247,0,0.00198167440130048,0.0191810241942307,0,0.0863393386205739,0.0673259438567226,0,0,0.116918361515422,0,0,0,0,0,0,0,0,0,0,0.0373172243351491,0,0,0,0,0,0,0,0,0,0,0.226656666562684,0,-0.0141838570342171,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0.0404404055149236,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.221762844084171,0,0.0206437976926739,0,0,0,0.0955536518970079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562084550719591,0,0,0,0,0,0,0,0,0.0717080325099005,0,0,0,-0.0207037769728224,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761766376822522,0,0,0,0,0,0,0,0.0840955135506404,0,0,0,0,0,0.0602840572972455,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0707341436712403,0,0,0,0,0.054228693736836,0,0,0,0.0828799310138515,0,0.0606929447813605,0,-0.00289959503244104,-0.00669514559987135,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.110144372353028,0,0,0,0.0366386884935388,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.218523636285911,0,0,0,0,0,0.0963011919207426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110944355910205,0.00591354655389728,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0.123910315329469,0,0,0,0,0,0,0,0,0,0.165822645892642,0,0,0.0755268476911851,0,0.00701531419730364,0.184995827480424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000410521889281036,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0.116157223492575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244726162187305,0,0,0,0,0,0,0,0,0,0.219616369112947,0.00211093835918603,0.0314448943358256,0,0,-0.0103176494635703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249321608159896,-0.0183629945822714,0,0,0,0,0,0
X600703.SH,0,0,0.00470674553121574,0,0,0,0,0,0,0.0379777503872726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151660571608783,0.0551226515760212,0,0,0,0,0,0,0,0,0,0,0.00195959791084741,0.0763307191304021,0,0,0,0,0,0.090244563639156,0,0,0,0,-0.0168275064311166,0,0,0,0,0,0
X600118.SH,0,0,0.0547175254138137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382828341047617,0,0,0,0,0,0,0,0,0,0,0,0,0.110601818501291,0,0,0,0,0,0,0,0,0,0,0.183961201706151,0,0,0.0638802303459234,0,0.0473170105999107,0,0,0,0,0,8.67361737988404e-19,0.0105219966151864,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0.103857776226655,0,0,0,0,0.0457202210696716,0,0,0,0,0,0,0,0,0,0,0.135097643948943,0,0,0,0.0374170161995568,0,0.0504650712453498,0,0,0,0,0,0.0937810336959431,0,0,0,0.130438653411468,0,0,0.161548225112546,0,0,0,0,0,0,0,-0.00272872880751949,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0.0882752706702879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225192961197445,0,0.310084962638911,0,0.00527043168397727,0,0,0,0,0,0.0721636962144165,0,0,0,0,0,0.064908670095471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133599875124016,0,0,0,0,0,0,0
