,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X000725.SZ,X300124.SZ,X600031.SH,X002371.SZ,X002129.SZ,X003816.SZ,X300014.SZ,X000063.SZ,X002241.SZ,X002049.SZ,X000338.SZ,X600703.SH,X000596.SZ,X601877.SH,X002179.SZ,X000625.SZ,X600460.SH,X600089.SH,X000100.SZ,X600741.SH,X300142.SZ,X000661.SZ,X002180.SZ,X002074.SZ,X600702.SH,X000157.SZ,X600522.SH,X600884.SH,X000733.SZ,X002236.SZ,X000799.SZ,X002414.SZ,X002008.SZ,X600584.SH,X000977.SZ,X600779.SH,X002007.SZ,X600563.SH,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.475971356986337,0,0,0.0602998046161851,0,0,0.132930038215186,0,0,0,0,0,0,0,0.00215599899460689,0,0,0,0,0,0,0,0.0782070783907796,0,0,0,0,0,0,0,0.0013142257562988,0,0,0,0.0772967575561175,0,0,0,0,0,0,0,0,0,0,0,0,-0.0205345422969355,0,0,0,-0.0168493221998069,0,0,0,0,0,0
X000858.SZ,0.112707609927599,0,0,0,0.206599834012762,0.0416729712703558,0,0.0358451958273499,0.0107781372597978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793234671713492,0,0,0,0,0,0,0,0,0,0,0,0,0.125894568063936,0,0,0,0,0,0.0487413533948465,0,0,0,0,0,0,0,0,0,0,0.00734028259591696,0,0,0,0,0,0
X002415.SZ,0,0.0639274592099385,0,0,0,0.0828542867564986,0,0,0,0,0,0,0.0634767272423175,0,0,0,0,0,0,0,0,0,0,-0.0371866673262921,0,0,0,0,0,0,0,-0.0556582898953129,0,0,0,0,0,0,0,0.0280738850027798,0,0,0,0,0,0.145701950080712,0.0402956537743635,0,0,0,0,0,0.00242940079859743,0,0,0,-8.67361737988404e-19,0,0
X600809.SH,0,0,0,0,0.195203478602237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897706590226822,-0.21288622851471,0,0.000262038695369141,0,-0.0627288108591263,0,0,0,0,0,-0.0801263694646124,0,0,0,0,0,-0.00825456739475588,0,0,0,0.129512858321159,0,0,0,0,0.153923049566612,-0.044283351225694,-0.0249933942409259,0,0.0494121554638688,-2.16840434497101e-19,0,0,0,0,0,0,0
X000568.SZ,0.238816007698582,0.140816473023622,0,0.0586125867308602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655690126043705,0,0,0,0,0,0,0,0,0.0302649507556454,0,0,0,0,0,0,0,0,0.147259158758833,0,0,0,0.0165673448417136,0.202357937943089,0,0,0,0,0,0.0249681313860888,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323252410409014,0,0,0,0,0.255295332572843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0379003084467295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415996125991363,0,0,0,0,0,0,0
X600276.SH,0.14576930517648,0,0.0898645073369033,0,0,0,0,0,0.195310840411872,0,0,0,0,0,0,0,0,-0.108675048081974,0.275566687023196,0,0,0,0,0,0,0,0,0,0,0,-0.0595673687803549,0.0266157731292644,0,0.028043519526068,0,0,0,0.0252743799048054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287823392613632,0,0,0,-0.0416339544864502,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.0623646888712357,0,0,0,0.0114458466371521,0,0.0410763864065954,0,0,0,0,0,0,0.0215570352595066,0,0.237165539078495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810713698286717,0.128217082700598,0,0,0,0,-0.0154175883798542,0.025470579662745,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.00511707515826898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585100753291181,0,0.0113196478524731,0,0,0,0.0110884588397026,0,0,0,0,0,0,0,0,0.224361897297236,0.102083682539212,0,0,0,0.165052138199938,0,0,0,0,0.187438999700976,0,0,0,0,0,-0.00949031599543862,0,0,0,-0.0123093441818674,0,0
X600104.SH,0,0,0,0,0.0284399781325782,0,0,0,0,0,0.025078423271818,0,0,0,0,0,0,0,0,0,0,0.00850536479236415,0,0,0,0,0.19587567575718,0,0,0.167123653171586,0,0,-4.33680868994202e-19,0,0,0,0.120513388654113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032816543637685,0,0,0,-4.33680868994202e-19,0,0
