,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X000568.SZ,X000625.SZ,X002236.SZ,X002241.SZ,X600031.SH,X002475.SZ,X000338.SZ,X002456.SZ,X600066.SH,X601877.SH,X002085.SZ,X300124.SZ,X000100.SZ,X002508.SZ,X300003.SZ,X300136.SZ,X600271.SH,X600089.SH,X002294.SZ,X002008.SZ,X600522.SH,X600177.SH,X600487.SH,X000157.SZ,X002007.SZ,X600118.SH,X600867.SH,X600566.SH,X600372.SH,X600699.SH,X600809.SH,X000981.SZ,X000559.SZ,X000050.SZ,X002074.SZ,X000623.SZ,X000066.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.0698933692136655,0,0,0.00735224238996489,0,0.286733374884819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198091425543642,0.050799136894907,0,0,0,0,0,0,0,0,0,0,0,0,0.237714576417703,0,0,0,0,0,0,0,0,0,-0.00780239258998929,0,0,0,0,0,0
X600104.SH,0,0,0,0.118469057848673,0,-0.00874254599516549,0,0.0394758980884882,0,0.168808519151581,0,0.32927856715463,0,0.180806421668471,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0227356799248661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173762764035959,0,0,0.0289577482513536,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0538535172861865,0.0655050763009863,0.0305178345305092,0,0,0,0,0,0.152628578661427,0,0.44790043992048,0,0,0,0,0,0,0,0,0,0,0.240265512423329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0275738720909921,-0.158805923987778,0,0,-0.197067612627535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0.0515872180305526,0,0,0.174893027166412,0,0,0,0,0,0,0,0,0,0.114742058451532,0,0,0,0,0,0.0738475500179391,0,0,0.0623021800300645,0,0.0759033317113262,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537023837016701,0,0,0,0,0,0,0.012872357985053,0,0,0,0,-0.00370955300382593,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.715030829872042,0,0.0624756613054352,0,0,0,0,0,0,0.011894144522808,0,0,0,0,0,0.00864151218981827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516371379906476,0,0,0.0400967108368296,0,0,0,0,0,0.00839038334794114,0,0,0,0,0,0,0
X000725.SZ,0.0079865234034948,0,0.114003713298707,0,0,0,0,0,0.13415494916123,0,0,0,0,0,0,0,0,0,0.0246762631128358,0,0,0,0.0846981955393157,0,0,0,0,0,0.686293505610147,0.195856626587211,0,0,0,0,0,0,0,0,0.0680658164393711,0,0,0,0,0,0,0.021485812477231,0,0,0,0,0,0,0.0668289587210117,0,0,0,0,0,0
X600276.SH,0,0.221472801646639,0.140337611249058,0,0,0,0,0.0168998943048996,0,0,0,0.0872079984803289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113729413264304,0,0,0,0,0,0,0,-0.0586340477395954,0,0,0,0,-0.0362659705503003,0,0,-0.150156615097924,0,0,0.0157122753941926,0,0,0,0,0,0,0
X002304.SZ,0.100463978866385,0,0,0,0.574395614955262,0,0,0,-0.143808555216597,0.0903965279295815,0,0.0171714084365657,0,0,0,0,0.0439640416747509,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.129880012215452,0,0,0,0,0,0,0,0,-0.0144972807405355,0,0,0.129128494887868,0,0,0,0,0,0,0,0,-0.00692490331380383,-0.0249221542390563,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0211461930851954,0,0,0,0,0.134127038236468,0,0,0,0.0479415403891137,0,0,0,0,0,0,0,0,0.182104766858338,0,0,0.0347607879493518,0,0,0,0,0.0367393353280224,0,0,0.102661268812505,0,0,0,0,0,0.0369342370781558,0.060819670029903,0,0,0,0.0998030842008842,0,0,0,0,0,-0.00234787244210987,-0.0392840598207624,0,0,0,0,0,0
X600690.SH,0,0.297019209510278,0,0.0792042481976578,0,0,0,0.0385495041827186,0,0,0,0.272855897314946,0,0,0.174352154130459,0,0,0,0,0,0,0,0,0,0,0,-0.150652738681342,0,0,0,0.0149805794000436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00102752897759828,-4.33680868994202e-19,0,0,0,0,0.0197307824476151,0,0,0,0,0,0,0
X600703.SH,0.0543510565024614,0,0,0,0,0.0431553050939386,0,0,0.0289822420100862,0,0,0,0,0,0.21842608117316,0.127226948143305,0.0765058529243839,0,0,0.0704534513398163,0,0,0,0,0,0,0,0,0,0.0160278781532705,0.0415603489970205,0,0,0,0.146410925273954,0,0,0,0,0,0,0.010346247692381,0,0,0,-0.0240294079090551,-0.0185328345937475,0,0,0,0,0.0316134304559701,0,0,0,0,0,0,0
