,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X002304.SZ,X600276.SH,X000858.SZ,X000625.SZ,X000063.SZ,X600703.SH,X002292.SZ,X600690.SH,X002241.SZ,X600118.SH,X000559.SZ,X600271.SH,X000100.SZ,X600031.SH,X600066.SH,X002236.SZ,X600741.SH,X600372.SH,X002475.SZ,X000157.SZ,X000338.SZ,X600089.SH,X002465.SZ,X300124.SZ,X002049.SZ,X600177.SH,X000568.SZ,X002129.SZ,X601877.SH,X002294.SZ,X300003.SZ,X002074.SZ,X002506.SZ,X600582.SH,X000869.SZ,X300001.SZ,X002085.SZ,X600498.SH,X000977.SZ,X000547.SZ,X002276.SZ,X600867.SH,X002426.SZ,X600839.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00919290544087614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00709320550810363,0.0897904691265089,0,0.0886756308551837,0,0,0,0,0.0364656442317568,0,0,0,0,0,0,0,0.0226189806300455,0,0,0,0,-0.0342965557589622,0.0350460844488618,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.281439821797928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227659123532532,0,0,0,0,0,0,0.117073419034478,0,0,0,0,0,0,0,0,0,0,-0.0316621783309441,0.0104648400594217,0,0,0,0,0,-0.0198446941073282,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0236675644838876,0,0.0411705804508875,0.141679620281796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132872257219461,0.0343725213186102,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0663952171820486,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.163997924280841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126638497860512,0.111832591148136,0.117129810850075,0,0,0,0,0.006744082430607,0,0,0,0,0,0,0,0,0,0,0,0,0.0162866753638094,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0147004362357681,0,0,0,0.00685800726810044,0,0,0,0,0,0,0,0,0,0.0317984963118071,0,0,0,0.0453431517981148,0.176077693696488,0,0.0934506921679337,0,0,0,0,0.0119249923176085,0,0,0,0,0,0,0.0298184849683563,0.015270845496385,0,0,0.102504008444136,0,-0.00380604460390919,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.060621033808439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139316820363304,0,0.208374616112222,0.094116398533178,0,0,0,0,0,0,0,0,0,0,0,0.0489037630937227,-0.003700978678744,0,0,0,0,-0.0306199917246302,0.0274022833120525,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23855474863836,0,0.0306175151513869,0,0,0.0574173380182385,0,0,0,0,0,-0.0196989323190188,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.016799166059348,0,0,0,0,-0.0394951964655324,0,0,0.0702188175453397,-0.0461273920598074,0,0,0,0,0,0,0,0,0,0,0,0.0226383984183405,0,0,0,0.007533001821604,0,0,0,0,0,0,0,0.0755676853261692,0,0,0,0,0,0,0.0243301889093761,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187137185225711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152860541687273,0,0,0,0.12162162410723,0,0,-0.0173804346568924,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0638945990021051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229419815726884,0,0.0325734932494733,0,0.0908523165982703,0,0,0,0,0,0,0,0.00604078081107606,0,0,0.0541555937681707,0.013590934197262,0.0162376753730944,0,0,0.0786835269884211,0,0.00145215654583271,0,0,0,0,0,0,0
