,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X600690.SH,X002304.SZ,X002475.SZ,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X002371.SZ,X002049.SZ,X003816.SZ,X000725.SZ,X002129.SZ,X600031.SH,X000625.SZ,X002179.SZ,X000596.SZ,X000063.SZ,X600089.SH,X000338.SZ,X600703.SH,X002180.SZ,X600522.SH,X002241.SZ,X000661.SZ,X000733.SZ,X300142.SZ,X000100.SZ,X601877.SH,X002074.SZ,X600741.SH,X300003.SZ,X000157.SZ,X600487.SH,X600460.SH,X600584.SH,X600702.SH,X600884.SH,X600563.SH,X002414.SZ,X600372.SH,X002236.SZ,X002025.SZ,X002007.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.110749359703179,0.2714702153063,0,0,0.138263879932493,0.0314554984331567,0,0,0,0,0,0.0123088919758712,0,-0.0887222447404848,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0403059311862113,0,-0.115946420458776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622574071168762,0.0222773967589444,0,0,0,0,0,0
X000858.SZ,0,0,0.13236310261939,0,0,0.141822208759837,0,0,0,0,0,0,0,0.0894995277861754,0,0,0,0,0,0,0,0.0214274298199866,0,0,0,0,0,0,0,0,0,0,0,0,0.0796385328432161,0,0,0,0,0,0,0.245061921675155,0,0,-0.0735754035938596,0,0,0,0,0,0,0.0223272223688253,0.00695279858723639,0,0,0,0,0,0
X600809.SH,0.291194202204203,0.0235188519176855,0,0,0,0.449686655711599,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0467307333637123,0,0.0737160501153094,0,0,0,0,0,0,0,0.00843444547067027,0,0,0,0,0,0,0.0406684453162066,0,0,0,0,0.0421716061246442,0,0,0,0,0,0,0,-0.100975930009778,0,0.0163349039126364,-0.00924156896290685,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.134258462350713,0,0.122892671014809,0,0,0,0,0,0,0,0,0,0,0,0.00669221344080186,0,0,0,0,0,0,0,0,-0.0494072216281216,0.168150331889944,0,0,0.156766389641627,0,0.0231194888257449,0,0,0,0,0,0,0,0,0,0,0,0,0.259184756970324,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.14232052427077,0,0,0,0,0,-0.0871869939240858,0,0,-0.0925012240336864,0.00537796121119254,0,0,0,0,0,-0.00219783852606047,0,0,0,0,0,0,0,0,0,0,0,0.035857154170006,0,0,0,0,0.0652307112419043,0,-0.0674939951405571,0,0,0,0,-0.0737398179548483,0,0,0,0,0.189513522441039,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.166632950793262,0.59791208437932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711042240506316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172135504893617,0,0,0,0,0,0,0,0,0,0.0325063649786396,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.280929392815729,0,0,0,0,0.257027209551402,0,0,0,0,0,0,0,0,-0.0338901576089549,0,0,0,0.137369512484669,0,0.0394137803364846,-0.0903679286209874,0.108729674989265,0.068749269557151,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148486827415888,0,-0.0350823806021861,0,0,0,0,0,0,-0.0205066547733058,0,0,0,0,0,0,0
X002304.SZ,0,0,-6.93889390390723e-18,0,0,0,0,0,0.159325860374448,0,0,0.00531499390995682,0,-0.0204096147743304,0,0,0,0,0,0,0,0.152360645693229,0,0,0,0,0,0,0,0,0,0,0.0221299448926218,0,0.0566160867969315,0.162445343663463,0,0,0,0,0,0.28387655867321,0,0,-0.173262406599775,0,0,0,0,0,0,0.0175157940198955,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.206691457294805,0,0,0.107303295770548,0.00789601808098582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129729922613257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501770871624868,0,0.145525162966827,0,0,0,0,0,0,0,0,0,0,0,0
X300124.SZ,0,0,-0.324651647020166,0,0,0,0,0,0.0382855118509195,0,0,0,0.00384192945353722,0,0,0,0,0,0,0.231962096325857,0,0,0,0,0,0,0,0,0.023459250417093,0,0,0,0,0,0.108789873899745,0,0,0,0,0,0,0,0,0,-0.0941265433687198,0,0,0,0,0,-0.0270527146777159,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.358282928779936,0,0,0,0,0,0,-0.0362164645738332,0,0,0,0,0.0949871893002616,0,0,0,0,0,0,0,0,0.0201240836804064,0,0,0,0,0,0,0,0,0.0519351834343839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279922378677489,0,0,0,0,0,0
