,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X002241.SZ,X000338.SZ,X000625.SZ,X600031.SH,X002456.SZ,X600487.SH,X002008.SZ,X601877.SH,X600066.SH,X300136.SZ,X000100.SZ,X600522.SH,X600809.SH,X300124.SZ,X002508.SZ,X600271.SH,X300003.SZ,X002085.SZ,X600867.SH,X600089.SH,X002294.SZ,X000981.SZ,X600699.SH,X600498.SH,X000157.SZ,X600177.SH,X300142.SZ,X000596.SZ,X000050.SZ,X600118.SH,X002180.SZ,X002179.SZ,X600566.SH,X600584.SH,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.184936774229442,0,0,0.127214894421468,0,0,0.0893730147175189,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.157275118826966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614648610743405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232732469428257,0,0,0,0,0,0
X600104.SH,0,0,0,0.000486231967831419,0,0,0,0,0,0,0,0,0.368481278764613,0.12903249663917,0,0.0207881878544907,0,0,0,0,0,0,0,0.0759958879902908,0,0.110113821383869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645778574176328,0,0,0,0.0624158365560439,0,0,-0.0362861625795474,0,0,0,0.0135564655155856,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0140125494439462,0,0,0,0.0990175423023881,0,0,0,0,0,0.0237679101824814,0.170450199941183,0.126417583082603,0,0,0,0,0,0.153074914620399,0,0,0,0,0,0,0,0,0,0.0303671534256562,0,0,0,0,0,0,0,0,0,0,0,0,0.00220627277771814,0,0,0,0,0,0,0
X000651.SZ,0,0.0811721759761967,0,0,0.285555059648995,0,0,0,0.0800152197619011,0,0,0,0,0,0.0703673162485597,0,0,0,0,0,0.00982654109917148,0,0,0,0,0,0.0401948327941653,0,0,0,0,0,0,0,0,0,0,0,0.0308558355653065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.021883036333608,0,0,0,0.124529709877682,0,0,0,0.329443807233641,0,0,0,0,0,0,0,0,0,0,0.00216210747489506,0,0,0,0,0.275263276792156,0,0,0,0,0,0,0,0,0,0.0233219884406689,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.202497868958851,0,0,0,0,0.111103094602927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00882809715177774,0,0,0,0,0.141200859114138,0,0,0,0,0,0,0,0,0,0.151888325613249,0,0,0.0608684958562571,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.133957359608944,0,0,0,0,0.171550480199789,0,0,0,0.142809349558465,0,0,0,0,-0.292898546592604,0,0.064545040402331,0,0,0,0,0,0,0,0,0,0,0,0.0942429494978977,0,0.0887275752404028,0,0,0.0470239498484929,0,0,0.0487221695909266,0,0,0,0,0,0,0,0,0,0,0.00293444683582988,0,0,0,0,0,0
X002304.SZ,0.194652839517978,0,0,0,0.154423011947309,0,0,0,0,0,0.0944517735964429,0,0.0878429599353385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131687154567538,0,0,0,0,0,0.0518304582777407,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.3084949954967,0,0,0,0,0,0,-0.166702481942081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133835374731729,0,0,0,0,0,0,0,0,0,0,0,0.268818536778067,0,0,0,0,0,0,0,0,0,0.193812987746143,0,0,0.0279045284594752,3.46944695195361e-18,0,0,0,0,0,0
X600690.SH,0,0,0.0989200649453162,0,0,0,0,0,0,0,0.0382909204972925,0.0745287484469354,0,0,0.120520295196268,0,0,0,0,0,0,0.1068939285675,0,0,0,0.0940797556660306,0.231669185335167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182048094510162,0,0,0.0161589173247366,0,0,0,0,0,0,0
