,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X600031.SH,X000568.SZ,X002475.SZ,X600690.SH,X600809.SH,X002304.SZ,X600104.SH,X000725.SZ,X000661.SZ,X000338.SZ,X300014.SZ,X300124.SZ,X003816.SZ,X000063.SZ,X000100.SZ,X600703.SH,X000157.SZ,X002241.SZ,X000596.SZ,X000625.SZ,X600741.SH,X002129.SZ,X601877.SH,X002371.SZ,X002007.SZ,X002179.SZ,X002236.SZ,X300142.SZ,X002049.SZ,X600584.SH,X600183.SH,X002414.SZ,X601799.SH,X000800.SZ,X300003.SZ,X002074.SZ,X000799.SZ,X300146.SZ,X002008.SZ,X000066.SZ,X600089.SH,X000977.SZ,X600177.SH,X002294.SZ,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.123935206254606,0,0,0,0,0.211971802670008,0,0,0,0.0303211504199571,0,0,0,0,0,0,0,0,0,0,0.0781695045492027,0,0,0,0,0,0,-0.110959080119303,0,0,0,0,0,0,0,0,0,0,0.00108237085743645,0,0.0136082498168131,0,0,0,0,0,0,0,0,0,-0.00651784825749486,-0.0172129643163407,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.344592058352748,0,0,0.126604320801535,0.0401179521940594,0,0,0,0,0.00384038454615018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179758814336605,0.142408744339125,0,0,0,0,0,0,0,0,0,-0.0115565551616301,-0.0102590825775991,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.15005476172056,0,0.0263653728916763,0.0229483699284405,0,0,0,0.0260371146745238,0,0,0.0367204905023991,0,0,0,0,0,0,0,0,0,0,0,0.0647734474049453,0,0,0,0.428266421687027,0,0.0231971560755789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00110950672510097,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0113056514404673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919565523262174,0,0,0,0,0,0,0,0.000856666104204481,0.192680027908621,0,0,0,0,0,0,0.0924837145662175,0,0,0,0,-0.141030762596411,0,0,0,0,0,0.0531233590166098,0,0,-0.00387021319056492,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.151756139204882,0.0402796822181984,1.73472347597681e-18,0,0,0,0,0,0.0408398342132302,0,0,0,0,0.106295253260842,-0.102200269811571,0,0,0,0.0327344667245874,0.108718590126259,0,0,0,0,0,0,0,0,0,-0.013009622562369,0,0,0,0,0,0,0,0,0,0,-0.052483860425929,0,0,0.0172392595247988,0,0,0,0,0,0,0
X600031.SH,0,0,0.0932015701791272,0,0,0,0,0,0,0.260481908405642,0,0,0,0,0,0,0,0,0,0.0299296771908685,0.171653986419632,0,0,0,-8.67361737988404e-19,0,0.0462290558166486,0,0,0,0,0,0,0.0766814840547445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015298452521644,0,0,0,0,0,0,0
X000568.SZ,0.0246087781653145,0.67622942652345,0.0475543345511901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217346727399315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302503951330097,0,0,-0.00363922555231169,0,-0.0653341396515647,0,0,0,0,0,-0.0312338720987318,0,0,0,0,0,0
X002475.SZ,0,0,0.129912315233258,0,0,0,0,0,0,0.0420259899486171,0,0,0.0408887817310798,0,0,0,0,0,0,0,0,0.00988267748153907,0.284348729987803,0,0,0,0,0,0,0.0638564894863639,0,0,0,0,0,0.00771354773564746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015955310626094,0,0,0,0,0,0,0
X600690.SH,0,0,0.189829880737925,0,0,0,0,0,0,0.306772475883668,0,0,0,0.138423274405885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240602941353422,0,0,0,0,0,0,0,0,0,0,0.0539680428419339,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0102220669936124,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.299157897007602,0,0,0.00857391541367801,0,0,0,0,0,0,0,0,0,0,0,0,0.0633475214624332,0,0.217230138870504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744182038901535,0,0,0,0.174005088079135,0,0,0,0,0,0,0,0,0,-0.0600126373345995,-0.0126455508530271,0,0,0,0,0,0
