,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X000568.SZ,X002475.SZ,X600741.SH,X600703.SH,X601877.SH,X600271.SH,X300003.SZ,X002236.SZ,X300124.SZ,X600487.SH,X600498.SH,X000100.SZ,X002008.SZ,X600809.SH,X000625.SZ,X002007.SZ,X000661.SZ,X300142.SZ,X000157.SZ,X000596.SZ,X600867.SH,X600566.SH,X002179.SZ,X300146.SZ,X600177.SH,X600066.SH,X002456.SZ,X002506.SZ,X600522.SH,X600089.SH,X600372.SH,X002180.SZ,X002241.SZ,X000977.SZ,X300136.SZ,X600699.SH,X002294.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.461533090737434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0289802997533347,0,0.0494113996414586,0,0,0,0,0,0,0,0,0,0.416522615433282,0,0,0,0.00887050425788449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168356603414594,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10474502666607,0.0616760740336904,0.141066570878866,0,0,0,0,0,0,0,0,0,0,0,0,0.00629695971256612,0,0,0,0,0,0,0,0,0,0,0,0.0518843716797466,0,0,0,0,0,-0.0253625546142604,0.0123849283087566,0,0,0,0.0337802439253156,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699985438241412,0,0,0,0,0.088319550558042,0,0.0732734651966346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0239812539025521,0,0,0,0,0.0490075117096457,0,0,0,0.0176568369997777,0,0,0,0.0831844446385286,0,0
X000651.SZ,0.236622969751025,0,0,0,0,0,0.0581778377680322,0,0.0269045725161894,0,0,0,0,0,0.113963338886623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.149222669694815,0,-0.0038204396748866,0,0,0,0,0,0,0
X000858.SZ,0.160664037038687,0.00956840727208953,0,0,0,0,0.228408382074807,0,0,0,0,0,0,0.0442012190134681,0.0581218127212914,0,0,0,0,0,0,0,0,0,0,0.170377419016091,0,0,0,0,0,0.145871443821398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127834007350878,0,0,0,0,0,0
X600276.SH,0,0,0.186671612892401,0,0,0,0,0,0,0.00243336655955254,0,0,0,0,0,0,0,0,0.375758260872962,0,0,0,0,0,0,0.130367216027764,0,0,0.0240335053329684,0.06140576127363,0,0,0.0382217866052671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569503013230652,0,0,0.0121038337828458,0.019961858741908,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.473071789529338,0,0,0,0,0,0.0345707825799683,0,0,0,0,0,0,0.127791047048172,0,0,0,-0.0302794076051651,0,0.421209486211188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00364881927666781,0.017515085061846,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131813182541026,0,0,0,0.00534028875747551,0.119634261615862,0,0,0,0,0,0,0,0,0,0,0,0.179298735609399,0,0.173431534376713,0,0,0.00640499000714344,0,0,0,0,0,0,0,-0.00134768590148163,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.075981835333563,0,0.141523639251999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820482790159499,0,0,0,0,0,0,0,0.00494863554598966,0,0,0,0,0,0,0,0,0.132202646896531,0,0,0,0,0,0,0,0.301252526998203,0,0,0,0,0,-0.00710282181959649,-0.0219222209362704,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00380173412631993,0,0,0,0,0,0,0,0.0374927327237734,0.610073385885856,0,0,0,0,0,0,0.0452733564498321,0,0,0,0,0,0,0,0,0.14914829376046,0,0,0,0,0.01430303113143,0,0,0,0,0,0,0,-0.0121895095398822,0,0,0,0,0,0,0
