,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002475.SZ,X002415.SZ,X600104.SH,X000063.SZ,X600031.SH,X002304.SZ,X000725.SZ,X003816.SZ,X000661.SZ,X000568.SZ,X600809.SH,X600690.SH,X000338.SZ,X600703.SH,X300142.SZ,X002007.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X002371.SZ,X000596.SZ,X300003.SZ,X600741.SH,X600183.SH,X300124.SZ,X000977.SZ,X002129.SZ,X000625.SZ,X002236.SZ,X601877.SH,X000800.SZ,X000157.SZ,X300136.SZ,X002456.SZ,X600584.SH,X002463.SZ,X002414.SZ,X002179.SZ,X600118.SH,X000066.SZ,X002049.SZ,X002180.SZ,X002008.SZ,X002185.SZ,X002223.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.28627626948803,0.120580203549522,0,0,0,0,0,0,0,0,0,0.042637827260171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00453886184278562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047934333227094,0,0.00961939693806122,-0.00717598104392686,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197544166556936,0.239176464652073,0,0,0,0,0,0,0,0.0243415242126966,0,0.00290783899008976,0,0,0,0,0,0.0395813905972234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027998631717248,0,0,0.034672209183582,-0.0332260419329407,0,0,0,0,0,0
X600276.SH,0,0.178976512413385,0,0,0,0,0,0,0,0,0,0,0.147864267128036,0,0,0,0,0,0.0789446975516517,0,0,0,0,0,0,0.0262927214852166,0.0556216476983078,0.05989728768659,0,0,-0.0493023787254216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140963404297699,0,0,0,0.113801534244256,0,-0.0165338352151996,-0.0147005502489713,0.000589189645483262,0,0,0,0,0,0
X000651.SZ,0,0.0474973312402099,0,0,0.107528373548647,0,0,0,0,0,0,0,0,0,0,0.20091083682865,0,0,0,0,0,0,0.0195949101578224,0,0,0,0.0258874617344064,0,0,0.0149107616095063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109591008481616,0,0,0,0,0,0.0162153316643553,0.0080827873131662,-0.00432154369249027,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14453142743482,0,0.288139423617539,0,0,0,0,0,0,0,0.0688829445858236,0,0,0,0,0,0,0.0315712434773164,0,0,0,0,0.241289172667841,0,0,0,0,0.0560337634141599,0,0,0,0.00939956206776046,-0.0189036951377196,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0944261511331546,0,0,0.0435902023780332,0,0,0,0,0,0,0,0,0,0,0,0,0.152471482636417,0,0,0,0,0,0,0,0,0,0,0,0.14274813820355,0,0,0,0,5.42101086242752e-20,0,0,0,0,0.0499562988976796,0,0,0.0240777941004251,0,0,0,0.144952830230389,0,0.0151744842911888,-0.0153121433704602,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.049104920607999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569657716988396,0.0739107042101953,0.25258448986763,0,0,0.129921191299174,0,0.0325270038659193,0,0,0.136348569584875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197000501427432,-0.00923286783569123,0.0254739202770101,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456995940569652,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128087654235012,0,0.184966523933657,0,0,0,0,0,0,0,0,0,0.23621369456914,0,0,0.129656569001683,-0.00162440199428726,0.0438716037993541,-0.0400274245682032,0,0,0,0,0,0
X600031.SH,0,0.0977119372624234,0,0,0,0,0.122906467709425,0,0,0,0,0,0.131362569773557,0,0,0,0,0,0,0,0.0519387038757612,0,0,0,0,0,0,0.0288076729664169,0,0,0,0.0218743214056608,0,0,0,0.372066147002728,0,0,0,0,0.0774565572449528,0,0,0,0,0,0,0,0,0,0,-0.00705853273539653,-0.000529787894635193,0,0,0,0,0,0
X002304.SZ,0,0.0218463447169913,0,0,0.0024256876849178,0,0,0,0,0,0,0,0,0.142244217914933,0,0,0.178280620220454,0,0,0,0,0,0,0.0156858407392357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00447276837955745,-0.00200252813663908,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731224947030036,0.01734905102886,0,0,0,0.326808028692648,0,0,0,0,0.169920184023098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024908432079077,-0.00977114776836944,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0.00929857250456488,0,0,0,0,0.0554440486087042,0,0,0,0,0.0144391021874274,0,0,0,0,0,0.0436850942243535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00413863135047935,0.0225134178472351,0,0,0,0,-0.00234050145377014,0,0,0,0,0,0,0
X000661.SZ,0,0,0.370970168903766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539846944723612,0,0,0,0.229089090158658,0,0,0,0.0206137987945603,0.100104193957056,0,0,0,0,0,0.00629560947660093,0,0,0,0.0489141111037409,0.0138946776683544,-0.00811722604903561,0,0,0,0,0,0
X000568.SZ,0,0.56311699835729,0,0,0,0,0,0,0,0.011418324391549,0,0,0,0,0.280148608842221,0,0,0.0112354970559357,0,0,0,0,0,0,0,0,0,0,0.0129960554119138,0,-0.0349648038711416,0.00809432482726316,0,0,0,0,0,0,0,0,0,0,0,0,0.0169724869938645,0.0350378059946532,0,0,0,0,0,0.00226269164868951,-0.0090832850147951,0,0,0,0,0,0
X600809.SH,0,0.151773272372462,0,0,0,0,0,0,0,0,0,0,0,0.363627257526073,0,0,0,0,0.0238496900928778,0.0191866166519573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499180166758248,0,0,-0.00383307476997797,0,0,0,0,0,0
X600690.SH,0,0,0,0.359223092352508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387824151622054,0,0,0,0,0,0,0,0.0179435007959931,-0.0110580178577221,0,0,0,0,0,0
X000338.SZ,0,0.0656005490016707,0,0,0,0,0,0,0,0,0.02543228347021,0,0,0.0449285970814571,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610754346876157,0.136546613576198,0,0,0,0,0,0.0554432583222651,0,0,0.0191966776117765,0,0,0,0,0.0119148778252156,-0.0138776612289515,0,0,0,0,0,0
