,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000596.SZ,X003816.SZ,X600031.SH,X000725.SZ,X000063.SZ,X000625.SZ,X002371.SZ,X002129.SZ,X002049.SZ,X002179.SZ,X000338.SZ,X600703.SH,X600089.SH,X002180.SZ,X000661.SZ,X000100.SZ,X300142.SZ,X000733.SZ,X002241.SZ,X601877.SH,X600522.SH,X600741.SH,X600702.SH,X002074.SZ,X000157.SZ,X600460.SH,X000799.SZ,X300003.SZ,X600584.SH,X002007.SZ,X600884.SH,X600779.SH,X300146.SZ,X600487.SH,X002294.SZ,X601799.SH,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.219941345232163,0,0.189488042071166,0,0,0,0.119501838958522,0,0,0,0.0404276552028597,0,0,0,0,0,0,0,0,0,0,0,0,0.029627365226376,0,0,0,0,0,-0.0760917432591412,0,0,0,0,0.0603559135089505,0,0,0,0.0671738334802294,0,0,0,0,0,0,0,0,0,0,0,-0.0252465441781752,0,0,0,0,0,0,0
X000858.SZ,0,0,0.222656485019407,0.399448674650297,0,0,0,0,0,0,0,-0.0214087416561653,0,0,0,0.140364805145599,0,0,0,0.00716423694009511,0,0,0,0,0,0,0,0,0,0,0,-0.0172327729394803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000764328086917804,0,0,0,0,-0.006916960471283,0,0,0,0,0,0,0
X600809.SH,0.269962249112457,0,0,0.359012658993268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265099687167192,-0.16789611895561,0,0,0,0,0.0530350214622626,0,0,0,0,0,0,0,0,0.174392715707898,0,0,0,0,-0.00327523434362286,0,0.00110556225605963,0,0,0,0,0,0,0
X000568.SZ,0,0.521642717791814,0.412828831589893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430054578299805,0,0,0,0.118634690589215,0,0,0,0,0,0,0,0,0,0,0,-0.0331566281782931,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.117253378219825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159968605512274,0,0,0,0,0,0,0.0621946613591202,0,0,0,0,0,0,0.0874766864633499,0,0,0,0.0627837406511915,0,0.151145681900574,0,0,0.0385251331490042,0.0260244139099348,0,0,-0.0114265534318311,-0.0174985219690227,0,0,0,0,0,0
X600276.SH,0,0,0,0.0409882119431543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971403788435324,-0.0633650943490666,0,0,0,0,-0.0227921762774822,0,0,0,0,0,0,0.124647903371831,0,0.0296311196722592,0,0,0,-0.0720215078270499,0.174236923865318,0,0,0,-0.00879547751182647,0.00136740386911658,0,0,0,0,0,0
X002304.SZ,0,0,0,0.51036882010334,0,0,0,0,0,0,0,0,0,0,0,0.0420654555591665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0382499451144398,0,0.0247899771737568,0,0,0,0.0247582529822488,0,0,0,0,0,0,-0.0300853752546797,0,0,0,0,-0.00726377622839574,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.227911294922493,0,0,0.167776942450418,0,0,0,0,0,0.206805520779958,0,0,0.00666659117882482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046447478874572,0,0,-0.0358688703598214,-0.0247384047534755,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.119205458144721,0,0,0,0,0,0,0,0.132930913502249,0.0445730106241866,0,0,0,0,0,0,0,0,0,0,0.224166705661091,0,0,0,0,0,0,0,0,0.0241131850106842,0,0,0,0,0,0,0.00940305623965607,0,0,0,-0.00922048625182476,-0.0301620025549287,0,0,0,0,0,0
X000651.SZ,0,0,0,0.135165711887341,0,0,0,0.236015168916973,0,0,0,0,0,0,0,0.0401835471767214,0,0,0,-0.00687731707368682,0,0,0,0,0,0,-0.0275418821917932,0,0,0,0,0,0,0,0,0.113572018986993,0,0,0,0,0,0,0.0287825389079568,0,0,0,0,0,0,0,0,-0.0133719579783658,-2.16840434497101e-19,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0.137970150254976,0,0,0.0789333186100792,0,0,0,0,0,0,0,-0.099660365555295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0836223855790865,0,0,0,0,0,0,0,0.0790410862366363,0,0.109327366133126,0,0,0.0235565695887579,-0.0452262509942923,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0.00444510754489559,0,0,0,0,0,0,0,0,0,0.183084403747422,0,0,-0.119105233705266,0,0,0,0.150540190101634,0.171556795916143,-0.0107463086407215,0,0,0,0,-0.0433485831687865,0.042041799907832,0,0,0.263675498199455,0,-0.171872518199934,0,0,0,0,0.508009497500289,0,0,0,0,0,0,0,-0.0098315164699109,0,-0.163192756597343,0,0,0,0,0
