,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600031.SH,X600276.SH,X000100.SZ,X000338.SZ,X600741.SH,X600372.SH,X000157.SZ,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600271.SH,X600118.SH,X002236.SZ,X601877.SH,X000581.SZ,X600177.SH,X000550.SZ,X002475.SZ,X002129.SZ,X600582.SH,X000800.SZ,X000568.SZ,X300124.SZ,X002294.SZ,X002292.SZ,X000623.SZ,X600060.SH,X000559.SZ,X300003.SZ,X000050.SZ,X000977.SZ,X000400.SZ,X300146.SZ,X002456.SZ,X002465.SZ,X000869.SZ,X600839.SH,X002038.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.170428745841856,0,0,0.14410062576595,0,0.10386716355975,0,0.115684057971555,0,0.205825255619358,0,0,0,0,0,0.159285376237423,0,0,0,0,0.00135471595605294,0.0292318630095762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253947646077164,0,0,0,0,0,0
X600519.SH,0,0,0.0586964126358676,0,0,0,0.105200493268608,0.0861724173536665,0.0144059840032696,0,0.116144588434248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200786865538908,0.00473848357269088,0.0467412736245079,0,-0.036407153589307,0,0,-0.0460687456184203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00683721877247303,0,0,0,0,0,-0.00590177483519596,0,0,0,0,0,0
X000651.SZ,0.277186061166063,0,0,0,0.136120552924019,0.180755430847772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171441419762896,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.082407445836633,0,0,-3.46944695195361e-18,0,0,0.0174292101408876,0,0,0,0,0,0,0,0,0,0.210376747698582,0,0,-0.00505296692766746,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.223720710292868,0,0,0,0,0,0,0.156281889833484,0,0,0,0,0,0,0.0472982350023488,0,0,0,0.20805547889729,0,0,-0.0656701235527199,0.0548562869440652,0,0,0,0.052995370182183,0,0.0401023122964968,0,0,0,0,0,0.0168154070547016,0,0,0.0944511952145739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.168889010636491,0,0.0883610984426071,0,0.233489780169033,0,0,0,0,0.022465307833055,0.0422267549236651,0,0,0,0.0555857112456735,0,0,0,0,0.0334887470532534,0.100138232245362,0,0,0,0.0587154872357959,0,0,0,0,0,0,0,0,0.145107260997863,0,0.0383373383290459,0,0,0,0,0.0266840679377833,0,0,0,0,0,0
X000625.SZ,0.18081031880445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00435787081528602,0,0,0,0,0.0695005227814126,0,0,0,0,0,0.110312824290791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0710760443535562,0.00961747170245912,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.00191790242086917,0,0,0.12068320226436,0.160014076596525,0.0450322316358969,0.223517894417873,0,0.0604850942321948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00932037292463339,0,0,0,0.0389717296135694,0.1546204843908,0,0,0,0,0,0,0,0.0470655366838302,-0.0139352366542321,0,0,0,0,4.33680868994202e-19,0.0384624509677221,0,0,0,0.0283849225892874,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.259339506633616,0,0,0,0,0.272381359727199,0,0,0,0,0,0,-0.0559804498427887,0.061291757548136,0,0,0,0,0,0,0.0664103693537169,0.100017671939125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11741737259395,0,0.183200377041842,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0.0357656322686645,0,0,0,0.0170919418524125,0,0.0930446071441316,0,0,0,0,0,0.182495018667148,0.0831163432029327,0,0,0,0,0,0,0,0,0,0,0,0,0.105549003913156,0.164508397425622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.0835228871186584,0,0,0.192663539068738,0,0,0,0,0.0400795248513985,0,0,0,0,0,0,0,0.0656650933903718,0,0,0,0,0.00949276581621574,0,0,0,0,0.123982096144078,0.0476683772161823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00660816162449058,0,0,0,0,0,0
