,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600104.SH,X600276.SH,X000651.SZ,X300124.SZ,X300014.SZ,X000725.SZ,X600031.SH,X002371.SZ,X003816.SZ,X002129.SZ,X002241.SZ,X000596.SZ,X000063.SZ,X002049.SZ,X000625.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X601877.SH,X300142.SZ,X600741.SH,X000661.SZ,X600460.SH,X000100.SZ,X600522.SH,X002180.SZ,X000733.SZ,X002074.SZ,X600702.SH,X000157.SZ,X000799.SZ,X600884.SH,X002236.SZ,X601799.SH,X600584.SH,X000800.SZ,X600372.SH,X600563.SH,X002414.SZ,X600183.SH,X002176.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000651.SZ,0,0,0,0,0,0.0521796163029478,0,0,0,0.0242872800027238,0,0,0,0,0.126436904574662,0,0,0,0,0.0735475658763445,0,0,0.0113580132311932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700652404381474,0,0,0,-0.0165588939987407,-0.00484672804505276,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0.0971158331381576,0.0450558243206576,0,0,0,0,0,0,0,0,0,0,0,0.0963794217223523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135497687463371,0,0,0,0.14019296709512,0,0,0,0,0,0.130096017777738,0,0,0,0,0,0,0,0,-0.0731881941150891,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0937892673311214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668922676888915,0,0.356588298318829,0,0,0.198655748308356,0,0,0.0226448953177829,0,0,0,0.0385300565819231,0,0,0,0,0,-0.0849179110894844,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.00637024753681565,0,0,0,0,0,0,0,0,0,0.0850333335172582,0,0,0,0,0,0,0,0,0.166273877411593,0,0,0,0,0,0,0.0220569401107192,0,0.0122138825983741,0,0,0,0,0,0,0,0,0,0,0,0.179301275301749,0,0,0.0417541961624753,0,0,0,-0.0027871300510802,-0.0351818377398473,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.0854477131813982,0,0,0,0,0,0,0,0,0.0446273522931613,0,0,0,0.13401772079425,0.269161362564968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145328773466099,0,0,0,0,0,0.00379483526026909,0,0,0,0,0,0,0
X002371.SZ,0,0,0.00732419694301733,0,0,0,0,0.195494226599289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143288150036428,0,0,0,0,0,0,0,0,0.514370937211971,0,0,0,0,0,0,0,0,0,0,0,0.0234646600518846,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0.12374126277253,0.0284455645458358,0,0.075848972176797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0648253279083921,-8.67361737988404e-19,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.122595840122216,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0274273822844061,0.170178925786963,0,0.0735946768076197,0,0,0,0,0,0,0,0.121983963154353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129228854396604,0,0,0,0,0,0,0.116413959635736,0,0,0,0.0489201729458335,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0.611519051671068,0,0,0,0,0,0,0.0927380761292108,0.120997440762548,0,0,0,0,0,-0.0442661508701108,0.00381963168815186,0,0,0.0782607471763856,0,0,0,0,0,0.0486556508721119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043043254721953,0,0,0,0.053781952752235,0,0.0489694707907678,-0.0175557188751904,0,0,0,0,0,0
X000596.SZ,0,0.256347157107015,0,0.103949980922792,0,0.11686774966561,0,0,0,0,0,0,0,0,0,0,0,0,0.0289321534214733,0,0.111219027309891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172625471933836,0,0,0,0,0,0,-8.67361737988404e-19,0,0.00983909735557052,0,0,0,0,0,0,0
