,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002236.SZ,X600741.SH,X002475.SZ,X000338.SZ,X600031.SH,X002008.SZ,X002456.SZ,X000625.SZ,X600487.SH,X300003.SZ,X300124.SZ,X600066.SH,X000100.SZ,X601877.SH,X002241.SZ,X600809.SH,X002294.SZ,X600867.SH,X300136.SZ,X600522.SH,X600271.SH,X002508.SZ,X000050.SZ,X600566.SH,X000981.SZ,X600089.SH,X000157.SZ,X600498.SH,X600177.SH,X002179.SZ,X600707.SH,X000596.SZ,X600699.SH,X300142.SZ,X002180.SZ,X600584.SH,X002049.SZ,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0202012338217789,0.509737672310386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116465668546203,0,0,0,0,0,0,0,0,0,-0.017911456425417,0,0,0,0,0.024752796662884,0,0,0,0,0,0,0,0.137144505453087,0,0.0561753954234419,0,0,0,0,0,-0.00472687982856299,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.0594496066454972,0,0,0,0,-0.0704592378244831,0.0329307386988719,0,0,0,0.352182641426827,0.0787122592043814,0,0,0,0,0,0,0,0,0,0,0,0,-0.000959029377729223,0,0,0,0,0,0,0,0.0143686229136233,0,0,0,0,0,0,0,0,0.0216811616983192,0.136127486746841,0,0,0,0,0,0.00348430023859277,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0564159054844344,0,0.159565407368699,0,0,0,0,0.20851973233907,0,0,0.0489977222111769,0,0,0,0,0,0,0,0,0,0.1207142519576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00860019237604778,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.349861224953448,0,0,0,0,0.127925081107351,0,0,0.0527355214710128,0,0,0,0.096101588527001,0,0,0,0,0,0,0,0,0,0,0,0,0.0417088101184239,0,0,0,0.172348571093394,0,0,0,0,0,0,0,0,0,0,0,0.0649179512121257,0,0,-0.0367293324506325,0,0,0,-0.00262616242347958,0,0,0,0,0,0
X000858.SZ,0.0987009261354231,0,0,0.23967624151129,0,0,0,0.067560344093041,0,0,0,0.541716051375682,0.0365852576394396,0,0,0,0,0,0,0,0.0143704537810732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127680146994412,0,0,0,0,0,0
X600276.SH,0,0,0.119139257390219,0,0.0476102201090472,0,0,0,0,0.0643461166011177,0,0,0.0267236560273915,0,0,0,0,0,0,0,0.236319000253168,0,0,0,0,0,0,0.070416900628958,0,0.0416522682972424,0,0,0,0.101175571273038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256641223776869,0,0,0.00464566829655118,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.426864571218293,0,0,0,0,0,0,0,0,0,0,0,0.162906240402635,0.0468395072091086,0,0,0,0,0,0,0,0.0208991981401644,0,0,0,0,0.158907821502844,0,0,0,0,0,0,0,0,0,0,0,0,0.0527793509542445,0,0,0,-0.00612471053116389,0,0,0,0,0,0,0
X002304.SZ,0.109067740804387,0,0,0,0.0655577560258019,0,0,0,0,0,0,0.0499198282604735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00650223512260474,0,0,0,-4.33680868994202e-19,0,0.409742822716162,0,0,0,0,0,0,0,0,0,0.149943232847405,0,0.000438969625623303,0,0,0.0434847153609578,0,0,0,-0.015750482147427,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.0745163840197993,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.599540705774013,0,0,0,0,0,0,0,0,0,0,0,0.197933088420298,0,0,0,0,0,0,0,0,0,0,0.0907634879593789,0,0,0,0,-8.67361737988404e-19,0,0,0.00465256382632849,0.000603008629213186,0,0,0,0,0,0
X600690.SH,0,0,0,0.0987795059116894,0.291094348819374,0.143889001527646,0,0,0,0,0,0,0.0137048377123203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116800365258296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.122334371739979,0,0,0,0,0,0,0,0.108996864110687,0,0,0,0,0,0,0,0,0,0.106155750029581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444493813517863,0.114586291775924,0,0,-0.00263214669600003,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.457374947196357,0,0,0,0,0,0,0,0,0,0,0.13526055151612,0,0.0249964539901846,0,0,0,0,0,0,0,0,0,0.0872462925741392,0,0,0.0363550625147892,0,0,0,0,0,0,0,0,0,0,0,0,0.24130120941448,0,0,0,0,0,0,0,0,0.00350189149542707,0,0,0,0,0,0
X002236.SZ,0,0,0.481569686177468,0,0.0815681613336072,0,0,0,0,0,0.0495937271301473,0,0,0,0,0,0,0.125310034707695,0.210239659751403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564886381197775,0,0,0,0,0,0,0,0,0
