,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X600690.SH,X002304.SZ,X000651.SZ,X002475.SZ,X300124.SZ,X600104.SH,X003816.SZ,X002371.SZ,X000725.SZ,X000596.SZ,X000063.SZ,X300014.SZ,X600031.SH,X002129.SZ,X000625.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X002049.SZ,X002236.SZ,X000661.SZ,X000100.SZ,X600372.SH,X002241.SZ,X002180.SZ,X601877.SH,X600741.SH,X600702.SH,X000977.SZ,X000157.SZ,X600522.SH,X600584.SH,X002074.SZ,X300142.SZ,X000733.SZ,X600460.SH,X300003.SZ,X002007.SZ,X002294.SZ,X300146.SZ,X000800.SZ,X002028.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.204912574279064,0,0,0.0246659109345679,0,0,0,0,0,0,0,0,0.0274328604169287,0,0,-0.0789924710511446,0.0182508932481491,0,0,0.0233752490908152,0,0,0,0,0,-0.00572600399251605,0,0,0,0,0,0,0,0.12385982089092,0,0,0,0,0,0,0,0,0,0,0,0.0599135675932147,0,0,0,0,-0.0185155204746699,0.00681889369359561,0,0,0,0,0,0
X000858.SZ,0,0,0,0.170004752504327,0,0.0433731341407458,0,0,0,0,0,0,0,0,0,0.0954554279707368,0,0,0.0526760480563131,0,0,0,0,0,0,0.0224261204165933,0,0,0,0,0,0,0,0,0,-0.016969652516991,0,0,0,0,0,0,0,0,0,0,0.00564794518517224,0,0,0,0,-0.0409787399830895,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150445140751635,0.0557064079090891,0,0,0,0,0,0,0,0,0.179336084563878,0,0,0,0.00904013748249654,0.0250121090564612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162103962539675,0,0.0307751808845266,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.346319959153422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487358103467064,0,0,0,0,0,0,0,0.127923570023183,-0.0147615250338301,0,-0.0198592576416514,0,0,0,0,0,0,0,0,0.000732088354031604,0,0,-0.0230422453388408,0,8.67361737988404e-19,-0.0713953378614975,0,0,0,0,0,0
X600276.SH,0,0,0.115522796074538,0,0,0,0.00803622134750016,0,0,-0.0268949455243083,0,0,0,0.0765796923734663,0,0,0,0,-3.46944695195361e-18,0,0.0442996523524982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236070963894652,0.186131775150617,0,0,0,0.169556738969361,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.186040699826818,0,0,0,0,0.0390358443139772,0,0,0,0,0,-0.0508915946094231,0,0,0,0,0,0,0,0.130078954982809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025444366263621,0,0,-0.114539128731952,2.16840434497101e-19,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.129420895716406,0,0,0,0,0,0.189673880913869,0,0,0,0,0,-0.0294595162283067,0,0.191408585752213,0,0,0,0,0,0,0,-0.0822643672262506,0,0,0,0,0,0,0.0674303630712677,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153169215218946,0,0,0.0610682794308949,0,-0.00126745356217162,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.246857138935996,0.0946216260666626,0,0,0,0,0,0,0,0,0,-0.0502588132585663,0,0,0,0,-0.0477750209380402,0,0,0,0,-0.0404488687422513,0,0,0,0,0,-0.0212397338233779,0,0.100465373596351,0,0,0,0.00582780931737923,0,0,0,0,0,0,0,0,0,0,0,0,-0.00261408447315551,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199459031141994,0,0,0.0531296773168652,0,0,0,0.0499982697009709,0,0,0,0,0.0256588878420648,0,0,0,0,0,0,-0.0533375249974667,0,0,0.0364348770530577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00871404101060303,-0.00751683311018002,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00187137239868182,0,0,0,0,0,0.230013826269928,0,0,0,0.0334151344394787,0,0,0.047232072073902,0,0,0,0.0655354349493856,0,0,0,0,0.092582061385147,0,0,0.0626357209766087,0,0,0,0.0756021287849672,0,0,0,-0.200927434458174,0,0,0,0,0,0.0487467442992392,0,0,0,0,0,0
