,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X600104.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600031.SH,X002475.SZ,X600690.SH,X000338.SZ,X600741.SH,X000596.SZ,X600809.SH,X000661.SZ,X601877.SH,X000157.SZ,X002236.SZ,X000100.SZ,X300003.SZ,X002007.SZ,X300142.SZ,X600703.SH,X600271.SH,X300124.SZ,X000625.SZ,X002179.SZ,X002506.SZ,X002241.SZ,X600183.SH,X600177.SH,X600498.SH,X600867.SH,X002008.SZ,X600487.SH,X000050.SZ,X002371.SZ,X300014.SZ,X600066.SH,X002129.SZ,X000066.SZ,X300146.SZ,X600522.SH,X600118.SH,X002049.SZ,X000977.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.171949367144309,0,0,0,0,0,0,0,0.160782526723209,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.111852630016407,0,0,0,0,0.0212093112820768,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330640896790589,0,0,0,0,0,0,0,0,0,0,0,-0.0132788473164779,0,0,0,0,0.0610150569559976,0,0
X000858.SZ,0.0928962234000559,0,0,0,0,0,0,0,0,0.21540563520282,0,0.136607411542313,0,0,0,0.0917715533360877,0.214835454739465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747359409248795,0,0,0,0,0,0,0,0,0,0,0,-0.0269445083582427,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0622379765802632,0,0.00871551437057388,0,0.176947135093087,0.107391803411077,0,0,0.0776685583432399,0.0796824062083299,0,0.195733446554349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345130142137334,0,0,0,0,0,0,-0.000427606587827962,0,0,0,0,0.0664070779466971,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.247467426046161,0,0,0,0,0,0.133800516756992,0,0,0,0,0,0,0.119510020862645,0,0,0,0,0,0,0,0,0,0,0.0202140980352945,0,0,0,0,0.0305164490822048,0,0,-0.051582855151818,0.0751649433248699,0,0,0.0463030757962409,0,0,0.103414715172724,-0.0190915814779347,0,0,0,0,0.0226192182756552,0,0
X600104.SH,0,0,0.16985653922069,0,0,0,0,0,0,0,0,0,0,0,0.219621793995474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469358533860172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127365341408915,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.333139225106062,0,0,0,0,0,0,0,0,0.574834116065003,0,0,0,0,-0.0284498699137654,0,0,0,0,0,0,0,0,0,0.029234856023532,0,0,-0.00202529712934801,0,0,0,0,0,0,0,0,0,-0.08963364031874,0,0,0,0,0,0,0,0.0244376848689378,0,0
X002304.SZ,0,0.0506823625752848,0.111387943346091,0,0,0,0,0,0,0.0908378315467499,0,0,0,0,0,0.106380024412016,0.112370045871578,0,0,0,0,0,0,0,0,0.0616625406951903,0,0,0,0,0,0,0,0,0,0,0.0231143910830568,0,0,0.0784370482519711,0,0,0,0,0,0,0,0,0,0,0,0,-0.0951331211336002,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600309870580033,0.368981277898591,0.146642824869913,0,0,0,0.0439504359619004,0,0,0,0.0256410008413737,0.00147650970617528,0,0,-0.00672902340695361,0,0,0,0,0.043363029356414,0,0
X000063.SZ,0,0.0402588890393605,0,0,0,0,0,0,0,0.045135395640308,0,0.0945632339614791,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.105058113986427,0,0,0,0,0,0,0.0436467311576829,0,0.206238863244291,0,0,0,0,0.0649730778757917,0.00732410308935308,0,0,0.0523343910532473,0,0,0,0,0,0,0,0,0,0,0,0,0.0560786389795856,0,0
X000568.SZ,0,0.511402229848757,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365124081626433,0.101042977638465,0,0,0,0.122894393002757,0,0,0,0,0.0454704769281807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
