,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X002236.SZ,X000568.SZ,X002475.SZ,X000338.SZ,X600031.SH,X002008.SZ,X002456.SZ,X000625.SZ,X300124.SZ,X601877.SH,X600487.SH,X300003.SZ,X600066.SH,X000100.SZ,X002241.SZ,X600809.SH,X002294.SZ,X600867.SH,X300136.SZ,X600522.SH,X600271.SH,X002508.SZ,X600566.SH,X000050.SZ,X600089.SH,X000157.SZ,X000981.SZ,X600498.SH,X600177.SH,X000596.SZ,X600707.SH,X002179.SZ,X000661.SZ,X600699.SH,X002180.SZ,X300142.SZ,X600584.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.48416380795798,0,0.0151634392660746,0.0272459588739365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0.0121012884085467,0,0,0,0,0,0,0.168686922278091,0,0,0,0,0,0.0686949959553589,0,0,0,-0.0051932831505921,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.273590902678537,0,0,0.183567605946836,0,0,0,0,0,0,0.0146246281982688,-0.0522231682125039,0,0,0,0,-0.00904297824666238,-0.0976639222424124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127692193629816,0.0149288164772526,0.0631591432657542,-4.33680868994202e-19,0,0,-1.0842021724855e-19,-0.00904998851874008,0,0,0,0,0,0
X002415.SZ,0,0,0,0.065586353549376,0,0.156149796885156,0,0,0,0,0.0110288904222787,0,0.152418748750206,0,0,0,0,0,0,0,0,0,0.296833897951674,0,0,0,0,0,0,0,0.0907693743649752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00520763402409309,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.304823073751536,0,0,0,0,0.128043611562637,0,0,0.0768262561720224,0,0,0,0.0578912578599433,0.108514079854533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181253924547034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015032158553971,-0.0270505372715124,0,0,0,0,0,0
X000858.SZ,0.0936518602980961,0,0,0.315253108858956,0,0,0,0.158685838733736,0,0,0,-0.0247600657885104,0.0441607970357904,0.446982078903513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537554799532232,0,0,0,0,0,0,0,0,0,-0.0727402760421021,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115284281223203,0,0,0,0,0,0
X600276.SH,0,0,0.0457008626665013,0.0518086694992386,0.0623212065048849,0,0,0,0,0.101585971859978,0,0,0,0,0,0,0,0,0,0,0,0,0.26130030042301,0,0,0,0,0,0,0.0673242772927762,0,0,0,0.107310822002769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00506696384002767,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.413330386233094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136819056824261,0.0621055594058773,0,0,0,0,0,0.0662693428658761,0,0,0,0.00966995129784437,0,0.106916029981478,0,0,0,0,0,0,0,0,0,0,0,0,0.10329630784152,0,0,-0.00462035858126199,0,0,0,0,0,0,0
X002304.SZ,0.0896772907344885,0,0,0,0.0778224440967034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105155136994083,0,0,0,0,0,0.418858295867622,0,0,0,0,0,0,0,0.153531288006834,0,0,0,0,0,0,0,0.0319626944311931,0,0,-0.0150165829939867,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.228535185766347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61835053106602,0,0,0,0,0,0,0,0,0,0.183252130935029,0,0,0,0,0,0,0,0,0.0502965246910027,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.000146809314291757,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.111702256727251,0.352811802257693,0.0499847398754521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124086226125987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475012228296251,0,0,0,0.00487317151943292,0,0,0,0,0,0
