,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X000725.SZ,X600031.SH,X300124.SZ,X003816.SZ,X300014.SZ,X002129.SZ,X002371.SZ,X002241.SZ,X000063.SZ,X000338.SZ,X002049.SZ,X600703.SH,X000596.SZ,X601877.SH,X002179.SZ,X000625.SZ,X600460.SH,X000100.SZ,X600089.SH,X600741.SH,X300142.SZ,X000661.SZ,X002180.SZ,X002074.SZ,X600702.SH,X000157.SZ,X600522.SH,X600884.SH,X000733.SZ,X002236.SZ,X000799.SZ,X002414.SZ,X002008.SZ,X600584.SH,X600779.SH,X600563.SH,X000977.SZ,X002007.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.599719269512372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543908626291458,0,0,0,0,0,0,0,0,0,0,0,0.0784894524308817,0,0,0,0,0,0,0,0,0,0.0164995531439484,0,0,0,0,0,-0.0135634778945642,-8.67361737988404e-19,0,0,0,0,0,0
X000858.SZ,0.0948081660583694,0,0,0,0.233019293254332,0.0400052231183141,0,0.0458002530170306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585246542724332,0,0,0,0,0,0,0,0,0,0,0,0,0.105522997777351,0,0,0,0,0,0.0601273868028411,0,0,0,0,0,0,0,0,0,0.00753601418802301,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0607334805897575,0,0,0,0,0,0,0,0,0,0,0,0.0217952081309995,-1.0842021724855e-19,0,0,0.0162742112578033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198628649178498,0,0,0,0.00821311902247222,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.158235471285169,0,0,0.0283774657107219,0,0,0,0,0,0,0,0,0,0,0,0,-0.259788700552565,0.0745051193383142,0,-3.46944695195361e-18,0,-0.1042658899241,0,0,0,0,0,-0.166342254667175,0,0,-0.0314065716362601,0,0,-0.00926797635875556,0,0,0,0.298763843990243,0,0,0,0.105327225825707,0,0,-6.93889390390723e-18,0,0.0666602599405455,0.0063470834170087,0,0,0,0,0,0,0
X000568.SZ,0.3087507996859,0.110737480359695,0,0.0391671226004701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626478918763275,0,0,0,0,0,-0.0198464940868271,0,0,0.0383071369701301,0,0,0,0,0,0,0,0,0.179369518002551,0,0,0,0.180159208390415,4.33680868994202e-19,0,0,0,0,0,0.0245377347047385,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293512163232018,0.282678328872755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0743864063419638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0450522641571446,0,0,0,0,0,0,0
X600276.SH,0.115665629879774,0,0.0596688365573551,0,0,0,0,0,0.255083983038112,0,0,0,0,0,0,-0.113139881439586,0,0,0,0.307114443960135,0,0,0,0,0,0,0,0,0,0,-0.0560179909903699,0,0,0,0,0,0,0.0102219636177837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0179340503453586,0,0,0,-0.0240884579030863,0,0
X002304.SZ,0,0,0,0,0.0339572131339939,0,0,0,0,0,0,0,0,0.0414713033138792,0,0,0,0.0254314460858471,0,0,0,0,0,0.210444218274719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191601028804433,0,0.0737361569132629,0,0,0,-0.0157255563892103,0.0263877662974667,0,0,0,0,0,0
X600690.SH,0,0.102140139024376,0,0,0,0,0.0812626554261703,0,0,0,0,0,0.167289449792893,0,0,0,0,0,0,0,0.102467212596386,0,0,0.047528046714561,0,0,0,0,0,0,0,0,0,0,0.0686793958984027,0,0,0.126379394045446,0,0,0,0.0474184634282948,0,0,0,0.126397853604828,0,0,0,0,0,0,-0.0287861760754483,0,0,0,-0.0623344277962971,0,0
X600104.SH,0,0,0,0,0.027721748684205,0,0,0,0,0,0.0380793881541158,0,0,0,0.0234870623628317,-0.00355464791555816,0,0,0,-6.93889390390723e-18,0.00206762849293519,0,0,0,0,0,0.201310072711069,0,0.170365135531286,0,0,0,0,0,0,0,0.132491477697952,0,0,0,0,0,0,0,0,0.0142164123679262,0,0,0,0,0,0,0,0,0,0,-0.00653922232393089,0,0
