,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X002475.SZ,X002304.SZ,X000651.SZ,X300124.SZ,X600104.SH,X000063.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X002371.SZ,X600031.SH,X000625.SZ,X000338.SZ,X002129.SZ,X300014.SZ,X002179.SZ,X002049.SZ,X600703.SH,X000100.SZ,X600089.SH,X600372.SH,X002236.SZ,X000157.SZ,X600741.SH,X600584.SH,X000661.SZ,X000977.SZ,X002241.SZ,X601877.SH,X600522.SH,X600702.SH,X000733.SZ,X002074.SZ,X601799.SH,X000800.SZ,X002028.SZ,X002180.SZ,X002007.SZ,X002463.SZ,X300142.SZ,X600460.SH,X600183.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.158517073398812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103104938264667,0,0,0,0,-0.0513383312688347,0,0,0,0,0,0,0,0,0.1296766652476,0,0,0,0,0,0,0,0,0,0.0723500892006851,0,0,0,-0.0446617027162428,0.0208125421504484,0,0,0,0,0,0
X000858.SZ,0,0,0.481664659378698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558092125411044,0,0,0,0,0,0,0,0,0,-0.0713726504963869,0,0,0,0,0,0,0,0,0.10456894375764,0,0,0,0,0,0,0,0,0,0.123566246704128,0,0,0,-0.0799556071014755,0.105603983216386,0,0,0,0,0,0
X000568.SZ,0.056982414809811,0.287679644511891,0,0,0,0,0,-0.0432993210068675,0,0,-0.0520421492792724,0,0,0,0,0.373063980091029,0.0488609166003078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330160509613606,0,0,0,0.137775618812048,0,0,0,0,0,0,0,0.00826846621015261,0,0,0,0,0,0.0210517758437109,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.312478562789941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748456829845323,0,0,0.0715247114578365,0,0,0,0.383107657837721,0,0,0,0,0,0,0,-0.253652000266195,0,0,0,0,0,0,0.0954220412075198,-0.063298563170607,-0.0348580110359704,0,0,0,0,0,0,-0.00694785998182762,0,0,0,0,0,0
X600809.SH,0,0,0,0.0408810912982758,0,0,0,0,0,0,0,0,-0.184498120847216,0,0,0,0,0,0.0864515763378625,0,0,0.200873352392014,0,0,0,0,0,0.0638777141606539,0.0330935730163302,0,0,0,0,0.0035333829370897,0,0,0,0.352578983822517,0.0171972200811845,0,-0.0957572334551834,0,0,0,0,0,0,0,0,0,0,0,0.0315601477809366,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.108065115257323,0,0,0,-0.0079201522900543,0,0,0,0,0,0,0,0,0,0,0,-0.185923241462043,0,0,0,0.200238582738283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0866375900975447,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.110905830930901,0.121042844221284,0,0,0,0,0,0,0.0490954617430489,0.127211005991556,0,0,0.105445653205887,0,0,0.0899981887385369,-0.00350126705479329,0,0,0,0,0,0,0,0,0.025081662424658,0,0.0380438823634739,0,0.00948070807456702,0,0,0,0,0,0,0,-0.0533855470558974,0,0,0,0,-0.120827020604661,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0414613944209324,0,0.110197878425473,0,0,0,0,0,0.12908327846557,0,0,0,0,0.106129945162303,0,0,0,0,0.137340479110044,0,0,0,0,0.0207453685389271,0,0,0,0.0022808056433633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032072030811721,0,0,0,0,0,0
X002304.SZ,0,0.324007265702499,0.100178079683831,0,0.084695366507764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803450135281018,0,0,0,0,0,-0.0516046031496083,0,0,0,0,0,0,0,0,0,0,0,0,0.0831038394823015,0,0,0,0,0,0.00302585117367957,0,0,0,0,0,0,0,0.00494107690511552,0,-0.122209589619671,0,0,0,0,0
X000651.SZ,0,0.198702732097985,0,0,0,0,0.294478868108849,0.0857136566698238,0,0,0,0,0,0,0,0,0,0.0215209526566232,0.0847631008488938,0,0,0,0,0,0,0,0,0,-0.0875352196473244,0,-0.0264244575914513,0,0,0,0,0,0,0,0.0436253802630204,0,0,0,0,0,0,-0.0237426494082966,0,0,0,0,0,8.67361737988404e-19,-0.00137182746354737,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0.0537651564707535,0,0.0674548379800611,0,0,0,0,0,0,0,0,0,0.171659490497892,0.177705975569732,0,0,0,0,0,0.0840670322403465,0,0,0,0,0.0540656538904808,0,0,0,0,0,0,0.0339507180521908,0,0.0497972100704897,0,0.0046800181007686,0,0,0.0362975360207667,0,0,0,0,0,0,0,0,-0.000181861123571654,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.0439380047213185,0,0,0,0,0,0,0,0,0,0,0.163211398667608,-8.67361737988404e-19,0.000998477964141564,0,0,0,-0.0275111364777521,0,0,0,0,0.083807642360377,0.139837228327995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00213039679025881,0,0,0,0,0,0
