,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X002475.SZ,X000568.SZ,X600690.SH,X002304.SZ,X600031.SH,X600104.SH,X000725.SZ,X300014.SZ,X300124.SZ,X000338.SZ,X600703.SH,X000063.SZ,X000625.SZ,X002371.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X000661.SZ,X300142.SZ,X002049.SZ,X601877.SH,X000596.SZ,X000100.SZ,X002179.SZ,X600460.SH,X000157.SZ,X000799.SZ,X600702.SH,X002414.SZ,X600741.SH,X002074.SZ,X002007.SZ,X002236.SZ,X600183.SH,X600584.SH,X600089.SH,X600779.SH,X601799.SH,X000800.SZ,X300146.SZ,X300003.SZ,X600884.SH,X000066.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.26453625582579,0,0.0511582026638744,0,0,0,0.0690232157945239,0,0.0388846274083224,0.028487422217858,0,0,0,0.0317503028896344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433366478568574,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0718553020550199,0,0,0.294917178629642,0,0,0.0354336255452393,0,0,0.0326992999381776,0.00347985393303418,0,0,0,0,0,0,0,0,0.153947386431984,0,0,0,0,0,0,0,0,0.0214129738191971,0,0,0,0,0,0,0,0,0,0.166861930056657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0.105525257483544,0,0,0.120677324742269,0,0.115740117585648,0,0,0,0,0,0,0.0743271429632694,0,0,0.0634476142860572,0,0,0,0.111666256722097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0331941454866654,0,0,0,0.00495898225923842,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.209769710203818,0,0.0984670688550779,0,0,0,-0.0626040024921358,0.0414619246382655,0,0.0102329485672186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412144912895292,0.0792582874033632,0,0,0,0,0,0,0,0,0.0885174455005543,0.0446265891566498,0,0,0,0,0,0.0176752609075662,0,-0.0271470276305256,0,0,0,0,0,0,0
X600276.SH,0,0,0,-0.018868832526722,0,0,-0.078737457365286,0,0.1612347506226,0,0,0,0,2.16840434497101e-19,0.0650466870782708,0,0,0,0,0,0,0,0,0.138495901185939,0,0,0,0,0,0,0,0.302717321867377,0,0,0,0,0,0,0,-0.174158237869185,0,-0.0715269957730216,0,0,0,0,0,0.10666231556963,0,0,0,0,-0.0479759073478646,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122010297719212,0,-0.0449058856690486,0,0,0,0.0716403184720502,0,0,0.0314716635375883,-0.0116745749194013,0,0,-0.0708051166898985,0,0,0,0,0,0,0,0,0,0,0,0.0987594141256773,-0.107909532366505,0,0,0,-0.000131002504095578,-0.00545891898162313,0,0,-0.0478307322971537,0.126447420559514,0,0,0,0,0,0
X002475.SZ,0,0,0,0.00700494579433437,0,0,0,0,-0.10431716207731,0,0,0,0,0,0,0,0.0510909064375787,0,0,0.0309142151079343,0,0.343570283043572,0,0,0,0.0888211162149275,-0.0589910783719931,0,0,0.0920165421620061,0,0,0,0,0,0,0,0,0,0,0.096750931002008,-0.136254441698072,0,0.244473184137905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.127406844286812,0,0.0390693272008982,0,0,0,0,0,0.135964685705134,0,0,0,0,0,0,0,0,0,-0.0143268711169638,0,0,0,0,0,0,0,0.162598833187629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122850022174432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0.0867733847953342,0,0,0.164902625301702,0,0,0.0941494633297029,0,0.0982325560110782,0.0154980787305011,0,0,0.0536975758510027,0,0,0,0,0,-0.0107601165324292,-0.0257540098486826,0,0,0.014201321033331,0,0,0,0,0,0,0,0.0701026183508674,0,0.0301325359017543,0,0,0,0,0,0,-0.0125594595190292,0,0.0494462046487264,0,0,0,0,0,0,0,0,-0.0584270142428509,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.258036591250456,0,0,0,0.310817883759995,0,0,0,0,0,0,0,0,0.0926580351142556,0,0,0,0,0,0,0,0.0570645279120311,0,0,0,0,0,0,0,0,0,0,0,0,0.110780686714183,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.0538924743736997,0,0,-0.111015944696551,0,0,0,0,0,0,0
