,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600276.SH,X600104.SH,X300014.SZ,X000651.SZ,X300124.SZ,X002129.SZ,X002371.SZ,X000625.SZ,X000725.SZ,X003816.SZ,X000596.SZ,X600031.SH,X002049.SZ,X000063.SZ,X002241.SZ,X600703.SH,X000338.SZ,X002179.SZ,X600089.SH,X600522.SH,X000661.SZ,X300142.SZ,X601877.SH,X002180.SZ,X002074.SZ,X600741.SH,X000100.SZ,X000733.SZ,X600460.SH,X600702.SH,X600884.SH,X000157.SZ,X000799.SZ,X002414.SZ,X002236.SZ,X600584.SH,X601799.SH,X600563.SH,X600487.SH,X000800.SZ,X002176.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.305588721738162,0,0,0,0,0,0,0.0189179061329814,0,0,0,0,-0.0365544815491962,0,0,0,0,0,0,0,0.0155634017240873,0,0,0,0,0.0105063650371875,0,0,0.0442581360775664,0,0,0,0.10428211725219,0.00750728121844039,0,0,0,0,0,0,0,0,0,0.00660605343334703,-0.0385745192383352,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0638202101726837,0,0,0,0.195722129014584,0,0,0,0,0,0,0,0.0340005561530144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296806353785273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295756795659865,0.00574582264745544,0,0,0,0,0,0
X600809.SH,0,0,0,0.36301172878381,0,0,0,0,0,0,0,0,-0.0200448491413437,0,0.0686542651117828,-0.0987643243381599,0,0,0.00825560287673507,0,0,0,0,0,0,0,-0.0252959406868125,-0.0463329057689939,0,0,0,0,0.0906567757949442,0,0,0,0.018467701564526,0.055345872207579,0,0,0.158845035726735,0,0,0,0,0,0,0,0,0,0.0514823412072022,0,-0.0113541610709641,0,0,0,0,0,0
X000568.SZ,0,0.10074011038559,0.206840981983257,0,0,0.0615410701329921,0,0,0.0037412023384066,0,0,0,0,0,0,0,0,0,0.0220743235764459,0,0,0,0,0.0166636176024758,0,0,0,0,0.0333890845675144,0,0,0,0,0,0,0,0,0.275197343731805,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235153004348799,0,0,0,0,-0.0085936394160938,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.173793012231381,0,-0.0782271799943155,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489233801709032,0.04055868045122,-0.00086446194520115,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0283995480603657,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179016029937777,0.150723364757423,0,0,0,0,0,0,0.302093034069344,0,0,0,-0.0720955041351979,0,0,0,0,0.0115123702787966,0,0,0,0,0.115479206286154,0.00112070707026879,0,0,0,0.0411740648163063,0,0,0,0.084313542810531,0,0,0,0,0,-0.160308368268397,-0.00415102757161086,0,0,0,-0.0093555876089659,0,0
X002304.SZ,0,0,0,0.0320237839807426,0,0,0,0.00330769475379901,0,0,0,0,0,0,0,0.0314601021899812,0,0,0,0,0,0,0,0,0,0,-0.122856898211614,0,0,0,0,0.200582644520869,0,0,0,0,0,0.267470911686239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.0451221439407693,0,0,0,0,0,0.386664702014739,0,0,0,0,0,0,0,0,0,0.0802932845705398,0,0,0,0,0,0,0,0,-0.0817341367882903,0,0,0,0.0674311690584157,0,0,0,0,0,0,0.0337727652150401,0,0,0,0,0,0,0.0101296211192519,0,0,-0.0280770393586164,-0.0708469475160586,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152535907729087,0,0,0.0355672870346628,0,0,0,0,0.184057154516909,0.321225053055977,0,0.130141358043355,-0.0879314543078184,0,0.159301650306501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402919951594653,0.0173148710789334,0,0,0,0.00491895357617889,0,0
X600104.SH,0,0,0,0,0,0,0.0161854433909097,0,0,0,0.0179768967524865,0,0,0.0175896279031371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457231391326997,0,0,0,0.0664670222978163,0.310800999566589,0.0805036607160917,0,0,0,0,0,0,0,0,0,0,0,0,0.110473743239428,0,0,0,0.0286035101889952,0,0,0,0,-0.0150239958220909,0,0
