,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X300014.SZ,X002371.SZ,X600031.SH,X000725.SZ,X300124.SZ,X000625.SZ,X600703.SH,X002241.SZ,X002129.SZ,X003816.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X601877.SH,X000596.SZ,X000661.SZ,X002179.SZ,X600089.SH,X600460.SH,X000100.SZ,X300142.SZ,X600741.SH,X002074.SZ,X002236.SZ,X000799.SZ,X601799.SH,X600779.SH,X600884.SH,X000157.SZ,X600702.SH,X600584.SH,X000733.SZ,X002007.SZ,X600183.SH,X002414.SZ,X000800.SZ,X600563.SH,X002008.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.290603430909389,0,0.114524419385531,0.0990681780487465,0,0,0,0,0,0,0,0,0,0,0.0864828513343813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,-0.0114390746028085,0,0,0,0,0,0
X000858.SZ,0,0,0,0.219316562882106,0.0494390211959185,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.162532481356541,0,0,0,0,0,0,0,0.120449185429995,0,0,0,0,0,0,0,0,0.200499936104613,0,0.14182035234665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00941004456530539,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0139333282827854,0.026092049383332,0,0,0.175042256073505,0.0629627373150845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0543157725175981,0,0,0,-1.73472347597681e-18,0,0,0.0769201977877585,0,0,0,0.0237494019330783,0,0,0.0208829822782007,0,0,0,0,0,0,0,0,0.0691917323140015,0,0,0,0.00384339027062011,0,0,0,0,0,0,0
X600809.SH,0,0.2043468032977,0,0,0,0,0,0.0543514077000725,0,0,0,0,0,0,0,0,0,0,-0.0269896214053501,0,0,0,0,0,-0.0346470524501343,0,0,0,0,0,0,0,0,0,-0.00309363464465145,0.501169091740907,0.0976219467478857,0,0.0495979235069764,0,0.121407220070648,0,0,0,0,0,0,0,0,0,0,0.00587931945546382,0,0,0,0,0,0,0
X000568.SZ,0,0.343743279572754,0,0.124357304318816,0,0,0,0,0,0,0,0,-0.0802643013272512,0,0,0,0,0,0,0,0,0,0,0,-0.0254993672983599,0,0,0,0,0,0,0,0,0,0,0.185225354511149,0,0.0442535872956401,-0.0131502454557061,0,0.0380805880390961,0,0,0,0,0,0,0,0,0,0,0.01225398949107,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.143986380889623,0,0,0,0,0,0,0,0.105894536477749,0,0,0,0,0,-0.0491137507243357,0,0.0465165810109326,0,0,-0.0476757214116657,0,0,0,0,0,0.0010512605381833,0,0.295002194360864,0,0,-0.146065724612092,0,0,0,0,0,0,0,0,0,-0.15033774483974,0,0,-0.00421851943620587,0,0,0,0,0.00900178843575701,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0146785869100265,0,0,0.13022824526063,0,0,0,0,0,0,0.0819051223420564,0,0,0,0,0,-0.192081307301174,0.0343983664518863,0,0,0,0,0,0.0391296381775405,0,0.0295605377097694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242929674471701,0,0
X002304.SZ,0,0,0,0.267130091649449,0,0,0,0,0.0253999780312413,0,0,0,0,0,0,0,0.0761388061968226,0,0,0,-0.10942055108716,0,0,0,0,0.108945364106545,0,0,0,-0.111020598714718,0,0.0424064892791699,0,0,0,0.171476505847912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0134256290885572,0,0
X600690.SH,0,0,0,0,0.0786015807880157,0,0,0.209073543741279,0,0,0,0,0,0,0,0,0,0,0,0,-0.0758863733121768,0,0,0,0,0,0,0,0.0416338802122345,-0.0481374120110994,0,0,0,0,0,0,0,0.0161409772466466,0,0.116567546630244,0,0,0,0,0,0,0,0.0183586687813817,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0100790824749514,0,0,0,0,0.088394341309183,0,0,0,0,0,0,0.0789675742104552,0,0,0,0,0.0246751079600837,0,0,0.0450162383869433,0.161076190362897,0,0,0.0816615905403691,0.00946630661353335,0,0.00417877693186645,0,0,0.0676910058365048,0,0,0,0,0,0,-0.0446967630244662,0,0,0,0,0,0,0,0,0,0
