,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002475.SZ,X600741.SH,X002236.SZ,X000338.SZ,X600031.SH,X300003.SZ,X002008.SZ,X300124.SZ,X002456.SZ,X601877.SH,X000625.SZ,X600487.SH,X600066.SH,X600809.SH,X000100.SZ,X002241.SZ,X002294.SZ,X600271.SH,X600867.SH,X600522.SH,X300136.SZ,X002508.SZ,X600566.SH,X000981.SZ,X000157.SZ,X600089.SH,X300142.SZ,X002179.SZ,X000050.SZ,X002049.SZ,X600498.SH,X000977.SZ,X000661.SZ,X600707.SH,X600177.SH,X000596.SZ,X002180.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.269373329847001,0.28946545078177,0,0.155282264717965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118686828073397,0,0,0,0,0,0,0,0.00335769891752323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159877877404162,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.241866827657056,0.0327759911370826,0,0.0482148307946185,0.221353538708171,0,0,0,0,0,0,0,0.0603570972620173,0,0,0,-0.0231889691487065,0,0.0203187421470268,-0.211576568414627,0.000405708807567672,0,0,0,0,0,0,0,0,0.00287542221469525,0,0,0,0,0,0,0,0,-0.183228160010119,0,0,0,0,-0.0155880105709254,0,0.156047121301582,0,0,0,0
X002415.SZ,0,0,0,0,0,0.111777150699871,0,0.0270407857248853,0,0.160708004409688,0,0,0,0,0.191635502930709,0.0457842517223339,0,0,0,0,0,0,0,0.297234455097316,0,0,0,0,0,0,0,0,0.0846654474255787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00798884295637446,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.33485697640132,0,0,0,0,0.196984090697619,0,0,0,0,0,0,0.0753618683265941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00352440907479215,0.129675070312433,0,0,0,0,0.127349381063831,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,-2.16840434497101e-19,0,0,0,0,0,0
X000858.SZ,0.0802684464564904,0,0,0.0695371650305843,0,0,0,0,0,0,0,0.635707509973947,0,0,0.0248540496608669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00789878023808754,0,0,0,0,0,0,0
X600276.SH,0,0,0.164337196071366,0,0.147552453030133,0,0,0,0,0.0480461182279782,0.0254472422985635,0,0,0,0,0,0,0,0,0,0,0,0,0.185094859521061,0,0.103266861685705,0,0,0,0,0.0643760950535654,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.0487745654161747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.395643286137989,0,0,0,0,0,0,0.111626442843326,0,0,0,0,0,0,0,0.0235537829143315,0,0,0,0,0,0.0547728206870926,0.0242671539085871,0,0,0,0.10751902878742,0,0,0.061021476764008,0,0,0,0.00142936710970695,0,0,0.0422620912512738,0,0,0,0,0,0,-0.0071047880626453,0,0,0,0,0,0,0
X002304.SZ,0.345252574555878,0,0,0,0.271831814008603,0,0,0,0,0,0,0.091911928075651,0,0.159347438112553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0171399806493817,0,0,0,0,0.143543204720562,0,0,0,0,0,0,0,0.00195386567002776,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.00215976180744924,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.228225893206683,0,0,0,0,0,0,0,0,0,0,-0.0511870847556106,0,0,0,0,0,0.637374678105414,0,0,0.154222963911264,0,0,0,-0.0296599991321697,0,0,0,0,0,0,0,0,0,0,0,0.0421709711428095,0,0,0,0,0.0213225031779449,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.173205194852372,0.300811136177856,0,0,0.199795040758274,0,0,0,0,0,0,0,0,0,0,0,0,-0.0186410551417161,0,0,0,0,0,0,0,0,0,0,0,0,0.0663142594880073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000744954218035584,0,0,0,0,0,0,0
