,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X600104.SH,X003816.SZ,X000568.SZ,X300124.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X300014.SZ,X000596.SZ,X002241.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002463.SZ,X600584.SH,X000977.SZ,X600089.SH,X600703.SH,X600372.SH,X000157.SZ,X002028.SZ,X000066.SZ,X002049.SZ,X002236.SZ,X600183.SH,X600522.SH,X600741.SH,X600066.SH,X600839.SH,X601877.SH,X002456.SZ,X600460.SH,X002156.SZ,X600487.SH,X000661.SZ,X000800.SZ,X002129.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.163234379434248,0,0,0,0,0.150196863877606,0,0,0,0,0,0,0,0,0,0,0.263993310038648,0,-0.00258126842135476,0,0,0,0,0,0,0,-0.00253131195704055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014452786865521,-0.00221478904752883,0,0,0,0,0,0,0,0,0,0,0,0,-0.0580232855450918,0,0
X000858.SZ,0.13361853799177,0,0,0,0,0,0.282549052896586,0,0,0.0423517962213378,0,0.0639879670197222,0,0,0,0,0,0.252662016019362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164156193972827,0,0,0,0,0,0,0,0,0.0101441146931085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0989260528065573,0,0,0,0,0.0879204456355203,0,0,0,0,0,0,0,0,0.137148678683048,0,0,0.316366645260302,0,0,0,0,0,0,0,0,0,0.0226723577713469,0,0,0,0,0,0,-0.0242707794414032,0,0,0,0,0,0.10237559283047,0,0,0,0,0,-0.0240507453775457,0,0,0,-0.0107240708248381,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0525415499885189,0,0,0,0,0,0,0.027468683633602,0,0.377157381981473,0,0.138778770679027,0,0.0585315173529347,0,0,0,0,0,0,0,-0.0318036169349976,0,0,0.142246181934596,0,0,0,0.0714924629777664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.182930352637528,0,0,0,0,0,0,0,0.144761370415501,0.0473147296373913,0,0,0.0128251074927187,0.117952337982571,0,0,0,0,0,0.14603284770754,0,0,0,0,0,0,0,0.0199424001087248,0,0,0.0207836745634606,0,0,0,0,0,0,0,1.73472347597681e-18,0,8.67361737988404e-19,0,0,0,0,-0.0177094974895079,0,0,0,0,-0.0433401049843678,0,0
X600690.SH,0,0,0,0.0457333658608838,0,0,0.0883889458492123,0.292007594466256,0,0,0,0,0,0,0,0.115807800410176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157138555757983,0,0,0,0,0,0,0,0,0.0749293682525783,0,-0.01365290744363,0,0,0,0,0,0,-0.025989861895919,0,0,0,0,0.0378504102700462,0,0
X600809.SH,0,0.103250441385221,0,0,0,0,0,0,0,0,0,0.48935759153494,0,0,0,0,0,0,0,0.0277576638167058,0.25497914856286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,8.67361737988404e-19,0,0.343884094465908,0,0,0,0.0217510777372308,0.055142923896529,0,0,0,0,0,0,0.143017092276479,0,0,0,0,0,0.0337119225714844,-0.0487464835049343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171861191860144,0,0,0,-0.0270049790213194,0,0,0,0,0,0,0,-0.00222021013190663,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,-0.0950603785259977,0,0,0.336154174107804,0,0,0,0,0,0,0.0537961944532333,0,0,0,0.0348723421551618,0,0,0,0.306327701899798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0435559831193447,0,0.115347385238845,0.0453443710634512,0,0,0,0,0,0,0,0,0,0,0.000692852427597006,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461473052713136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302947029021827,0,0,-0.0504453050884328,0,0,0,0,0,0.255770158884749,0,0.0155266582799707,0,0,0,0,0.0880444163468066,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0.0279720013954291,0,0,0.148379313402382,0,0,0,0,0,0.299479965531786,0,0.0136414088542933,0.00990583218411056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285296414572091,0,0.0275078351238229,0,0,0,0,0,0,-0.13851319238941,0,-0.0360551092365331,0,0,0,0,-0.050907339284048,0,0
