,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X002475.SZ,X000651.SZ,X003816.SZ,X000625.SZ,X600104.SH,X002371.SZ,X300124.SZ,X002304.SZ,X000725.SZ,X000338.SZ,X000596.SZ,X000063.SZ,X600031.SH,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X000157.SZ,X002236.SZ,X600703.SH,X000977.SZ,X002463.SZ,X002241.SZ,X600372.SH,X002049.SZ,X600741.SH,X600584.SH,X000661.SZ,X600522.SH,X002129.SZ,X002028.SZ,X601877.SH,X600066.SH,X600183.SH,X000800.SZ,X601799.SH,X000921.SZ,X600418.SH,X002007.SZ,X002074.SZ,X002156.SZ,X000988.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0444784224394407,0,0.12308758104716,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0.142770934963238,0,0,0,0.059006816890811,0,0,0,0,0,-0.0162803159490578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362946079438523,0,0,0,0,0,0,0,0,-0.0145714084844306,-0.00352115179243269,0,0,0,0,0,0
X000858.SZ,0,0,0,0.022028897280524,0,0.384628903573327,0,0,0,0,0.0535654084863212,0,0,0,0,0,0,0,0.0461716974808965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013850027344377,0,0,0.0215580272412667,0,0,0,0,0,0,0,0,0,0,0.0385645152610147,0,0,0,-0.00627171314215667,-0.0218128347461008,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0943803218961643,0,0,0,0,0.135131842096372,0,0,0,0,0,0,0,0,0,0,0,0,0.0352973943076706,0,0.104218930857109,0,0,0,0,0,2.16840434497101e-19,0,0.0421395391203192,0,0,0,0,0,-0.014997717207452,0,0.10861740065438,0,0,0,0,0,0,0,0,0,-0.0359979042627647,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.312288742291041,0,0,0.036020636865958,0,0,0,0,0,0,0,0,0.149953352880194,0,0,0,0.1528324860924,0,0,0,0.013756875907468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0318700375882491,-0.0110019541559564,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.124090643329027,0,0,0,0,0,0,0,0,0,0,0.0147079405465939,0,0,0,0.0245612336795512,0,0,0,0,0.0498475600383895,0,0,0.167553956192355,0.0891072296847665,0.0471245260202192,0,0,0,0,0,0,0.106938362102307,0,0,0,0,0,0,0,-0.00663245881368399,-0.00414127641864471,0,0,0,0,0,0,0
X000568.SZ,0,0.664926255092724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495469642361426,0,0,0,0,0,0,0,-0.0617677874120643,0,0,0,0,0,0,0,0.119489481517459,0,0,0,0,0,0,-0.025797457058926,0,0,0,-0.00247844700632538,0,0,0,-0.00869713507544529,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.0748769275120665,0,0,0,0,0,0.0439999536889217,0,0,0,0,0,0,0,0,0.0727070065392524,0,0,0,0,-0.0879439529802365,0,0,0,0,0,0,0,0.0265598722619942,0,0,0,0.014230280735318,0,0,0.199457472061883,0,0,0,0,-0.0124962416378478,0,0,-0.010582600989661,-0.00435138458740731,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,-0.110766501328507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16385750778152,0,0,0,-0.0704205560187298,-0.0332033401618844,0.46367879166231,0,0,0,0.123398525946388,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,4.33680868994202e-19,0,0,0.139940195376553,0,0,0,-0.0280031749487142,0,-0.058465083895027,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.0949663981007745,0,0,0,0.104453544551107,0,0,0,0.0442003550820517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127510299905392,0,0,0,0,0,0,0,0,0.214173387534268,-0.0335895766711638,0,0,0,0,0,0,-0.0102645694668163,-3.46944695195361e-18,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,-0.0535783753025652,0,0,0,0,0,0,0,0,0,0,0,0,0.1912432455092,0,0.176287220730346,0,0,-0.313064224133975,0,0,0.0463567012308736,0,0,0,0,0,-0.105531977420551,0,0,0,0,0.12072125125391,0,0.201322792077809,-0.023422415722708,0.292937451060667,-0.092593267915982,0,0,0,0,0,0,-0.0351479943956948,-0.0115774472981943,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450126397151393,0,0,0,0,0,0,0,0.137415049158438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041162969374486,0,0,0,0,0,0,0.164961959672221,0,0.428238283473482,0,0,0,0,0,0,0.0172630224018724,0,0,0,0,0,0,0
