,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X000725.SZ,X002304.SZ,X600276.SH,X000625.SZ,X000063.SZ,X600703.SH,X600741.SH,X000100.SZ,X002506.SZ,X002292.SZ,X002241.SZ,X600031.SH,X600066.SH,X600118.SH,X002236.SZ,X000559.SZ,X002049.SZ,X000157.SZ,X002465.SZ,X600372.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600089.SH,X300124.SZ,X600177.SH,X600867.SH,X002294.SZ,X300003.SZ,X002074.SZ,X000869.SZ,X002456.SZ,X002085.SZ,X601877.SH,X600498.SH,X002426.SZ,X002129.SZ,X000977.SZ,X300146.SZ,X000623.SZ,X002008.SZ,X000550.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103826746891807,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.0819799667042307,0.0539252671792638,0,0,0,0,0,0,0,0.0130010104629711,0,0,0,0,0,0,0,0,0.0179956466221743,0.000421484265313093,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.00166733944492388,0,0,0,0,0.00207698745639708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240279969450849,0,0,0,0.0590895319429117,0,0,0,0.0365572343357208,0,0,0,0,0,0,0.113370155328346,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364091328553217,0,0,0,0,0,0,0,0.0583246583728817,0,0,0.0835370718736903,0,0,0,0,0,0,0,-0.00978744462631038,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087157845963841,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121765302266137,0,0,0,0,0,0,0.0890863924501917,0,0,0.045333514085587,0,0,0,0,0.276228036846981,0.114702864499966,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567135578815084,0.0393805418618758,0,0,0,0.124452847453186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369498443453282,0,0,0,0,0,0,0.0891496471244135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014100947799274,0,0,0,0,0,0.024341767725682,0,0,0,0,0,0,0,0,0.0389451801026138,0.194948579860805,0,0,0,0.0449520285063659,0,0.0609884165797615,0,0,0,0,0.107288420517254,0.0245989710453029,0,0,0,0,0,0,-0.00923688435639726,0,0,0,0,0,0
X002304.SZ,0,0,0.0217000136739715,0.0774448968949411,0,0,0,0,0,0.111177694075803,0,0,0,-0.00952659712242797,0,0.021458124428101,0,0,0.105127312375851,0,0,0,0,0,0,0,0,0.135693939176474,0,0,0.0690356307839452,0.0419738096009241,0,0,0,0,0,0,0,0,0,0,0,0.0321946180861578,0,0,0,0,-0.00143465466071233,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0191926713521049,0,0.0477709888508072,0,0,0,0,0,0,0,0,0,0,0,0.123850994142045,-0.0415782238854875,0,-0.0368689205704514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339476151618196,0,0.0331000021298783,0,0.0544053287716259,0.0466901724730492,0,0,0,0,0,-0.00583827527831911,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229749648372363,0,0,0,0,0.0840618646612219,0,0.17929322453711,0,0,0,0,0,0,0,0,0,0.136987770438177,0,0,0,0,0,0,0.00431830937555089,0,0,0,0.0142755300586531,0,0.019859967206176,0.163378387497005,0,0.0801770139638401,0,0,-0.000935192285426234,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.100110245110893,0,0,0,0,0,0,0.0863750244843286,0,0,0,0,0.135959668858767,0,0,0,0,0,0,0,0,0.117605548886987,0.187395645521676,0,0,0,0,0,0,0,0,0,0.113023739212839,0,0,0,0,0,0,0,0,-0.000249221112650829,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252997004463383,0,0,0,0,0.102211406169816,0,0,0,0,0,0,0,0,0,0.00272982399065577,0,0,0,0,0,0,0.0535181187227573,0,0,0,0.0962653489275053,0,0.167428163274904,0,0.0965419357220243,0,0,0,-0.00351794865070678,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0.106306095487063,0,0,0,0,0,0,0,0,0,0,0,0.108740928529597,0,0,0,0,0,0,0,0,0,0.0691075766580461,0.0452693970068459,0,0,0,0,0.0941096398330766,0,0,0,0,0.0025673393181405,0,0.0529830201199271,0,-1.73472347597681e-18,0,0,0,-0.00923911777520956,0,0,0,0,0,0
X000100.SZ,0,0,0.00693194378450938,0,0,0,0,0,0.091250660045526,0,0,0,0,0,0.037348897833168,0,0,0,0,0,0.0250681358917051,0,0,0,0,0,0,0,0,0,0.0977295802709154,0,0,0,0,0,0.156060303018837,0,0,0,0,0.0956592188151391,0,0,0.0544342449611148,0,0,0,0,-0.0511622094764896,0,0,0,0,0,0
