,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X002304.SZ,X000651.SZ,X600031.SH,X002475.SZ,X600104.SH,X000725.SZ,X300124.SZ,X300014.SZ,X000338.SZ,X002371.SZ,X002241.SZ,X000063.SZ,X000625.SZ,X600703.SH,X002129.SZ,X003816.SZ,X002049.SZ,X601877.SH,X300142.SZ,X000596.SZ,X600089.SH,X000661.SZ,X000100.SZ,X002179.SZ,X600741.SH,X600460.SH,X000157.SZ,X000799.SZ,X002074.SZ,X600702.SH,X002236.SZ,X600779.SH,X002414.SZ,X600584.SH,X000800.SZ,X601799.SH,X002007.SZ,X600183.SH,X600884.SH,X000733.SZ,X300003.SZ,X002008.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.31628676791716,0,0.0401513019101477,0,0.205569846849826,0,0.00504761504703578,0,0,0,0,0,0.0327087488497359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205937447892361,0,0,0,0,0,0,0,0,0,0,0,0,0.00847126659466026,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.12628038164844,0.180094046156434,0,0,0,0.0630347100469024,0,0,0,0,0.00385663137167673,0,0,0,0,0,0,0.0296461355186747,0,0,0,0,0,0.0285393570346842,0.109222095903871,0,0,0,0,0.0422913506240531,0.135194548371366,0,0,0,0.161511999888492,-0.0137526623615958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0.0922392095288469,0,0,0,0,0,0,0,0,0.0265875942973063,0,0,0,0.0396478361295287,0,0,0,0,0,0.0391715243990752,0.0249686020972907,0,0,0,0.0592498808723142,0,0,0,0,0,0,0,0,0,0,0,0,0.0295742304702652,0,0,0,0,0,0,0.101627989509432,0,0,0,0,0,0.0107374147325973,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.00263368838385716,-0.0250398484999395,0.213001266523365,0,0,0,0,0,0,-0.0241505710928151,0,-0.0348854347390212,0,0,-0.0496362023079134,0,0,0,0,0,0,0,0,0,0,0,0,-0.0645274512637284,0,0.400920535343387,0,0.204743191295435,0,0.118575686314223,0,0,0,0.0577566975779533,0,0,0,0.0464579407789672,0,0,0,0,-0.0741466188945201,0.113551089573275,0,0,0,0,0,0
X600276.SH,0,0.229354417248279,0,0,0,0,0,0,0,0,0,0,0,0.289438643943863,0.193669884652822,0,0,0,0,0,0,0,0,-0.416805931330341,0,0,0,0,0.130128718534045,0,-0.0238718684320352,0,0,0,0.0163921657137654,0,0,0,0,0,0,0,0,0,0,0.0233961535599445,0,0,0,0,0,0,-0.0143350907169634,0,0,0,0,0,0
X000568.SZ,0,0.325417820392341,0,0.125491973442505,0,0,0,0.0358657660630576,0,0,0,0,0,0,0,0,-0.07716706579055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135777179938336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00910932477772958,0,0,0,0,0,0
X600690.SH,0,0.0799740982034364,0,0,0.206078898063279,0.0128887048090862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044121138251206,0,0,0.110620749790083,0,0,0,0,0.111124490448063,0,0,0.0156745124318135,0,0.015572313438165,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235475251849253,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.275460306333041,0,0.273989659659739,0,0,0,0.06297019587414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142296076949692,0,0,0,0,0,0,0,0,0.0226916093604435,0,0,0,0,0.0334462728270843,0,0,0,0,0.0586635628966732,0,0,0,0,0,0,0,-0.0689676472063708,0.0297511946734515,0,0,0,0,0,0
X000651.SZ,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0266015795316881,0,0,0,0,0,0,0,0,0.175022416690805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560234636370406,0,0,0,0,0.00625662905343935,0,0,0,0,0,0,0,-0.0286128516523559,0,0,0,0,-0.00619020283420731,0.0256323065013873,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.0346729966577126,0,0,0.056225715528475,0,0,0,0,0,0,0.143112467167527,0,0,0,-0.0361936908436608,0,0,0,0,0,0,0,0,0.554858340020742,0,1.73472347597681e-18,0.0402048524020367,0,0,0,0,0,0,0,0,0,0.0856378282472676,0,0,0,0,0.0169858765730801,0.0134467924993334,0,0,0,0.278872715170817,0,0
