,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X300014.SZ,X600104.SH,X000651.SZ,X002129.SZ,X000625.SZ,X300124.SZ,X600031.SH,X000725.SZ,X002371.SZ,X003816.SZ,X002049.SZ,X000596.SZ,X000063.SZ,X002241.SZ,X000338.SZ,X600089.SH,X002179.SZ,X600703.SH,X600522.SH,X000661.SZ,X601877.SH,X002180.SZ,X002074.SZ,X300142.SZ,X600884.SH,X600741.SH,X600460.SH,X000733.SZ,X000100.SZ,X600702.SH,X000799.SZ,X000157.SZ,X601799.SH,X600563.SH,X002236.SZ,X002176.SZ,X600584.SH,X000800.SZ,X600487.SH,X600779.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.148485976477467,0,0,0,0,0.0541442670012971,0,0,0,0,0,0,0,0,0.0532704979403332,0,0,0,0,0,0,0,0,0,0,0.0180188947948077,0,0,0,0,0,0.00225898333381583,0,0,0,0,0.0149332911710754,0,0,0,0,0,0,0,0,0.0808631269776659,0,0,0.00553520817793154,0,0,0,0,0,0,0
X000858.SZ,0,0,-6.93889390390723e-18,0.260023273880225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341938011431264,0.0184403652907748,0,0,0,0,0.15440546274084,0.0404416036601025,0,0,0.0360523979060422,0,0,0,0,0,0.191007126482138,0,0,0.00485976382992353,0.0195210097957808,0,0,0,0,0,0
X600809.SH,0,0,0,0.352328537772565,0.00813067889785833,0.288364955593973,0,0,0,0,0,0,0,-0.0507922714078157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213177612017711,0,0,0,0,0,0,0.0520082624699114,0.0113238973438776,0,0,0.0250949767345159,0,-0.0592673513108297,0,0,0,0,0,0,0.016136109130593,0,0,0,0,-0.0124669310533071,0,0
X000568.SZ,0,0.0354673853771966,0.16701709558588,0,0,0,0,0,0.00732302520826411,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0167733242458624,0,0,0,0,0,0,0,0,0,0.412114962942596,0,0,0,0,0,0,0,0,0,0,0,0,-0.00577055284288517,0,0,0,0,-0.00664188333476872,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0483797679340764,-0.125014857801115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869356913868693,0,0,0,0.888384421849059,0,0,0,0,0,0,0,0.0389139550935132,0.043698038951815,0,0,0,0,0,0
X002304.SZ,0,0,0.142934318974621,0,0,0,0.115365614120249,0,0,0,0,0,0,0,0,0,0,0.110695898296261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175668338987311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0304892600763894,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795763577252612,0,0,0,0,0,0,0,0,0,0,0,0,0.179719778762003,0,0,0,0,0,0.0374969068309174,0,0,0,0,0,0.096494069319364,0,0,0,0.0310477856819697,0,0,0.157312446501488,0,0,0.266576614216199,0,0,0.0397828708362404,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,8.67361737988404e-19,0.132259887222009,0,0,0,-0.120133476963821,0,0.321585240175869,0,0,0,0,0,0,0,0,0,0.148718030473136,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.140266535906522,0,0,0,0,0,0,0,0,0,0,0,0,-0.00855577275815821,0.0514868832459209,0,0,0,-0.0134113105414152,0,0
X002475.SZ,0,0,0,0,0.0944598474390638,0,0,0,0,0,0,0,0,0,0,0,0,0.161024808420915,0,0,0,0.0926042180085971,0.197120763411351,0,0,0,6.93889390390723e-18,0.0471397643306475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235043543658476,0,0,0,0,0,0,0,0,-0.0207832914861339,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434431055470132,0,0,0,0,0,0,0,0,0,0,0,0,0.118779039354315,0,0,0.232166258592,0,0.142788012837965,0,0,0,0,0,0,0,0,0,0.0938421111484065,0,0,0.125226821164433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
