,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X000725.SZ,X003816.SZ,X002304.SZ,X600031.SH,X600703.SH,X600690.SH,X000568.SZ,X000338.SZ,X000100.SZ,X000661.SZ,X600741.SH,X002241.SZ,X002371.SZ,X300014.SZ,X600183.SH,X600809.SH,X300003.SZ,X002236.SZ,X000596.SZ,X000977.SZ,X002129.SZ,X002456.SZ,X601877.SH,X002007.SZ,X600584.SH,X300124.SZ,X000625.SZ,X300136.SZ,X002463.SZ,X002180.SZ,X000157.SZ,X002414.SZ,X000066.SZ,X600118.SH,X300142.SZ,X002185.SZ,X002008.SZ,X002179.SZ,X600271.SH,X002049.SZ,X600699.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0693679729278617,0,0,0,0,0,0,0,0,0,0,0,0,0.146661186591984,0,0,0,0,0,0,0,0,0,0.0586048079723129,0,0.216898970003389,0,0,0,0,0,0,0,0,0,-0.116361943152383,0,0,-0.0268670625180565,0,0,0.0727170278875711,0,0,0,0,0,0.0117039156354006,0,0,0,-0.0267263566261186,0,0,0,-0.0715730853885598,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0163787629299497,0,0.0628400605882968,0.627925808160833,0.0341147537749024,0,0,0,0,0,0.045228951314045,0,0,0,0,0.00246903046770167,0,0,0,0,0,0,0,0.0266750220488045,0,0,0,0,0,0.0332076927186587,0.00695090257842049,0.0194672021104001,0,0,0,0,0,0.00503688969960633,0,0,0,0,0,0,0,0.00545994855578005,0,0
X600276.SH,0.234331564984429,0,0,0,0,0,0.0237868505154446,0,0,0,0,0,0,0,0,0,0,0.126593902651997,0,0,0,0,0,-6.93889390390723e-18,0.107024458751377,0,0,-0.0447244560745437,0,0,0,0.119162576141072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140234006938893,0.00109653818350632,0,0,0,-3.46944695195361e-18,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.117636598611026,0,0,0,0,0.243003582083551,0,0,0,0,0.022686399019269,0,0,0,0,0.0243818178991339,0,0,0,0,0,0,0,0,0,0,0,0.00612946025643043,0,0,0,0,0,0,0,0,0,0.00887762493906066,0.0356543204999862,0,0,0,0,0,0,0,0.00254674846028386,0,0
X002415.SZ,0,0.0397917463861386,0,0,0,0,0.0789620863360832,0,0,0,0,0,0,0,0.0638479158978001,0,0,0,0,0.0386433404746678,0,0,0,0,0,0.362467489980853,0,0,0,0,0,0,0,0,0.145442595211821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111585325715055,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.182012388681227,0,0,0,0,0.0529113702913237,0,0,0,0,0,0,0,0.0133383896928461,0,0,0,0,0,0,0,0,0,0,0,0,0.168330332775361,0,0.353647523930798,-0.0180143469721903,0,0,0,0,0,0,0,0,0,0,0,0.0218180117448337,0,0,0.00354499192698661,0,0.0684270157604958,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.106135862895601,0,0,0,0,0,0,0,0,0.0646097406853129,0,0.248584787226294,0,0,0,0,0,0,0.00621507254684731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0648636581829711,0.260520901595273,0,0,0,0,0,0,0,-0.00693630979786044,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505653680146463,0,0,0,0,0,0.065542271073241,0,0.109643152081012,0,0,0,0,0.074872066964242,0.0159793356668986,0,0,0,0,0,0,0,0.169271155208075,0,0,0.0193550322092357,0,0.154490453399896,0,0,0,-0.00235223754409839,0,0,0,0.00224835328864919,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303638348819389,0,0,0,0,0.0286807060296289,0.0709699115535466,0,0,0,0,0,0,0.0681594853992166,0,0,0,0,0,0.0346206830681892,0,0.0436577428180523,0,0,0,0,0.112862601616832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125814144923165,0,0
X003816.SZ,0,0,0,0,0.00385463382881705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319534677246351,0,0.111586868935329,0,0,-8.67361737988404e-19,0.151647305636074,0,0,0,0,0,0,0,0,0,0,0,0,-0.00279101286559735,0.111132755361329,0,0,0,0,0,0,0,0,0.00500640846711847,0,0,0,0,0,0,0,0,0
