,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X002475.SZ,X000338.SZ,X600031.SH,X002008.SZ,X000625.SZ,X002456.SZ,X300124.SZ,X600487.SH,X600066.SH,X601877.SH,X300003.SZ,X000100.SZ,X002241.SZ,X600809.SH,X600867.SH,X002294.SZ,X600271.SH,X300136.SZ,X600522.SH,X002508.SZ,X000050.SZ,X600566.SH,X000981.SZ,X600089.SH,X000157.SZ,X600498.SH,X600177.SH,X600707.SH,X000596.SZ,X300142.SZ,X002180.SZ,X002179.SZ,X600699.SH,X600584.SH,X000661.SZ,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0982510062329106,0.471959531143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557416294623181,0,0,0,0,0,0,0,0,0,-0.00779650294426536,0,0,0,0,0,0
X600104.SH,0,0,0,0.0501275019792257,0,0,0,0,-0.0106730272783502,-2.16840434497101e-19,0,0,0.306921188929317,0,0.055930239028417,0,0,0,0,0,0,0,0,0,0,0,0,-0.00429021594777359,0,-0.0434675415551295,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148267986194223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0970005578518231,0,0,0.187288510268771,0,0,0,0.196237858796324,0,0,0,0.0513779658181527,0,0,0,0,0,0,0,0,0,0.12032178925204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119694228252796,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.326925729329213,0,0,0,0,0.0787683040931058,0,0,0,0.0888664877867566,0,0,0.0389286979265438,0,0,0,0,0,0,-0.0359608647442334,0,0,0,0,0.059994385148423,0,0,-0.0698403355804228,0,0.209093487190608,0,0,0,0,0,0,0,0,0,0.159019971239736,0,0,0,-0.0567822520361282,0,-0.0587165111620286,0,0,-0.00282818417072784,0,0,0,0,0,0
X000858.SZ,0.0424919937023879,0,0,0.300110674538682,0,0,0,0.123949455993094,0,0,0,0.531902079449996,0,0.0386491370782624,0,0,0,0,0,0,0,0.007371724769129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136998661570082,0,0,0,0,0,0
X600276.SH,0,0,0.164532033634754,0,0.0541725425362086,0,0,0,0,0,0.0458982174743676,0,0,0.0205556748705854,0,0,0,0,0,0,0,0.212514575060342,0,0,0,0,0,0.0741923065326984,0,0,0,0,0,0.105915544258687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255194180500738,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.0394757291264751,0,0,0.352003524136586,0,0,0,0,0,0,0.0979077844129245,0,0,0,0,0,0.0987331020134559,0,0,0.0833538350751806,0,0,0,0,0,0.0879241139671549,0,0,0,0.069735177311807,0,0,0,0,0,0,0,0,0,0,0,0,0.158741383760841,0,0,0,0,-0.00896475680718431,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.110812214656434,0,0,0,0,0,0.0162148299898816,0,0.106808764760569,0,0,0,-0.0371911814847966,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.390081747989885,0,0,0,0,0,0,0,0,0.218070605918254,0,0,0,0,0.000277369950446101,0,0,0,-0.0122463816757603,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0801947847981643,0,0,0,0.031801115111624,0,0,0,0,0,0,0.202446876822907,0,0,0,0.253586391656014,0,0,0,0,0.243473338359278,0,0,0,0.147331514987184,0,0,0,0,0,0,0,0,0,0,0,0.261380789921693,0,0,0,0,0,0,0.517481382117662,0,-0.00672460194515815,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0517737927898669,0.502964191696044,0,0,0.0302258516798868,0,0,0,0,0.0559655790556179,0,0,0,-0.00991733685662562,0,0,0,0,-0.0283757378508051,0,0,0,0,0,0,0.0724674900581201,0,0,0,0,0.143724006721256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.00748838742785693,0,0,0,0,0,0
