,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X000651.SZ,X600104.SH,X600031.SH,X000725.SZ,X300014.SZ,X300124.SZ,X002241.SZ,X000063.SZ,X002371.SZ,X003816.SZ,X000338.SZ,X600703.SH,X002129.SZ,X002049.SZ,X000596.SZ,X000625.SZ,X601877.SH,X002179.SZ,X600741.SH,X300142.SZ,X000100.SZ,X000661.SZ,X002180.SZ,X600089.SH,X002074.SZ,X600460.SH,X600702.SH,X000157.SZ,X000733.SZ,X002236.SZ,X000799.SZ,X600884.SH,X002414.SZ,X000977.SZ,X600779.SH,X601799.SH,X002008.SZ,X600584.SH,X600183.SH,X600522.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.643823585244745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329621607040433,0,2.71050543121376e-20,0,0,0,0,0,0.0419940771135954,0,0,0,0,0,0,0,0,0,0.0269912918994197,0,0.0509876952320515,0,-0.007355555052403,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015095608952601,0,0,0,0,8.67361737988404e-19,0,0
X000858.SZ,0.367408399122406,0,0,0,0.0412612063595485,0,0,0,0.0896983918282743,0,0,0,0,0,0,0,0,0,0,0,0.0538293927835087,0,0,0.0398304780631036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134370131497427,0,0,0,0,0,0,0,0,0,0,0,0.011674742060979,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.12407300813275,0,0,0.232000847602343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210296437770506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538889817104245,0,0,0,0,0,0,-0.0688152009243488,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0
X000568.SZ,0.274574578793068,0,0,0,0,0,0,0,0,0.0460630466197005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259068277867446,0,0,0,0,0,0,0.0674123648990083,0,0,0,0,0,0,0,0,0,0,0,0,0.291487022477376,0,0,0,0,-0.0532987543514816,0,0,0,0.0293798947670501,0,0,0,0,0,0
X600809.SH,0,0.312951387692803,0,0,0,-0.0388413433958904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238436734493006,0,0,0,0,0,0,0,0,0,0,0.083200823569348,0,0,0,0.0337232895792949,0,0.015302833517515,0,0,0,0,0,0,0,0,0,-0.00959421105528698,-0.00501046072620632,0,0,0,0,0,0
X002475.SZ,0,0,0.0662218216525521,0,0,0,0,0,0,0,0,0,0,0,0.0781810048054964,0.278866381079754,0,0.017380231775182,0,-0.0538357908836632,0,0,0,0,0,0,0,0.0317804220211708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130843081722455,0,0,-0.0286474452599485,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.108570660476703,0,0.21944761804374,0,0,0,0,0,-0.0610737314061024,0,0,0,-0.0452375195767943,0,0,0,0,0,0,0,0,-0.104450242401454,0,0.0548564395101031,0,0,0,0,0,0,0,0,0,0,0,-0.0404245806211532,0,0,0,0,-0.0407898305460243,0,0,0.0777480699636689,0.187652417543143,0,-0.0405639644260393,0.000612076397543669,0,0,0,-0.0195794842680091,0,0
X600690.SH,0,0.0573528954907739,0,0,0,0,0,0,0.15078290190875,0,0,0.359572855391312,0,0,0,0,0,0,0,0,0,0,0,0.0490253750939073,0,0,0,0,0.0375606975630672,0.238233646332941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0221777078735416,0,0,0,0.015856797308998,0,0
X002304.SZ,0,0.0266704285682096,0,0,0,0,0,0.196811684148606,0,0,0,0,0,-0.0392695095156168,0,0.107749592036243,0,0.0268530850758256,0,0,0,0.037362334273245,0.039287920804236,0.132379444536212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100477525175696,0,0,0,0,0,0,0,0,0,0,-0.108922744106295,0,0,0.0214839755020022,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0619800263932508,0,0,0,0.102970236074342,0,0,0,0.206756539923378,0,0,0.0970961507455657,6.93889390390723e-18,0,0,0,0,0,0,0,0.0456989638446591,0,-0.04135016918896,-0.0151073339272153,0,-0.039856097174857,0,0,0,0,0,0,0,0,-0.030953935997301,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0212367669572003,0,0,0,0,0.00385591291008271,0,0
