,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600271.SH,X600066.SH,X002241.SZ,X000100.SZ,X002292.SZ,X002236.SZ,X600031.SH,X600177.SH,X600118.SH,X002475.SZ,X000559.SZ,X002506.SZ,X000568.SZ,X600372.SH,X000157.SZ,X000338.SZ,X300003.SZ,X002007.SZ,X002085.SZ,X300124.SZ,X002074.SZ,X002180.SZ,X002426.SZ,X002456.SZ,X600867.SH,X000050.SZ,X000981.SZ,X600089.SH,X002294.SZ,X000869.SZ,X600699.SH,X002465.SZ,X600498.SH,X601877.SH,X002508.SZ,X002249.SZ,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0458918307331743,0,0,0,0,0,0,0,0,0,0,0,0,-0.0362354403091746,0,0,0,0,0,0,0,0,-0.0420608436394961,0,0,0,0.223178542658155,-8.67361737988404e-19,0,0.025498487973594,0.060445567184713,0,0,0,0,0,0,0,0,0,-0.0448712927261715,0,0,0.0442587035054601,0,0,0,-0.0627743668941621,0.0503458897040345,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.108542590441016,0,0.123868544244335,0,0.230421757085309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833439707156893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202168612270741,0,0,0,0,0,0,0,0,-0.0546603631624144,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0693702343618203,0,0,0,0,0.116640928142748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356017861300326,0,0,0.104885683530183,0.0328521880503662,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.0355718817009942,0.0283824859046858,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0926394038177179,0,0,0,0.0111629302316169,0,0,0,0,0,0.0257746395773761,0,0.0504636830889417,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.0409036682132772,0,0,0,0,0,0,0,0.0672861375357759,0.0715385623097476,0,0,0.145557651447508,0,0,0,0.0374035772700936,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0.0640590922042789,0,0,0.307777549393951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0872505496866325,0,0,0,0,0,-0.0412902944773771,0,0,-0.00328350802476683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168413461893219,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.127340794020447,0,0,0,0,0,0,0,0.0433818686642288,0,0,0,0.116566574128744,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.0254825462937141,0,0,0,0,0,0,0,-0.0107754802201254,0.0137770267968752,-0.0277039705240072,0,0,0,0,-0.00779734133422343,0,0,0,0,0,0.257341475997683,0,0,0,0,0,-0.0510872491060134,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270707764414955,0,0.0607761271889206,0,0,0,0,0,0.165729920014054,0.085515793518413,0,0,0,0.204842215513295,0,0,0,0,0,0,0,0.0499361341831714,0,0.0521598937987147,0,0,0,0,0,0,0,0,0,0,0,0,-0.00159088380376659,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0.227562670728476,0,0,0.0326340607778871,0,0,0.127052017306389,0,0,0,0,0,0,0.081148027066117,0,0.100159374375116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.112234682431287,0.017321470879209,0,0,0.157013370453198,0,0.0784829379812957,0,0,0,0,0,0,0,0,0,0.177887788849233,0.0671770292234763,0,0.0891096148961772,0,0,0,0,0,0,0.0525250574049156,0,0,0,0,0,0,0,0.0137782352858595,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128039398635885,0,0,0,0,0,0.208120194959471,0,0,0,0,0,0,0,0.10061561103225,0,0.265704770549416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
