,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000858.SZ,X000625.SZ,X000063.SZ,X002304.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X600118.SH,X600271.SH,X600372.SH,X000157.SZ,X600703.SH,X000338.SZ,X002129.SZ,X600089.SH,X002241.SZ,X600741.SH,X000559.SZ,X600177.SH,X600839.SH,X600066.SH,X002456.SZ,X600582.SH,X300124.SZ,X002236.SZ,X002292.SZ,X000800.SZ,X600060.SH,X600198.SH,X002465.SZ,X600435.SH,X000623.SZ,X000977.SZ,X000568.SZ,X002276.SZ,X601877.SH,X000581.SZ,X002475.SZ,X600498.SH,X000050.SZ,X002008.SZ,X000869.SZ,X002294.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.144828511472006,0,0,0,0,0,0,0,0.0804179748455439,0,0,0,0,0,0,0,0,0.0087625252576004,0.0928441108183127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107518129925167,0,0,0,0,0,0
X600104.SH,0,0,0,0.00990804264854924,0,0,0,0.0282637662565691,0,0,0,0,0,0,0.00997269456777575,0.0395191585338583,0,0,0,0,0,0,0,0,0,0.07649523753562,0,0,0,0,0,0,0,0,0,0,0,0.081055477005082,0,0.301229907393598,0.0250403065978566,0,0,0,0,0,0,0,0,0,0,-0.0058947882870275,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0211150918573989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108479665217997,0,0,0,0.0164824981339294,0,0,0,0,0,0.0890705038298572,0,0,0,0,0,0.0193321437897578,0,0,0,0,0,0,0,0,0,0,0,-0.00593349911455609,0.00615817079733713,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574284779475931,0.0362917767203201,0,0,0,0,0.0356228540144257,0,0,0,0,0,0,0,0.0623701909319588,0,0.0513220158560744,0,0,0,0,0.132282510316946,0,0,0.00579530459150278,0,0.0509205251382155,0,0,0,0.0616071200226922,0,0,0,0,0,0,-0.0207970262284586,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141516862343089,0,0,0,0.074495720882007,0,0,0.0824652824120092,0,0,0,0,0.0992387663256164,0,0,0.0842080870338933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778379643024674,0.0526748643610177,0,0,0,0.153504058542609,0,-0.00475922426601735,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0413045896236701,0,0,0,0,0,0.0043646159536013,0,0,0,0,0.0290072436499034,0,0.0851743737963073,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340729128131374,0,0,0,0,0,0,0,0.0207234978367166,0,0.0194365420945621,0,-0.00747303931347344,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0389027587943441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580196688100328,0,0.0226267443542847,0.00905879894797586,0,0,0,0,0.0140744828489617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016008059703627,0.0329286939556913,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00476119165637424,0.0938243668449607,0,0,0,0,0.114655755229673,0,0,0.0258153970145769,0.0738519844288317,0.0956784218026758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.151836643813355,0,0,0,0,0,0,-0.0189391473708886,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.0329095263754836,0,0,0,0,0,0.0581720544727463,0,0,0,0.0157581186126273,0,0,0,0,0,0,0,0,0,0,0.0422759659261846,0,0,-6.93889390390723e-18,0,0,0,0,0.120019824990286,0.0157951588941696,0.0355069000644876,0,0,0,0,0,0,0,0.0949043234623028,0,0,-0.00786376750465036,-0.0139091779609377,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166288774804319,0.0631262416105541,0.0891594778544018,0,0,0.172960161744784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106391587489129,0,0,0,0,0.0108216076399781,0,0,0,0,0,0,0,0,0,0,0,0.00526957464225456,0.0189619556775746,0,0,0,0,0,0
