,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600809.SH,X000651.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600031.SH,X600104.SH,X000725.SZ,X300014.SZ,X000661.SZ,X300124.SZ,X000338.SZ,X000063.SZ,X003816.SZ,X002241.SZ,X000625.SZ,X000596.SZ,X600703.SH,X000100.SZ,X300142.SZ,X002371.SZ,X000157.SZ,X002129.SZ,X002179.SZ,X002049.SZ,X600741.SH,X000799.SZ,X600702.SH,X002007.SZ,X601877.SH,X002236.SZ,X600584.SH,X600779.SH,X002414.SZ,X300146.SZ,X300003.SZ,X601799.SH,X600183.SH,X000800.SZ,X600460.SH,X002074.SZ,X000066.SZ,X600089.SH,X002508.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.0818965714365031,0,0,0,0,0,0,0,0,0.0328540310887261,0,0,0,0,0,0,0,0,0,0,0,0,0.0308780861207129,0,0,0,0,0.0456974767162343,0,0,0,0,0,0.0245284181277389,0,0,0,0,0,0,0,0.123511682615398,0,0,0,0,0,0,-0.0202064216313591,0,0,0,-0.0199132791441192,0,0
X000858.SZ,0.0348986589646718,0,0,0,0.355763812422476,0.175423642278145,0,0.0044824881873815,0,0.0668561006234012,0,0,0,0.0112559054851758,0,0,0,0,0,0,0,0,0,0,0,0,0.0863183773910031,0,0.0074346814522529,0,0,0.0663054155071673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00253872474091266,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173192558550568,0,0,0,0,0.185162065394368,0,0,0.0224635297827713,0,0,0,0,0,0.0298723163140478,0,0.0962988611836965,0,0,0.0361395414912517,0.0230894904768071,0,0,0,0,0,0.0746571871971931,0,0,0.0637766480246412,0,0,0,0,0,0,-0.0408656111822645,0,0,0,0,0.00295787290520148,0,0
X600276.SH,0,0.149663437112388,0,0,0,0,0,0.076328807261304,0,0,0,0,0,0,0,0,0,0,0,0,0.00970684865899531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664276097449801,0,0,0,0,0,0,0,0,0,0.108800478125431,0,0,0,0,0.0106804935892524,0,0
X000568.SZ,0,0.444407191918097,0,0,0,0.179731094317737,0,0.0215804631042736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140052477617054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00915328468594298,0,0,0,0.200401168965179,0,0,0,0,0,0,-0.024494108640143,0,0,0,-0.00174178450286982,0,0
X600809.SH,0,0,0,0,0.186434684488594,0,0,0,0,0,0,0,0,0.109499283600486,0,0,0,0,0,0,0.00507887463411473,0.0237170765352438,0,0,0,0,0,0,0,0,0,0.454986895749735,0.0164792332617343,0,0,0,0,1.73472347597681e-18,0,0,0,0.125631369730461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295613009264413,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0472710623665304,0.0666607362483384,0,0,0,0,0,0,0,0,0,0,0,0.0130445787586699,0,0,0.0656984896573313,0,0.00806488488046678,0.0546657707962065,0,0,0,0.123603340840599,0,0.0312043970289945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00553896804948528,0,0,0,0,0.00606542824839528,0,0
X002304.SZ,0,0,0,0.340298470014735,0,0.05923877602455,0,0,0,0.0687883429285084,0,0,0,0,0,0,0,0,0,0,0,0.156561510876453,0.0400640176551838,0,0,0,0,0,0,0,0,0.071845208529867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.061366109012091,0,0,0,0,0,0,0
X600690.SH,0,0,0.0258376687583713,0,0,0,0.36053550739171,0,0,0.0347024957039741,0,0,0,0,0,0.0448715225156372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584618824281699,0,0,0.173811477572201,0.0184821917548744,0,0.0922594869616393,0,0,0,0.0252476729239575,0,0,0,0.0697245379952268,-0.085924967840773,0.0476667749741045,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0200244496997767,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.228626437108301,0,0,0,0.0362662201661356,0,0,0.0422670260569263,0,0.260132477924528,-0.0482128861359691,0,0.0891133831351845,0.132964448191596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0376571373545477,0,0
