,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X002304.SZ,X600276.SH,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600741.SH,X600031.SH,X002475.SZ,X002241.SZ,X002236.SZ,X600066.SH,X000338.SZ,X601877.SH,X000100.SZ,X002508.SZ,X002456.SZ,X600271.SH,X600089.SH,X300124.SZ,X600118.SH,X002085.SZ,X600522.SH,X000157.SZ,X600177.SH,X600372.SH,X002007.SZ,X300136.SZ,X300003.SZ,X600487.SH,X000981.SZ,X002294.SZ,X600867.SH,X600699.SH,X002074.SZ,X000066.SZ,X002008.SZ,X600809.SH,X600566.SH,X000596.SZ,X002180.SZ,X002426.SZ,X300115.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0721589657630574,0,0,0,0,0,0,0,0,0.185741989471489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013341569908853,0,0,0,0,0,0,0,0,0,0.148344284294213,0,0,0,0,0,0,9.46022106828912e-06,0.00763035248208336,0,0,0,0,0,0
X600104.SH,0,0,-0.0612990791198891,0,0,-0.0757145933210511,-0.00955893727550093,0,0,-3.46944695195361e-18,0,0,0,0.243774017606805,0,0,0,-0.0249128823067016,0,0,0,0,0.0553060351854225,0,0,0.200134884008669,0,0,-0.0364023688687707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00830663808233601,-0.0133631178027729,0,0,0,0,0,0
X002415.SZ,0,0,0,0.265518168839727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165774602248154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135936170139148,0,0,0.0380960578935279,-0.100717244675341,0.0391462179247022,0,0,0,0,0,0,-0.0123346180005904,0.000801546913079008,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0583096368954215,0,0,0,0,0,0,0.211472468403794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233366860942427,-0.00176793496427203,0,0,0,0,0,0
X000858.SZ,0,0,0,0.105793908322215,0,0,0.166496693685408,0,0,0,0,0,0.232297527816365,0,0,0,0,0.112092559316134,0,0,0,0,0,0.0502246675068507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100386435420858,0,0,0,0,0,0,0,0,0.0051894200469802,-0.00115987201252408,0,0,0,0,0,0
X000725.SZ,0,0,0,0.159329600830016,0,0,0,0,0,0,0,0,0,0.0118652841545789,0.0803113344615589,-0.0805292199214633,0,0,0,0,0.0535168143749837,0,0,0,0,0,0,0,0,0,0.133583125994351,0,0,0,0,0.214094128881621,0,0,0,0.0982959569301317,0,0,0.0680281919225093,0,0,0,0,0,0,0.0274933045811295,0.069165607113069,-0.0383479001486458,0.0330985081216484,0,0,0,0,0,0
X002304.SZ,0,0,0,0.000704141131096812,0.118622912762557,0,0,0,0,0,0,0,0.29310598666033,0,0,0,0,0,0,0,0,0.109914430708173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744242514302391,0,0,0,0,0,0.0617934564992694,0,0.0897422258489588,0,0,0,0,0,0,0.0210647904471786,-0.00408924874648779,0,0,0,0,0,0
X600276.SH,0,0,0,0.0711381504748117,0.0409446753102614,0,0,0,0,0,0,0.251051638268692,0,0,0,0,0,-0.092170510800749,0,0,0,0,0,0.00848308995513824,0,0,0,0,0,0,-0.0993187395928199,0,-0.0376925076232965,0,0,0,0.0739381349605507,0,0,0,0,0,0,0,0.133798106182181,0,0.0224469106139761,0.134210685515301,0,0,0,-0.00588939122081643,0.00422240995894029,-0.123747878830916,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0.0262739607942589,0,0,0,0,0,0,0,0,0,0,0,0,0.131115920369992,0.0672806780576802,0,8.67361737988404e-19,0,0,0,0,0.0717547070148356,0,0,0,0.185835930784453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157659741798511,0,0,0,0,-0.00375190818472991,-0.00520257565467029,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.140797191921418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461261054039197,0,0,0,0,0,0.0103697565284032,0,0,0,0,0,0,0,-0.0679859481136819,0.0677133061514414,0.108731536140282,0,0,0,0,0,0,0.002580421677902,-0.00486760307534583,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0625642483879102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114784275436753,0,0,0,0.0719845114933129,0,-0.181301679279297,0,0,0,0,0.0510355722620291,0,0,0.0430970663840407,0,0,0,0,0,0.0559560354732273,0,-0.0708797261089684,-0.0304861386358137,-0.0176450425038843,0,0,0.0469646766239531,0,0.00403957697506036,0,0,0,0,0,0,0
