,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X600690.SH,X002475.SZ,X002304.SZ,X300124.SZ,X000651.SZ,X300014.SZ,X600104.SH,X003816.SZ,X000625.SZ,X000725.SZ,X600031.SH,X000596.SZ,X002129.SZ,X002371.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X002180.SZ,X000661.SZ,X300142.SZ,X601877.SH,X002241.SZ,X600741.SH,X002074.SZ,X000733.SZ,X000100.SZ,X600702.SH,X600522.SH,X600460.SH,X000157.SZ,X600884.SH,X000799.SZ,X600584.SH,X300003.SZ,X000800.SZ,X600487.SH,X002414.SZ,X000066.SZ,X002007.SZ,X002236.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.29883816803348,0,0,0.241680001522206,0,0.0850317074803623,0,0,0,0,0.051346423473588,0,0,0,0,0,0,0,0,0,-0.0340448237994982,0,0,0,0,0,0,0,0,0.0172877363617399,0,0,-0.00191759644501058,0,0,0,0,0,0,0.0296299480227632,0,0,0,0,0,0,0,0,0,0,-0.00472075641672154,0,0,0,0,0,0,0
X000858.SZ,0.146086543682366,0,-6.93889390390723e-18,0,0.524946694494047,0,0,0,0,0,0,-0.0635930949627904,0,0,0,0,0.00309829858476449,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.0830000820993108,0,0,0,0,0,0,0.0631067638277976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0169229115153107,0,0,0,0,0,0,0
X600809.SH,0.39148078244698,0,0,0,0.461106235022779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044042298671576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0250256331378053,0,0,0,0,0,-0.00563927590767773,0,0,0,0,0,0,0,0,2.16840434497101e-19,-0.00220650428713221,0,0,0,0,0
X002415.SZ,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0642934573748921,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320810554389533,0,0.0473841957771126,0,0,0,0,0,0,0,0,0,0.19136782526745,0,0,0,0,0.0772099969397485,0,0.191401180332967,0.0642791163577726,0,0,-0.00149136528790625,0,0,0,0,0,0,0
X000568.SZ,0.346042641635234,0.312614288236713,0.578876936625734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127511946236873,0,0,0,0,0,0,0,0,0,0,0,0.037262255400927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0232013307795349,0.00895173341632329,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,-0.0195594168550934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0870932606808795,0,0.0212518968346986,0,0,0,0,0,0,0,0,0,0,0,0.159932640392499,0,-0.091026408987703,0,0,0,0.00244096061457405,0,0,-0.0216897101184584,0,0,0,0,0,0,0
X600690.SH,0.054095923074545,0,0,0,0.213748527313168,0,0,0,0,0,0,0,0,0,0,0,0.0656910333419277,0,0.0248643279955201,0,0,0,0,0,0.00151732054498314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224513919888228,0,0,0,0,0,0,0,0,0,0,-0.0133226118085168,-0.0597611213314115,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.143158620272126,0,0,0,0,0,0,0,0.0433132049963234,0,0,0,0,0,0,0.0426733271398034,0,0.0360993418248813,0,0.200827849835832,0,0,0,0,0,0,0,0,0,0,0,0.0936244072866474,0,0,0.140260398901233,0,0,0,0,0,-0.00884368684164556,0,0,0,0,0,0,0
X002304.SZ,0,0,0.0500117732710516,0,0.387047918039364,0,0.0484446987005288,0,0,0,0,0,0,0,0,0,0.05970036430778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808844421942776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00935107770443781,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0.0984609044320188,0,0,0,0.128961359483489,0,0,0,0,0,0,0,-0.118446800426271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352749394054679,0,0,0,0,0.0702446999153858,-0.0247265290246869,0.00928353083983849,0,0,0,0,0,0,0
