,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X000625.SZ,X600276.SH,X600690.SH,X000063.SZ,X600703.SH,X600031.SH,X000100.SZ,X600118.SH,X600271.SH,X000338.SZ,X000157.SZ,X600372.SH,X002241.SZ,X600741.SH,X002292.SZ,X600089.SH,X000559.SZ,X600066.SH,X002129.SZ,X000568.SZ,X600839.SH,X002475.SZ,X601877.SH,X600177.SH,X002223.SZ,X002236.SZ,X000800.SZ,X000016.SZ,X300124.SZ,X002456.SZ,X000869.SZ,X600582.SH,X002276.SZ,X002465.SZ,X600435.SH,X000727.SZ,X300003.SZ,X000581.SZ,X002294.SZ,X000550.SZ,X600060.SH,X002008.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.110421699501178,0,0,0,0,0,0,0,0,0.00257496129205682,0,0,0.0241931028145365,0,0,0,0,0,0,0,0,0,0,0,0.166381953158339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854959221086636,0,0,0,0,0.0114407413058239,0,0,0,0,0,0
X600104.SH,0,0,0,0.122825893843782,0,0,0,0,0,0,0.0280955612326245,0.0436833789371619,0,0,0,2.71050543121376e-20,0.00414321616712341,0,0.00337007349591328,0,0,0,0.138857973653647,0.0152588138937467,0,0,0,0.0787393833881705,0,0,0.0359163257831949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00510740912341995,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0415604987554794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361438866760396,0,0,0.0865732736997695,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00490569975034796,0,0,0,0,0,0,0.0933419620074805,0,0,0,-0.0117137000735405,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433087995113614,0.202483532074675,0,0,0,0,0,0,0.0303723785898123,0,0,0.0531090295675228,0.167425972249033,0,0.0155093215321992,0,0,0,0,0,-0.018388062090088,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0365365230457063,0,0,0.124767586206283,0,0,0,0,0,0,0,0,0,0,0,0,0.0635858126495335,0,0,0,0,0,0.0136245146413688,0,0,0,0,0.240693694761238,0,0,0,0.0726861281491824,0,0,0,0,0,0.0282157302319215,0,0,0,-0.00959117207742759,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.112596328168421,0,0.0534523990267552,0,0,0.07034323292319,0,0.0393589885697605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752369630680751,0,0,0,0,0,-0.00977837889796115,-0.0197699461398793,0,0,0,0,0,0
X002304.SZ,0,0,0,0.153436427167552,0,0,0,0,0,0,0.000253129948968967,0.0289669325753661,0.0220055657118658,0,0,0,0,0,0,0.0201206344507847,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0340364695841335,0,0,0,0,0.00189517490569198,0,0,0,0,0.150111639369292,0,0.0630629606445765,0,0,0,-0.00317274814819516,-0.00900567688704013,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218898583728805,0,0,0,0,0.0336439436989455,0,0,0.140189740296265,0,0,0,0,0,0,0,0.0319863622026538,0,0,0,0,0,0,0,0,0,0,0,0,-0.00762716435118062,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111431690564552,0,0,0,0,0,0,0,0.0300636262684017,0,0,0.0991717500002216,0,0.0409833846064859,0,0,0,0,0,0.0805794205067129,0,0.0285010874597877,0,0,0,0,0,0,0,0,0,0,-0.0155266377892269,0.0116415981028262,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.0599116779014163,0,0,0,0,0,0,0,0.046035089657668,0,0.176871517114737,0,0,0,0,0,0,0.0721842657564876,0,0,0,0.0162950058535831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0972183522121123,0,0,0,-0.00354242416284581,-0.00259016971304366,0,0,0,0,0,0
