,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X300014.SZ,X600031.SH,X000725.SZ,X300124.SZ,X002241.SZ,X002371.SZ,X000063.SZ,X600703.SH,X003816.SZ,X000338.SZ,X002049.SZ,X002129.SZ,X000596.SZ,X601877.SH,X000625.SZ,X002179.SZ,X000661.SZ,X600741.SH,X300142.SZ,X000100.SZ,X600089.SH,X002074.SZ,X002180.SZ,X600460.SH,X600702.SH,X000157.SZ,X000733.SZ,X002236.SZ,X600884.SH,X000799.SZ,X002414.SZ,X601799.SH,X002007.SZ,X000977.SZ,X600779.SH,X600183.SH,X600584.SH,X002008.SZ,X600522.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.658856266084174,0,0,0,0.0225135927505531,0,0,0,0,0,0,0,0,0,0.0561080499156016,0,0,0,0,0,0,0,0.0476336482198501,0,0,0,0,-0.0410002892341369,0,0,0,0.0356757759807505,0,0,0.0158278680126547,0,-0.000274317721590565,0,0,0,0,0,0,0,0,0,0,0,-0.0128948934832142,0,-0.0110243204657086,-0.00193921584624929,0,0,0,-2.16840434497101e-19,0,0
X000858.SZ,0.378738173234225,0,0,0.0857742626494445,0,0,0,0.0499897383394096,0.0930991126399961,0,0,0,0,0,0,0,0,0,0.0646815429389287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353633260275676,0,0,0,0,0.0696416332250509,0,0,0,0,0,0,0,0,0,0,0.0153071612583637,0.00188431165385246,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.136113445439636,0,0,0.276183289773843,0,0,0,0,0,0,0,0.0733145076569946,0,0,0,0,0,0,0,0,0,0,0,0.021829350083917,0,0,0,-0.015015465598319,0,0,-0.0100611606578988,0,0,0,0,0,0.0697363775659733,0,0,0,0,0,0,0,-0.0848146382870484,0,0,0.00360592840291483,0,0,0,-0.00996445962945021,0,0
X600809.SH,0,0.268456532391828,0,0,0,-0.0261102234044894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195877321767382,0,0,0,0,0,0,0,0,0.0989891959336569,0.0885316417284314,0,0,0,0,0,0.00112880891442285,0,0,0,0,0,0,0,0,0,0,-0.020414787196364,0,0,0,0,0,0
X000568.SZ,0.0835109601427742,0,0,0,0,0,0,0,0,0,0.130653700404065,0,0,0,0,0,0,0,0,0,0,0,0,0.442778074830779,0,0,0,0.239878978313326,0,-0.0866797859342503,0,0,0,0,0,0,0,0,0,0,0,-0.054474622674525,0,0,0,0,0,0,0,-0.0627984892212129,0,0.0482272413649024,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0343707616940335,0,0,0,0.045901709457311,0,0,0,0,0,0,0,0.129450088910783,0.270405608134672,1.0842021724855e-19,0,0,0,-0.0604257268697128,0,0,0,0,0,0,0,0.0252408040417682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118339651340865,0,-0.0268825872050459,-0.00777735295597583,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0801847207652222,0,0.124202388587974,0,0,0,-0.0893536866707095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.090016909857715,0.0740825006527642,0,0.0173650460583989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264434186417502,0,0,0,0,-0.052113531946092,0.0695614530353708,0,-0.0465026723972459,0,0,0,0,-0.00739834127939143,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.137754004628548,0,0.21228633028388,0,0.344047782212655,0,0,0,0,0,0,0,0,-0.0183749118209889,0,0.0587017389335016,0,0,0,0,0,0.0224270365952055,0.191770943538344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00238977550068868,0,0,-0.0368812576154361,0,0,0,0.00396464415184375,0,0
X002304.SZ,0,0,0,0,0,0,0,0.159529338684109,0,0,0,-0.0358565851481432,0,0,0,0.142061738867261,0.0442727969574522,0,0,0,0,0.0211688528482231,0.024080954846602,0.0970551604441037,0,0,0,0,0,0.00956102800675776,0,0,0,0,0,0,0,0.135236508636843,0,0,0,0,0,0,0,0,0,0,0,-0.119450254411455,0,0.0140253498026811,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0559722138392144,0.00984193526174607,0,0,0,0,0,0,0.0565664375171557,0,0.0997004742316824,0,-0.0281259022621082,0,0,0,0.105383238958099,0,0,0,0,0.0094540419338987,0,0,0,-0.073447732212175,0,0,0,0,0.0400926438476612,0,0.105233921737557,0,0,0,0,-0.0213787196753782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00251414938851507,0,0
