,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X000100.SZ,X600031.SH,X600690.SH,X600276.SH,X000338.SZ,X600372.SH,X600741.SH,X000157.SZ,X002241.SZ,X600703.SH,X600271.SH,X600089.SH,X600066.SH,X600118.SH,X002236.SZ,X601877.SH,X600177.SH,X000550.SZ,X000581.SZ,X000568.SZ,X002475.SZ,X600582.SH,X002129.SZ,X000623.SZ,X000050.SZ,X300124.SZ,X000800.SZ,X000559.SZ,X300146.SZ,X600060.SH,X002294.SZ,X002292.SZ,X000977.SZ,X600839.SH,X300003.SZ,X000400.SZ,X002465.SZ,X002456.SZ,X002007.SZ,X000869.SZ,X600166.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0.0462504630949398,0,0.176311665574744,0.132292707564994,0,0,0.0745285109002039,0,0.0120601604156011,0,0,0,0.281261508496181,0,0,0,0,0.127784205357654,0,0,0,0,0.0583356755346486,0.125349027992584,0,0,0,0,0,0.124691833518046,0,0,0.014863761354724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00247858371781621,-0.0509366237894331,0,0,0,0,0
X600519.SH,0,0,0,0.153692235218893,0,0,0.286953299649386,0.00364327758630746,0,0,0,0.00318800835809181,0,0,0,0,0,0,0,0,0,0,0,-0.0265301297800814,0,0.0187186935898392,0,0.0468128257099063,0,-0.0155115919769649,0,0,0,0,0,0,0,0,0.0145446057469288,0,0,0,0,0,0,0,0,0,0.0590923880967521,0,0,0,-0.00335928333592309,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.123897449334122,0.214990398846012,0,0,0,0.252593133042608,0,0,0.0903934952244267,0,0,0,0,0,0,0,0,0.0646653465677311,0,0,0.0137439993755723,0,0,0,0,0,0,0,0,0,0.0240107231395743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186150756194199,0,0,0,0,0,0
X000651.SZ,0.295285264758681,0.0832742758620819,0,0,0,0,0,0,0,0.0345788122291364,0,0.0865906635749303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161473962626907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350164994185152,-0.00414541401363982,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.219772563932355,0,0,0,0.0448461252039381,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.247406574556229,0,0,0.22842501776343,0,0,0,0,0,0,0,0.00622842065997336,0.036977369624747,0,0.0150343636906692,0,0,0,0,0,0.0727257469078699,0.0483060286670351,0,0,0,0,0,0,0,-0.00560652373876136,0,0,0,0,0,0
X000625.SZ,0.117432616770363,0,0,0,0.0605241087492145,0,0,0,0,0,0,0,0,0,0,0.1843547332696,0,0,0,0,0,0,0,0,0,0,0.0855547380005169,0,0,0,0,0,0.0571872946961695,0,0.126857048276535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0.153442937078093,0,0,0,0,0.0778265208933281,0,0.0573545686198496,0.204596685568678,0.129645946977663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198147188292781,0,0,0.0632987861527353,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344661713130043,0,0,0,0,0,0,0.0311881277417949,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.132029988979599,0,0,0,0,0,0.193806189845627,0,0,0,0,0,-0.0121251406308083,-0.0430859658937841,0,0.0102889265771818,0,0,0,0,0.0142532723858562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560401521207984,0,0,0.00890318259932602,-0.0173893647718131,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0.0337825101905863,0.0915405193438498,0,0,0.186669764922345,0,0,0,0,0.0337311783468133,0,0,0,0,0,0,0.0556612357955612,0,0,0,0,0,0,0.122282308277666,0,0.0127616199602416,0,0,0,0.0372591150369591,0,0,0,0,0,0,0,0,0,0,0,0,0.0152457926427354,-0.00309446728077996,0,0,0,0,0,0
X000100.SZ,0.00662424373971933,0,0.33652173930188,0,0,0,0,0,0,0,0,0.0759215017824814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048290305112941,0,0,0.00872978650482113,0,0,0.309374335920396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600031.SH,0.0833981714089772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890062298077634,0,0,0,0,0,0,0,0,0.0734856985705076,-0.00455564524954099,-0.0501083895029742,0,0,0,0,0,0,0,0,0,0,-0.043481285943252,0,0,0,0,0,0,0,0,0,0,0,0,-0.0586142763699449,-0.00291197384598447,0,0,0,0,0,0
X600690.SH,0.0452940622147709,0,0.021443377128168,0,0,0,0.22305806669212,0,0,0.154729478416395,0,0,0,0.0435934535757105,0,0,0,0,0,0,0,0,0,0,0,0.0555949873893989,0.0634747773907389,0.0759318622857464,0,0,0,0,0,0,0,0.0622130021563228,0,0,0,0,0,-0.0103954484022275,0,0,0,0,0,0,0,0,0,0,-0.00370495553291736,0,0,0,0,0,0
X600276.SH,0,0,0.0418433787216194,0,0,0,0,0.0320239780789597,0,0.0765386217401239,0,0,0,0,0,0,0,0,0.0655467758662878,0,0,0.098649476189751,0.0735971744227799,0.211537887147142,-0.0332356231937882,0,0,0,0,0,0,0.023950908798122,0,0,-0.115439251175899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0426673919366924,0.000277256880817349,0,0,0,0,0,0
