,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002304.SZ,X002475.SZ,X600690.SH,X600104.SH,X000651.SZ,X300014.SZ,X600031.SH,X000725.SZ,X002371.SZ,X300124.SZ,X002129.SZ,X000063.SZ,X600703.SH,X002241.SZ,X000625.SZ,X003816.SZ,X000338.SZ,X601877.SH,X002049.SZ,X000596.SZ,X000661.SZ,X600089.SH,X002179.SZ,X300142.SZ,X600460.SH,X000100.SZ,X600741.SH,X002074.SZ,X000799.SZ,X600884.SH,X601799.SH,X002236.SZ,X000157.SZ,X600779.SH,X600702.SH,X600584.SH,X002007.SZ,X000733.SZ,X600183.SH,X002414.SZ,X000800.SZ,X002008.SZ,X000977.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.489814042289929,0,0.0512467779107248,0,0,0,0,0,0,0,0,0,0,0,0.0511712203862338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101294455645096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0067490464980878,0,0,0,0,0,0
X000858.SZ,0.123751973986501,0,0,0,0.158067816444755,0.00317065369500475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00511994754177281,0,0.0628181891735471,0,0,0,0,0,0,0,0.172730813574485,0,0,0,0,0.242693282892802,0,0,0,0,0,0,0,0,0,0,0,0,-0.0351555770125326,0,0,0,0,0,0
X002415.SZ,0,0.0489744761276808,0,0,0,0,0,0,0.191071578161891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0384390031553751,0,0,0,0,0,0.00455929786018862,0,0,0,0,0,0.102603493923957,0.0176694927408236,0,0,0.0835238981202184,0,0,0,0,0,0,0,-0.0788426538895626,0,0,0,0.00103689924711015,5.42101086242752e-20,0,0,0,0.0223617869057138,0,0
X600809.SH,0,0,0,0,-4.33680868994202e-19,0,0.201987446348255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000934536723989459,0,0,0,0,0,0,0,0,0,0,0.48830530193318,0,0,0,0,0.0189547402622292,0.133556674153728,0,0,0,0,0,0,0,0,0,0,0,-0.0151558357301883,0,0,0,0.0271197736741529,0,0
X000568.SZ,0,0.42807300022337,0,0.199325573721905,0,0,0,0,0,0,0,0,0,0,-0.0633008802835091,0,0,0,0,0,0,0,0,-0.0357797031914792,0,0,0,0,0,0,0,0,0,0,0.0983074403099164,0,0,0,0,0.0213672438782028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.132385224372567,0,0,0,0,0,0,0.259530600992626,0,0,0.0303396968676438,0,0,0,0,0,0,0,0,0.053257087823722,0,0,0.0317868386092079,0,0,0,0,0,0,0,0,0,0.0814457086244938,0.183758808706616,0,0,0,0,0,0,-0.00243075532578597,0,0,-0.0814141433246027,0,0,-0.16623106353847,0,0,-0.0199685421788339,-0.039524192025392,-3.46944695195361e-18,0,0,0,0,0,0
X002304.SZ,0,0,0,0.248416720587991,0,0,0,0,0.0565136474143773,0,0,0,0,0,0,0,0,0,0,0,0.0268291586304491,-0.14158436156502,0,0,0,0.0327405939184769,0,0,0,0.0154748005570421,-0.0810537662075028,0,0,0,0.139696445896018,0,0,0,0,0.0689028998008401,0,0,0,0,0,0,0,0,0,0,0,0,-0.017633550639523,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139220190115554,0,0,0,0,0,0,0,0,0.0729599239271665,0,0,-0.148101115699606,0,0,0.0730822381776585,0,0,0,0.0134197054737043,0,0,0,0,0.0466856342726691,0,0,0,-0.0204468328053363,0,0,0,0,0,0,0,0,0,0,0,0,0.0443615589208355,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0.0290884103306667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158685708696443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.0362258934893819,0,0,0,0,0,0,0,0,0,0,0,0,0.142535697684684,0,0.0521968764642928,0,0,0,0,0,0,0.0601933006745505,0,0,0.0931946932815511,0,0.0961179508071201,0,0,0,0.0473464150282682,0,0,0,0,0,0,0,0.0617081522386303,-0.0114692320467045,0,0,0,-0.0124591485868521,0,0,0,0,0,0,0
