,X600519.SH,X002415.SZ,X600104.SH,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X600031.SH,X002236.SZ,X000338.SZ,X000625.SZ,X601877.SH,X002456.SZ,X600487.SH,X002241.SZ,X600066.SH,X002008.SZ,X000100.SZ,X300136.SZ,X600809.SH,X300124.SZ,X002508.SZ,X002294.SZ,X600522.SH,X300003.SZ,X600271.SH,X600867.SH,X600089.SH,X002085.SZ,X000981.SZ,X000157.SZ,X000596.SZ,X600498.SH,X600177.SH,X600699.SH,X600566.SH,X002179.SZ,X002129.SZ,X000661.SZ,X002049.SZ,X600118.SH,X300142.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,-0.175414889236942,0.587287451135576,0,0,0.152192672533193,0,0,0,0,0,0,0,0,-0.0162712126677754,0,0,0,0,0,-0.0129500381016254,0,0,0,0,0,0,0.0474332844350825,0,0,0,0,0.0397494301144855,0,0,0,0,0,0,0,0.0484018001150655,0,0.0228525758102428,0,0,0,0,0,0,0,-0.00243139818899817,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.045708761044875,0,0,0,0,0.0783844579136941,0.0268966668550005,0,0.0528361101117645,0,0.211170447083575,0,0,0.318776767577133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108656531292848,0,0,0,0.0793994688408053,0,-0.00532249547846403,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0855682159761494,0.0598587480127786,0,0.212993444653073,0.108734104561188,0,0,0,0,0,0,0,0,0,0,0.0560708753166262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425140261458021,0,0,-0.0358022164406809,0,0,-0.021469931656513,0,-0.0190627689931424,0.0240616159772674,0,0,0,0,0,0
X000858.SZ,0.0416259748475592,0,0,0,0.0872917214350053,0,0,0.0840969624847892,0,0,0,0.414724513218013,0,0,0,0,0,0,0,0,0.030403506776063,0,0,0.0473388236583438,0,0,0.110556894837644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0.157811287992408,0.28666379017074,0,0,0,0.0612262470001293,0.0487580792005126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0834807629859164,0,0,0,0,0,0,0,0,0,0,0,0.0780164033373466,0,0,-8.67361737988404e-19,0,0,0,0.0144318344897787,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.381741106508845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917009091025,0,0.0655794739568785,0,0,0.0480816517087476,0,0.0673021662978715,0,0,0,0,0,0,0.109569740920678,0,0,0,0,0,0,0,0,0,0,0.139799824444129,0,-0.0472154575781581,0.098546800497242,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.22791262007669,0.183579370760343,0,0,0,0,0.0734816384470039,0,0,-0.156342005356118,0.099457303476217,0,0,0,0,0.0861949548372225,0,0,0,0,0,0,0,0,0,0,0,0,0.0644630295900773,0,0,0,0,0,0,0,-0.0297116941142416,0,0,0,0,-0.0162146590150774,0.0362054256283606,0,0,0,0,0,0
X002304.SZ,0.237200566543627,0,0,0.233092346016795,0,0,0,0,0,0,0,0.171195097675027,0.0369501129547199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158507510643615,0,0,0,-0.0303069200308132,0,-0.00944862141417673,-0.0037315798873686,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.359246609288587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473585154058571,0,0.0745029985565814,0,0,0,0,0,0,0.100852947662619,0,0.145218411856596,0,0,0,0,0,0,0.288298229037649,0,0,0,0,0,0,0.107271232431426,0,0,0.128012271898269,0,-0.00830230388931927,0,0,0,0,0,0,0
X600690.SH,0,0,0.431875096656201,0,0.0936581689947447,0,0.0791234851750885,0,0,0,0,0.0136171785389928,0.0406009538643016,0,0,0,0,0,0,0,0,0,0,0.13986434929181,0.0737050451017703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00386157667243546,-0.0353515877596373,0,0,0,0,0,0
