,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600066.SH,X600703.SH,X002241.SZ,X002236.SZ,X000568.SZ,X000100.SZ,X600271.SH,X600031.SH,X600118.SH,X600177.SH,X002456.SZ,X002475.SZ,X002292.SZ,X002007.SZ,X600372.SH,X000338.SZ,X000559.SZ,X300003.SZ,X002180.SZ,X000157.SZ,X002506.SZ,X600522.SH,X600867.SH,X002074.SZ,X300124.SZ,X002294.SZ,X002085.SZ,X600089.SH,X002426.SZ,X000981.SZ,X601877.SH,X002508.SZ,X600498.SH,X000869.SZ,X002465.SZ,X000050.SZ,X002249.SZ,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.283242994992453,0,0,0.20515107528718,0,0,0,0.270158562342077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051650796916521,0,0,0.0379348760644927,0,0.0106024891017053,0,0,0,0,1.73472347597681e-18,0,0,0.0747048259818939,0,-0.0498557756199003,0,0,-0.0811643425703539,0,0,0,0,1.0842021724855e-19,0,0,0.0276101607164941,0,0,0,0,0,0,0
X600104.SH,0.04538149902275,0,0.250703331591696,0,0,0,0,0.184652209756938,0.0730210115458419,0,0,0,0,0,0,0,0,0,0,0,0,-0.143263976360313,0,0,0,0,0,0,0,0.0591535678088237,0,-0.020939925025513,0,0,0,0,0,0,0,0,0.0900847386443655,0,0,0,0.0599561105652082,0,0,0,0,0,0.0511555299241326,-0.00156184309102533,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0517757386892371,0,0,0,0,0,0,0.0838399087038888,0,0,0,0,0.0545544747360971,0,0.0606103017559467,0,0,0,0,0.0191402648889182,0,0,0,0,0,0,0.0470763094624212,0,0,0,0,0,0,0,0,0.0201794260404251,0,0,0,0,0.00435617352822808,0,0.0131465432417923,0,0,0,0,0,0,0
X000858.SZ,0.0573479970479197,0,0,0,0,0,0,0,0.0460124155998429,0,0,0.0246276950668014,0,0,0,0.299046865227011,0,0,0,0,0,0,0,0,0.0753711284865883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173942068163854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0.0138148345179798,0,0,0.527552853122977,0,0,0,0,0,0,0,0,0,0,0,0.17630390697037,0,0,0,0,0,0,0,0,0,0.102793263769876,0,0,0,0.0507837650686106,0,0.0358242379026284,0,0,0,0,0,0,0,-0.00313924492428616,0.0485153788217592,0.0181055026603556,0,0,0,0,0,-0.025154298614063,0,0,0,0,0,0,0,0,0,0
X600276.SH,0.0171371513225478,0,0,0.0595637074469627,0,0,0,0,0.0615247200788139,0,0.0695843403045105,0,0,0,0.0230584958202931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583830769672808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258798929543401,0,0.0141392411883669,-0.027284814782343,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.022058532619037,0,0,0.0797334857276512,0,0,0,0,0,0,0,0,0,0,0.130574540214117,0,0,0.0162611489804819,0,-0.0102074642054541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152040951639751,0,0.0387346322400708,0,-0.0481147323758811,0.0234706600930925,0,0,0,0,0,0
X000625.SZ,0,0.175354240377692,0,0,0,0,0,0,0.0338401556755704,0,0.0653270930527219,0.049188391404015,0,0,0.0876274913026609,0,0,0,0,0,0,0,-0.0196855734943727,0,0,0,0,0,0,0,0,0.00122276508374472,0.0777164040658931,0,0,0,0,0,0,0.00223149410815072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.000964590328959,0.132062887384572,0,0,0,0,0,0.00340350850498013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125031023322299,0,0,0,0,0.0442837974528314,0,0,0.0829711833752434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514038302857406,0,0.0907508896052478,0,0,0.0574932850100862,0,0,0,0,0,0
X000063.SZ,0,0,0,0.024636107743107,0.0128682196336617,0,0,0,0,0,0,0,0,0.132511318118119,0,0,0,0,0,0,0,0.137522600099013,0,0,0,0,0.00864565100201366,0.0722647704011098,0,0.0425712076981756,0,0,0.101595091748904,0,0,0,0,0,0,0,0,0,0,0.0134210704411275,0,0,0,0,0,0,-0.0119010711893507,0,0,0,0,0,0,0
