,X600519.SH,X600104.SH,X000651.SZ,X000858.SZ,X600276.SH,X002415.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X000338.SZ,X000568.SZ,X600031.SH,X600741.SH,X600703.SH,X300003.SZ,X600271.SH,X601877.SH,X300124.SZ,X002456.SZ,X600487.SH,X002007.SZ,X000596.SZ,X002008.SZ,X002236.SZ,X600566.SH,X000100.SZ,X600867.SH,X002179.SZ,X600809.SH,X000661.SZ,X600498.SH,X000625.SZ,X300146.SZ,X600066.SH,X002294.SZ,X000157.SZ,X600177.SH,X300136.SZ,X002506.SZ,X600089.SH,X000977.SZ,X002180.SZ,X300142.SZ,X600372.SH,X002241.SZ,X000981.SZ,X600522.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.51550219355613,0,0,0,0,0,0.0214334965564626,0,0,0,0,0,0,0.131878791799622,0,0,0,0,0,0,0,0,0.00297113500056057,0,0,0,0,0.0532274755381983,0,0,0,0,0,0,0,0,0,0,0,0,0.0301305534872463,0,0,0,0,0,0,0,-0.00375473740562725,0.00142910770464889,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.101631141485687,0,0.0426538203251337,0.0680445904471285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169410407717618,0,0.271181023534025,0,0,0,0,0,0,0,0,0,0,0,0.204998238847462,0,0,0,0,0,0,0,0,0.0114374801779583,0,0,0,0,0,0,0
X000651.SZ,0.205028348117454,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.166082180930755,0,0.0527129886709777,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0766777446292167,0,0.010141610518719,0,0,0,0,0.122985021441683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410632043602262,0,0,0,0,0,0,0,0.00199511255410677,0,0,0,0,0,0
X000858.SZ,0.0820804409665807,0.0893762420527745,0,0,0,0,0.0780282095146315,0,0,0,0,0,0.294377689021328,0,0,0,0,0,0,0,0,0,0,0.115925952313513,0,0.032042485844622,0,0,0,0,0.153082049730948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.00291143282883753,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.0178888764255567,0.0238736609656262,0,0,0,0,0,0.270994140690803,0,0,0,0,0,0.174985618376322,0,0,0.189075006284644,0,0,0.0285258163882875,0,0,0,0,0,0.247716386318351,0,0.0973487807763594,0,0,0,0,0,0,0,0.00520052638958109,0,0,0,0,0,0,0.0290982641348042,0.0291596416987382,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0500393766286778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609036012862638,0,0,0,0,0,0,0.0947519488395211,0,0,0,0,0,0,0,0,0,0.0138742661310621,0,0,0,0,0,0,0,0,0.0159225442695632,0.0435850832794167,0,0,0,0,0,0
X002304.SZ,0,0,0,0.184024075906045,0,0,0,0,0,0,0,0,0.38172334551571,0,0,0,0,0,0,0,0,0,0,0.105504387558117,0,1.73472347597681e-18,0,0,0,0,0.228789964950025,0,0,0,0.00532055614372748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347601448170914,0.00628939937745065,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139714823594248,0,0,0,0.0694486937481623,0,0,0,0,0,0,0.225770581353239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949392247558497,0.0311575824415248,0,0,0,0,0.408901124357054,0,0,-0.00489251062296776,0,0,0,0,0,0,0
X600690.SH,0,0.0198512015541016,0,0,0,0,0.0266119407634757,0,0,0,0,0,0.100525557702,0,0,0,0,0,0,0.286973065541764,0,0,0,0,0,0,0,0,0.0344500047282356,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11627944137847,0,0,0,0,0,0,0,0,0.00450662003165018,-0.0201076061158243,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.249327254749066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380859203251578,0.19530956079424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120512999668371,0,0,0.0272988465771324,0,0,0,0,0,0,0,0,0.00715789437562122,-0.0396045380020069,0,0,0,0,0,0
