,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000625.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000725.SZ,X000596.SZ,X000063.SZ,X000338.SZ,X002371.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600703.SH,X600089.SH,X002236.SZ,X002241.SZ,X600372.SH,X002129.SZ,X000661.SZ,X002049.SZ,X000157.SZ,X000977.SZ,X600584.SH,X600741.SH,X601877.SH,X600522.SH,X000800.SZ,X002463.SZ,X002007.SZ,X600183.SH,X601799.SH,X600418.SH,X002074.SZ,X600460.SH,X002028.SZ,X000066.SZ,X002294.SZ,X300142.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.135229831582232,0.323141288984484,0,0,0,0,0,0,0,0,0,0,0,0.0398150051342676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108063183059042,0,0.00986476068282627,0,0,0,0,0,0,0.0179404144081521,0,0.0237420988603983,0,0.131127266247751,0,0,0,0,0,-0.00830480160767703,0,0,0,0,0,0,0
X000858.SZ,0.176123828397973,0,0,0,0.0575687700239912,0.321634794028649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119844459847666,-0.0277759004391781,0.053494983722878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00764559572004627,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711226272605754,0,0,0.0419113094625604,0,0,0,0,0.0789721662762679,0,0,0,0,0,0.130511373373811,0,0,0,0,0,0,0,0,0,0.0637104092054241,0.0332233874010669,0,0,0,0,0,0,0.0629328813788718,0,-4.33680868994202e-19,0,0,0,-0.0422623318692802,0,0
X600276.SH,0,0,0,0,0,0,0.0838107821083478,0,0.0404111407587814,0,0,0,0,0,0,0,0,0.116567864471716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00825458382425536,0.0226315945180295,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215619816479953,0,0,0,0.0193628611444506,-0.0122875094535251,0,0,0,0,0,0
X600809.SH,0.195510171278243,0,0,0,0,0.391958833855089,0,0,0,0,0,0,0,0,0,0.260292687461879,0,0,0,0,0,0,0,0,0,0.0430093305930518,0.00551356996780855,0,0,0,0,0,0,0,0,0,-0.057757030229155,-0.0676752252995546,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205108053120867,0,0,0,0,0,0,0
X000568.SZ,0,0.489601402335483,0,0,0.388495160584717,0,0,0,0,0,0,0,0,0,0,0,0,0.0637918771364354,0,0,0,-0.060556733911549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0023316899281522,0,0,0,0,0,0.0195087919583832,0,0,0.0156360035004166,-0.0200160398182426,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085143007433208,0,0.0517453573832171,0,0,0,0,0.0408327108775784,0.156596529274834,0,0,0,0,0,-0.0974085455422101,0,0,0,0,0,0,0,0.170514731362918,0,0.111882997894369,0,0,0,0,0.0759079277174312,0,0,0,-0.0453227492341926,0.0565548900827022,0,0,0,0,0,0
X600690.SH,0.190247421764135,0,0,0,0,0,0,0,0,0.033811438639331,0,0,0,0,0,0.122720730237498,-0.0179086181331289,0.0460529529766379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00759203288802192,0,-0.00876177705795039,0,0,0,0,0,0,0,0,0,0,0,0,0.00510372736701441,0.00895787187915461,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142505635237427,0,0,0.0404867411418985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107168273064507,0,0,0,0,0.412228416499159,0.0107399966085906,0,0,0,0,0,0,0,0.00693488936706054,1.73472347597681e-18,0,0,0,0,0,0
X000651.SZ,0.00040367841384327,0,0,0,0,0,0,0.190631390520083,0.0255300159153162,0,0,0,0,0,0,0,0,0.0240821425327078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041696027393021,0.013340960196918,0,0,0,0.075683504794773,0,0,0,0,0,0,0.0502972333580129,0,0,0,-0.0291938998506245,0,0,0,0,0,0
