,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600276.SH,X600104.SH,X000651.SZ,X300014.SZ,X300124.SZ,X600031.SH,X002129.SZ,X000725.SZ,X000625.SZ,X003816.SZ,X002371.SZ,X002241.SZ,X000596.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X600703.SH,X600089.SH,X002179.SZ,X000661.SZ,X601877.SH,X002074.SZ,X300142.SZ,X600741.SH,X600522.SH,X002180.SZ,X600460.SH,X000733.SZ,X600702.SH,X000100.SZ,X600884.SH,X000799.SZ,X000157.SZ,X002236.SZ,X000800.SZ,X600584.SH,X002176.SZ,X601799.SH,X600779.SH,X002056.SZ,X002007.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.282123062533658,0.126446639002269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305170634971978,0,0,0,0.0247404293418275,0,0,0,0,0,0,0,0,0,0,0.0297003994671777,0,0.0209648934532893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00711800353592375,0,0,0,0,0,0,0
X000858.SZ,0.0287920206627371,0,0,0.266805025711539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122872047392896,0,0,0,0,0,0,0,-0.00779524514449181,0,0,0,0,0,0,0,0.0321488785712301,0,0,0.230558945075093,0,0,0,0,0,0,0.0713067319007322,0,0,0,0,-0.00257373465393501,0,0,0,0,0,0,0
X600809.SH,0,0.304643011210739,0,0,0.0187315888320175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470905920419743,0,0,0,0.424330098966229,0,0,0,0,0,0,0,0,0,0,0,0,0.0584307126935421,0,0.00825429727681947,0,0,0,0,0,0,0
X000568.SZ,0,0,0.137283619777264,0,0,0.021757063742681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624725531452309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368707626960169,0,0,0.10581412767286,0,0,0,0,0,0,0,0,0,0,0,-0.0084974596006187,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15436093515107,0,0,0.0906630048189531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936987152921442,0,0,0,0,0,0,0,0,0,0.0387645694573241,0.0112849498496041,0,0,0,0,0,0
X002304.SZ,0,0,0,0.176104441590682,0,0,0.0638226163586845,0,0,0,0,0.0136187977844626,0,0,0,0,0,0,0.00824173422696231,0.0545163567844816,0,0,0,0,0,0,0,0,0,0,0.00685692999682737,0,0,0,0,0,0.265246524431133,0,0,0,0,0,0,0,0,0,0,0.0203679320717794,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0526824677522239,0,0.076120093116198,0,0,0,0,0,0,0.0708834285557072,0.0791800078283056,0,0,0,0,0,0,0,0,0,0.0610068434087184,0,0,0,0,0,0,0,0,0,0,0,0,0.0836940706023067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0394426364325245,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452986023657703,0.437488972663808,0.0211712318637103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17013175705848,0,0,0,0,0,0,0,0.00285846556522245,0,0,0.00672237405700366,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.205166884654255,0.245161350010098,0,0,0,0,0,0,0,0,0.174231822851914,0,-0.0745612174449014,0,0,0,0,0,0,0,0,0,0,0.0562713396306194,0,0,0,0,0,0,0,0,0.107565918715797,0,0,0,0,0,0,0,0.294955863601625,0.026748831251246,0,0,0,0,0,0,0,0,-0.0652187606200715,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112584654367053,0,0.00360448038907713,0,0,0,0,0,0,0,0,0,0,0,0,0.164115650330457,0,0.0441121815820096,0,0,0,0,0,0,0,0,0.0750676495948075,0,0,0.0463878926470953,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0488286966254829,0,0.00127514227583932,0.0612345376257717,0,0,0,0,0.166766248370364,0,0,0,0,0.0240330071306965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025907487270768,0,0,0,0,-0.00816025505118676,0,0,0,0,0,0,0
