,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X600690.SH,X000725.SZ,X000063.SZ,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600741.SH,X601877.SH,X600271.SH,X600703.SH,X002236.SZ,X000100.SZ,X300003.SZ,X300124.SZ,X000625.SZ,X002008.SZ,X600809.SH,X600487.SH,X000661.SZ,X000596.SZ,X600498.SH,X002007.SZ,X002456.SZ,X000157.SZ,X300142.SZ,X002179.SZ,X600566.SH,X300146.SZ,X600177.SH,X600089.SH,X600066.SH,X002180.SZ,X002506.SZ,X600522.SH,X600867.SH,X002129.SZ,X600372.SH,X002508.SZ,X000977.SZ,X300136.SZ,X002241.SZ,X002371.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.115847267394107,0,0,0.0386023742870722,0,0,0,0,0,0,0,0,0,0,0.0621218129429828,0,0,0,0.140422948419371,0,0,0,0,0,0,0,0,0,0,0.0622463805712647,0,0,0,0,0,0,0.0269164898821858,0,0,0,0,0,0,0,0,-0.0282688744498846,0.0227773243130166,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.063966796796318,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0574121770534315,0,0,0,0,0,0.088424848910677,0,0.0191725705021333,0,0,-4.33680868994202e-19,0,0,1.73472347597681e-18,0,0.264925731758269,0,0,0,0,0,0,0,0.0280054468316132,0.0278605822846671,0,0,0,0,0,0,0,0.0136575592968575,-0.0649299646720492,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.026237067079597,0,0,0,0.053704055960771,0,-0.0496716512149343,0.674984654244722,0,0,0,0,0,0.1959945519938,0,0,0,0,-0.113907259488738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00952697693131807,-0.0183767814982986,0,0,0,0,0,0,0
X000651.SZ,0.0100226299805812,0,0.0522276474799983,0,0,0,0,0.155810361873954,0,0,0,0,0,0,0,0,0,0,0.0273465592446733,0.0221370719662006,0.0204306345259899,0,0.0304979826102412,0,0,0.0131737929100716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00495480063040819,0,0,0,0,0.0019673326494326,0,0
X000858.SZ,0,0,0.116631858227389,0,0,0.0169923866392451,0.110825057244342,0,0,0,0,0,0,0.283503055245228,0,0,0,0,0,0,0,0,0,0,0.0138526291689841,0,0.0681736628237835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124408771290907,0,0,0,0,-0.00410106978956728,0,0,0,-0.000792867143996314,0,0
X600276.SH,0.0389984725131381,0,0,0,0,0,0,0.138846013247227,0,0,0,0,0,0,0,0,0,0,0,0,0.348707536739517,0,0,0,0.199130609475688,0,0,0,0,0,0,0,0,0,0.0615594324856079,0.0296334128653376,0,0,0,0,0,0,0.0577750787322968,-0.136315279271362,0,0,0,0,0,0,0,0.00783138719268731,0.0540987957604613,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286665031966538,0,0,0,0,0,0,0.187204124233161,0,0,0,0,0,0,0.321872630802736,0,0,0,0,0,0,0,0.132494997311647,0,0,0,0,0,0,0,-0.166283857867962,0,0.0861229344739285,0,0,0,0,0,-0.0193990420287374,0.0246443446497234,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.0353975479038484,0.0627269861888488,0,0,0,0,0,0,0,0,0,0,0,0.131355606546431,0,0.0304011292680745,0,0,0,0,0,0,0,0,0,0,0.056606557503003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0974132316203065,0,0,0,0,0.0140226637786206,-0.0317934999357275,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051922684317552,0,0.0265335480244179,0.131156904315851,0.0536142488328688,0,0,0.0729726044731708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735274548977159,0,0,0,0,0.0478112615473784,0,0,0,0.00395204870923407,0.0122604900340079,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802065692901144,0,0,0,0,0,0,0,0,0.322472314193719,0,0,0.259595234362268,0,0.0231283458978498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006206975909724,0,0,0,0.0145294365407499,-0.0228584443588817,0,0,0,0.103254841382263,0,0
