,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X000063.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X000338.SZ,X000157.SZ,X600703.SH,X600372.SH,X600089.SH,X600741.SH,X002241.SZ,X600271.SH,X600582.SH,X601877.SH,X600066.SH,X002236.SZ,X002129.SZ,X600177.SH,X600118.SH,X000623.SZ,X002475.SZ,X000568.SZ,X000581.SZ,X000550.SZ,X000559.SZ,X002294.SZ,X300124.SZ,X000869.SZ,X300003.SZ,X000050.SZ,X000800.SZ,X002456.SZ,X000400.SZ,X300146.SZ,X600839.SH,X000977.SZ,X600060.SH,X002292.SZ,X002465.SZ,X600166.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0.114309219940546,0,0,0,0.140495435424732,0,0,0.132308444269791,0,0,0,0,0,0.0464876183907941,0,0,0.147202799228094,0,0.0855052848303136,0,0,0.1341700297264,0,0,0.0200756154737824,0,0,0,0,0,0,0,0,0,0,0,0,0.00473213906978417,-0.00151853439824875,0,0,0,0,0,0,0,0,0,0,-0.0149591705141338,0,0,0,0,0,0,0
X600519.SH,0,0,0.197232874621809,0,0,0,0,0,0.0952087440963506,0,0,0,0,0.09221661861852,0,0,0,0,0,0,0,0,0,0,-0.0404979940009222,0,0,0,0,0,0,0.0256175331377746,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135918658830329,0,0,0,0.0603967360031523,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0.00143333087344171,0,0.12431727581514,0,0.069935422225537,0,0.141906910051719,0,0.296017710879038,0,0,0,0,0,0,0,0,0,0,0,0.0951987686009984,0,0,0,0.0244048421523636,0,0,0,0,0,0,0.134665507585078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00506510109377098,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.198271736958407,0,0,0.0690229603608626,0,0.081367548596826,0,0,0.137536024354751,0,0,0,0.0238127304238638,0,0,0,0,0,0,0,0.0208747825725372,0,0,0,0,0,0,0.198029201046122,-0.0468396174978064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.102226908642648,0,0,0,0,0.0295272662736955,0,0,0.0335126373419573,0,0,0,0,0,0,0,0,0.206744737100065,0,0,0,0,0,0,0,0.210954668787375,0,0,0,0,0.03114476877699,0,0.0913400606831217,0,0.114403407915619,0,0,0,0,0,0,0,0,0,0.018543603590759,0,0,0,0,0,0,0
X002304.SZ,0,0,0.169166404130442,0,0,0,0.108734509499829,0,0.0210272953162578,0,0,0,0,0,0,0,0,0,0,0,-0.0709037456158391,0,0,0.145458315499001,0.0632522830154865,0,0.0256804980061857,0,0,0,0,0,0,0,0,0,0.223607876832336,0,0.145366158631632,0,-0.0898304563469693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0.172846513161165,0,0,0.0203259984467433,0,0,0.0101051798057891,0.0698617677863679,0.151392961151978,0,0,0.0514245594647554,0.125783826537765,0,0,0,0,0,0,0,0,0,0,0,0.0616702207836252,0,0,0,0.0119321362742438,0,0,0,0,0,0.0288607865228706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332146734700612,0,0,0,0,0,0,0
X000625.SZ,0,0,0.0655673425099542,0.024493381550808,0.151562062819966,0,0,0,0.0773083226616707,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.175382969299065,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128871802774048,-0.0185057356096569,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0.17668008118408,0,0,0.119346348018814,0.0295117676584885,0,0,0,0,0,0,0,0,0,0,0.0465654229238497,0,0.0861654009483684,0,0.251956922442394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238611425725493,0,0.0752874562055733,0,0,0,-0.000686390415567131,0,0,0,0,0,0,0
X600031.SH,0.0719141324397093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544926646270207,0,0,0,0,0,0,0.010994131960498,0,0,0,0,0.0684960733630973,0,0.11192350648885,0,0,0,0,0,0,0.0249836188713525,0,0,0,0,0,0.0204407301653564,0,0,0,0,0,0,0.151513520542525,0,0,0,0,0,0,0,0,0,0
