,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002236.SZ,X000568.SZ,X600271.SH,X600031.SH,X000100.SZ,X600118.SH,X002241.SZ,X600177.SH,X002292.SZ,X000338.SZ,X600372.SH,X002475.SZ,X002007.SZ,X002456.SZ,X000559.SZ,X000157.SZ,X002074.SZ,X300003.SZ,X600522.SH,X002506.SZ,X002180.SZ,X600867.SH,X002426.SZ,X002294.SZ,X300124.SZ,X002085.SZ,X600089.SH,X002508.SZ,X601877.SH,X000869.SZ,X000981.SZ,X600498.SH,X000050.SZ,X002465.SZ,X002249.SZ,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.386515519621529,0,0,0.132885303478597,0,0,0,0.0283677653385228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822150712351243,0,0,0,0,0,0,0,0.0286076770382176,0,0,0,0.0385831700178874,0.0325771986160457,0,0,0,0.156342270270702,0,0,0.0105478099928219,0,0,0,0,0.0429089932161055,0,0,0,0,0,0,0
X600104.SH,0.209072976769062,0,0,0,0,0,0,0.205815337328575,0,0,0.056226323169449,0,0,0,0,0,0,0,0,0,0.0291904569555961,0,0,0,0,0,0,0,0,0,0,0,-0.0135531517917062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506421657305784,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0283495992206267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0983265999366791,0.0837778328232594,0,0,0,0.0473634834482858,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0259432152220734,0,0.158746645146881,0,0.0973619484467955,0,0,0,0,0,0.0240651122105377,0,0,0,0,0,0,0
X000858.SZ,0.060347903388595,0,0,0,0.196275498206132,0,0,0,0.254639909000195,0,0,0,0,0,0.322273713530773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540739661704418,0,0,0,0,0,0,0,0,0,0,0,0,0.047659802703652,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.715644828335773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738399477826478,0,0,0,0,0,0,0,0,0.00136722798270433,0.0357412846594468,0,-0.0118707153877548,0,0,0,0,0,0.0337933467050986,0,0,0,0,0,0,0,0,0.0100672855317722,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0145217028232217,0,0,0,0,0.159176115021248,0,0,0,0.102282684207813,0.077497952544762,0.0178135389123012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395568986948072,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286871279324854,0,-0.032180316703225,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0.0150390461328642,0,0,0,0,0,0.0290014958678087,0,0,0.0160905677491288,0,0,0,0,0,0.129976293010238,0,0,0,0,0.0830355350167463,0,0,0,0,0,0,0,0,0,-0.0288604100865254,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.164890882795888,0,0,0,0,-0.0413231936491835,0,0,0,0,0,0,0
X000625.SZ,0,0.338768683655792,0,0,0,0,0,0,0,0,0,0,0.131009384204873,0.053136630214321,0,0.00581783919087597,0,0,0,0,0,0,0,0.0419711036211539,-0.0227881811354486,0,0,0,0,0,0,0.0195163938700348,0.0155825077588484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.0180927986375084,0.112104903345786,0,0,0,0,0,0.0380186485413724,0.0146676676175401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125587113115688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406047972174594,0,0,0,0.0473521152552316,0.106706923286241,0,0,0,0,0.00522124808690747,0.0387043555553983,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0483881192374717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117147716611495,0,0,0,0.0516939906901182,0,0,0.100383009958569,0.0321350641434113,0,0,0,0.059278858181299,0,0.0699979579736613,0,0,0,0,0,0,0,0,0,0.0798273445073265,0,0.00752694948476958,0,0,0,0,0,0,0,0,0,0,0,0
