,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X002236.SZ,X300003.SZ,X600031.SH,X000338.SZ,X601877.SH,X002008.SZ,X300124.SZ,X600809.SH,X002456.SZ,X600867.SH,X000625.SZ,X600066.SH,X600271.SH,X600487.SH,X002294.SZ,X000100.SZ,X000981.SZ,X600566.SH,X000596.SZ,X300142.SZ,X002241.SZ,X300136.SZ,X000661.SZ,X002508.SZ,X000050.SZ,X002180.SZ,X000157.SZ,X002007.SZ,X002038.SZ,X002179.SZ,X002049.SZ,X600522.SH,X600089.SH,X600177.SH,X000977.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.224567164006475,0.169370671060125,0,0,0,0,0,0.0480179255915615,0,0.0544926322452044,0,0,0,0,0,0,0,0.0355919657031676,0,0,0,0,0,0,0.0375254035463963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00702748404778191,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.396054735083337,0.0728854876182492,0,0,0,0,0,0,0,0,-0.202115389905794,0,0,0,0,0.0455209975730371,0,0,0,0.00394829946261122,0,0,0.0560461977893451,0,0,-0.0940866542452887,0,0,0,0,0,0,-0.0673690606206159,0.139417168454558,0,0,0,0,0,-0.00701659413596438,-0.0220701464163383,0,0.140938857726556,0,0,0,0
X002415.SZ,0.0586307177143115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665972481041091,0.00968709531047292,0,0,0,0.140150691596625,0,0,0,0,0,0,0,0.315244191633,0,0,0,0.151622636338375,0,0.0375628345844665,0.0949256542784299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00933545855958531,0,0,0,0,0,0
X000858.SZ,0.0957132936136389,0,0,0,0.0706095911960675,0,0,0,0,0.0807325840754015,0.561712228508989,0,0,0,0.0194510939696931,0,0,0,0,0,0,0,0,-0.0309190115328248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140123761359849,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.273227646033061,0,0,0,0,0,0.459664766628692,0,0.0425076519413743,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382428910667814,0.0551888463094894,0,0,0,0,0,0,0.129807563391747,0,0,-0.0916114301582509,0,0,0.0170907876496214,0.0541552021362148,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.120930284118756,-5.42101086242752e-20,0,0,0,0.413783694671242,0,0,0,0,0,0.127897793429484,0,0,0,0,-0.0429731623417174,0,0,0,0,0,0,0,0,0,0.123936673853559,0,0,0,0,0,0.052021831545749,0,0,0.0293396781669054,0,0,0,0,0,-0.0399508645730779,0,0,0,0,0,0,0
X002304.SZ,0,0,0.17259166999323,0,0,0,0,0,0,0,0.0600131187664242,0,0.0213727470782837,0,0.00738831238429959,0,0,0,0,0,0,0.12651365760318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663541463725434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239080065801829,-0.0168932565497517,0,0,0,0,0,0
X000725.SZ,0,0,0.152088628764394,0,0,0,0,0,0.0363658362195994,0,0,0,0,0,0,0,0,0.17258747269897,0,0,0,0,0,0,0,0,0,0.265720109583441,0,0,0,0,0,0,0,0,0,0.0134367884241016,0.00437405287545316,0,0,0,0,0,0,0,0,0,-0.00309857505030057,0,0,0,0.0507174954326103,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.098409283836326,0,0,0,0,0,0,0,0,0,0,0,0,0.0732851549046121,0,0,0,0,0,0,0.106954613262658,0,0,0,0.0511187842666032,0,0,0,0,0,0,0.0342434893528327,0.0379562563804485,0,0,0,0,0.107899006912438,0,0,0,0,0,0,0.0222657040244333,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.347327591256254,0.0601500107599826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167628555692731,-0.0202498644361487,0,0,0,0,0,0
