,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000568.SZ,X600031.SH,X000651.SZ,X002475.SZ,X600809.SH,X002304.SZ,X600690.SH,X600104.SH,X000725.SZ,X000661.SZ,X000338.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X003816.SZ,X000157.SZ,X000100.SZ,X600703.SH,X000596.SZ,X002241.SZ,X000625.SZ,X002371.SZ,X600741.SH,X002007.SZ,X002179.SZ,X002129.SZ,X601877.SH,X300142.SZ,X002049.SZ,X002236.SZ,X002414.SZ,X600584.SH,X601799.SH,X000799.SZ,X300003.SZ,X600183.SH,X600089.SH,X002074.SZ,X002008.SZ,X000800.SZ,X000066.SZ,X000977.SZ,X600779.SH,X002294.SZ,X002508.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.110542454838842,0,0,0.0995693316632813,0,0,0,0.127314922748311,0.0194895061197048,0,0,0,0,0,0,0,0,0,0,0.0605211406110173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178518531941969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177099983806479,0,0,0,-2.16840434497101e-19,0,0
X000858.SZ,0,0,0,0,0.356313831606108,0,0,0,0.108276426472102,0.0421637030693396,0,0,0,0.00393245179181968,0,0,0,0,0,0.00338331542185148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136083261469463,0,0,0,0.014629751221225,0,0,0,0,0,0,0,0,0,-0.0132722551889452,-0.00891675487136228,0,0,0,0,0,0
X600276.SH,0,0,0,0.13744211337618,0,0.0908031875735442,0,0,0,0,0,0,0,0.0311722390702087,0,0,0,0,0,0.028723153049455,0,0,0,0,0,-0.0299693682556305,0,0,0.0643749799011024,0,0,2.71050543121376e-20,0,0,0,-0.0301754693560271,0,0,0,0,0.0174492139096482,0,0,0,0,0,-8.67361737988404e-19,0.0402309535446474,0,0,0,-0.00494576872640352,0.00653940310558121,0,0,0,-0.0226523854518903,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0674048671972295,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0327238917460997,0,0,0.0201818772622798,0.516013015432703,0,0,0,0,0,0,0,0.0305087089122607,0,0,0,0,0,0,0,0,0,-0.0078677320205044,0,0,0,0,-0.0149509773274665,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0.248222040748867,0.0207646181721054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179630067507207,0,0,0,0.037072458722116,0,0,0,0,0.0435183482733179,0,0,0,0,0,-0.0230060812206661,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.0684840990044128,0.196034746863364,0,0,0,0,0,0,0,0,0.188010148454372,0.0367346955008964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10660342102877,0,0,0,0,0,0,0,0,0,-0.0260799075051729,0,0,0,0,0.00126566301275063,0,0
X000651.SZ,0,0,0,0,0.119160179429132,0,0,0,0,0,0.123721695092404,0,0,0,0,-0.0966498565313191,0,0,0,0.106901432479683,0,0,0,-0.0672807558624304,0,0,0,0,0,0.249916139381717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0291985883607741,0,0,-0.0618736209923815,0,0,0,0.0148756276563576,-0.0155542691649976,0,0,0,-0.0152299671227994,0,0
X002475.SZ,0,0,0.181709220282776,0,0,0.0614873955020035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643043907534376,0,0.439549078685672,-0.00236729936920409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213589682212031,-0.14868301261337,0,0,0,0,0,0,0,0,0,0,-0.0187466114292781,0,0,0,0,0.00838846895228591,0,0
X600809.SH,0,0.185616351897606,0,0,0,0.043807774541798,0,0,0,0,0.172509539249835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.231915741345674,0,0.0569498897572263,0.0250520795730809,0,0,0,0,0,0,0,0.0404976889879142,0,0.112900253987709,0,0,-0.0202180966386291,-0.0180905428735587,0,0,0,0.00944967684528271,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.273968801506851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148676691836829,0,0,0,0,0.0506407200779301,0.0102324844874263,-0.0481299904418006,0,0,0,0,0,0,0,-0.0418006021307959,0,0,0,0,0.025409302957945,0,0
