,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X002475.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X600183.SH,X000596.SZ,X600703.SH,X002236.SZ,X002241.SZ,X000100.SZ,X601877.SH,X300003.SZ,X002007.SZ,X000157.SZ,X002463.SZ,X002179.SZ,X300142.SZ,X600271.SH,X300124.SZ,X000625.SZ,X002008.SZ,X600867.SH,X000066.SZ,X002129.SZ,X300014.SZ,X300136.SZ,X002049.SZ,X600498.SH,X000977.SZ,X600177.SH,X600066.SH,X002506.SZ,X002371.SZ,X300146.SZ,X002456.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.263892818779925,0,0,0.0760533216434772,0,0,0,0.0580628601863026,0,0,0.115444059916831,0,0,0,-0.0192880901460998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160968580663643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.0300746788165506,0,0,0,0,0,0,0.0180428070751215,2.71050543121376e-20,0,0,0.369425023707966,0,0,0,0,0.288341578183965,0,0,0,0,0,0,0,0,0,0,0,-0.0458609355343449,0,0,0,0,0,0,0,0,0.0407059665806901,0,0,0,0,0,0,0,0,0.0617535743743683,0,0,0,0,0.000141036914062207,0,0,0,0,0,0,0
X600276.SH,0.0128949753680978,0,0,0,0,0,0,0,0.111953362236762,0,0,0.217768617100634,0,0,0,0.0697613571661287,0,0.0626480446934268,0,0,0,0,0,0,0,0,0,0,-0.00629063323994385,0,0,0,0,0,0,0.091798022879317,-0.013015026001676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513341353917691,0,-0.0265065668693493,0,0,0,0.0177492882645309,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561445216317697,0,-0.014675186140192,0,0,0.106845038988747,0,0,0,0,0.0545732692464091,0,-0.0107427159492173,0,0,0,0,0,0,0,0.0854861805136626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0041851254176285,-0.00331636049965158,0,0,0,0.0185834636449604,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.173212605713753,0,0,0,0.0816756097394448,0,0,0,0,0,0,0,0,0.185854078088434,0.169253107580085,0,0.00385251173567117,0,0,0,0,0,0,0,0,0,0,0,0,0.070438561333852,0,0,0.0450777267119302,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,-0.0069199285777526,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711445212128954,0.249378399171548,0,0,-0.0346437899653772,0,0,0,0,0,0.0904813666392334,0,0,0,0,0,0,0,0,0.109858934774055,0.0143521932805154,-4.33680868994202e-19,0,0,0,0,0,0,0.0126867848806744,0,0,0,0,0,0,0,0,-0.00536913422478758,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00299749008246364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162737478990037,-0.00620354811491545,0,0,0,0.152914586054955,0,0
X002304.SZ,0,0,0.0366972657978538,0,0,0,0.142810136240387,0,0,0,0,0.235759782782122,0,0,0,0.0463616648057466,0,0,0,0.128906594647348,0,0,0.0437538312927394,0,0,0,0,0,0,0,0,0,0,0,0.0814904939358659,0.039095439662888,-0.0576878593576843,-0.0381991500980235,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0439142270537195,0.0920627331323184,0,0,0,0,0,0
X002475.SZ,0,0.164331819369507,0,0,0.088893203100264,0,0,0,0,0,0.0317535364392595,0,0,0,0,0,0,0,0,0,0,0.153372666643713,0,0,0,0,0,0,0,0,0,0,0,0,0.0813063513143092,0,0,0.0130749207479212,0,0.14268578819382,2.16840434497101e-19,0,0,0,0,0,0.00951929675088235,0,-4.33680868994202e-19,0,0,0.00739303642236289,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.244635767605169,0,0,0,0,0,0,0,0,0,0,0,0.0991761588929391,0,0,0,0,0.0280777021808674,0,0,0,0,0,0,0,0,0,0,0,0,0.0846305176028032,0,0,0,0,0,0,0,0.0144006816043932,0,0,0,0,0,0,0.035768796571233,0,0,0.0121593440645298,0,0,0,0,0,0
