,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X600031.SH,X000568.SZ,X002304.SZ,X000725.SZ,X600809.SH,X000063.SZ,X003816.SZ,X000661.SZ,X600690.SH,X002241.SZ,X000338.SZ,X600703.SH,X000596.SZ,X300124.SZ,X000100.SZ,X300014.SZ,X600741.SH,X002007.SZ,X300142.SZ,X002371.SZ,X000625.SZ,X002129.SZ,X002049.SZ,X000800.SZ,X601877.SH,X000157.SZ,X002236.SZ,X002414.SZ,X300003.SZ,X600584.SH,X600183.SH,X300136.SZ,X000066.SZ,X002179.SZ,X000977.SZ,X601799.SH,X002456.SZ,X600118.SH,X002185.SZ,X002008.SZ,X000050.SZ,X002294.SZ,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0.217296587985018,0,0,0.250321765439698,0,0,0,0,0,0,0.0213157422345141,0,0,0,0,0,0,0,0,0,0,0.0270507704306386,0,0,0,0.0165116432591884,0,0,0.0307237591325757,0,0,0,0,0,0,0,0,0.0357193143285883,0,0,0.083147477204761,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.156923248605428,0,0,0.307599467948679,0,0,0,0,0,0,0,0.0940417020092069,0,0,0,0,0,0.00423503261791166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894660759034856,0,0,0,0,0.0203825806625028,0,0,0,0.0207400381485953,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0836573267820994,0,0,0.0442474722866704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151799099384246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18300347044047,0,0,0,0.00536442374772033,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350475576498984,0,0,0,0,0.0477809227721058,0,0,0,0,0.0171884140694456,0,0.0304065779657072,0,0,0,0,0,0,0,0.0276984243997227,0,0,0,0,0,0,0,0.0242570721154675,0.113780359744503,0,0.0902128413048851,0.11150587448708,0,0,0.00269000574227552,-0.00619375523409249,0,0,0,0,0,0
X002415.SZ,0,0,0,0.00485744959435046,0,0,0,0,0,0,0,0,0,0,0,0.04231353210983,0,0,0,0,0,0.0527996584328462,0,0,0,0,0,0,0,0.0767317035588211,0,0,0,0.241803634563887,0,0,0,0,0.070891613410611,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0044118734170057,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0760667613002906,0.0963114817783271,0,0,0,0,0,0.152056414956319,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066581459392861,0,0,0,0,0.023737277279534,0.00219287823485186,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.170331913003471,0,0,0,0,-0.0358346279131193,-0.000118835154298671,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541325514834099,0,0,0,0,0,0,0,0,0,0,0,0,0.0726677676041201,0,0,0.054090817565267,0,0,0,0.0477590791673414,0,0.130821298996387,0,0,0,0,0,0.0809683046372829,0,0,0,0,0,-0.00158266052786302,0.00821537074632363,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.00272078570972142,0,0,0,0,0,0,0,0.316408862564587,0,0.0927878273399167,0,0,0,0,0,0,0,0,0.00706273685181625,0,0,0,0.162189808302184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000152304786914643,0.0327503849822973,0,0,0,0,0,0
X000568.SZ,0,0.483983655513147,0,0,0,0,0,0,0,0.165472621775834,0,0.0461630765443268,0,0,0,0,0,0,0,0.0406164630137056,0,0,0,0,0.0502879522039841,0,0,0,0,0,0,0,0,0,0,0,0.060901668771789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00151026931532225,0.0109657154441089,0,0,0,0,0,0
X002304.SZ,0,0.298129151520442,0,0,0,0,0,0,0.339993535850255,0,0,0.0325664102169108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290102735439417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.00117493499062167,0.00963698606312129,0,0,0,0,0,0
