,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X600104.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600031.SH,X002475.SZ,X600690.SH,X000338.SZ,X600741.SH,X000596.SZ,X600809.SH,X000661.SZ,X601877.SH,X000157.SZ,X600703.SH,X002236.SZ,X000100.SZ,X600183.SH,X300003.SZ,X300142.SZ,X600271.SH,X002007.SZ,X300124.SZ,X002179.SZ,X000625.SZ,X002241.SZ,X600498.SH,X002506.SZ,X600177.SH,X002129.SZ,X600867.SH,X002049.SZ,X600487.SH,X300014.SZ,X000050.SZ,X300146.SZ,X600066.SH,X002008.SZ,X002371.SZ,X002463.SZ,X300136.SZ,X000977.SZ,X000066.SZ,X600522.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.104903751191975,0,0,0,0.130697452305143,0,0,0,0,0,0,0,0,0,0.136742247878143,0,0,0,0,0.0250548967085365,0.0123792144472962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143620626780172,0,0,0,0,0,0,-0.0133818318963635,0,0,0,0,0.088391713570343,0,0
X000858.SZ,0,0,0,0,0,0,0.189105375324109,0,0,0.199863292992323,0,0.0747355556541025,0,0.137977027602847,0,0.161943632572616,0.00915383126022224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0270393632807426,0,0,0,0,0,0,-0.00759407931325028,0,0,0,0,0,0,0
X000651.SZ,0,0.24039664446398,0,0,0,0,0.00228768381474298,0,0,0,0,0.155032316014784,0,0,0.0659283536039661,0,0,0.0814444383323683,0,0,0,0,0,-0.0166665871420981,0,0.0524022893403125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433176256070059,0,0,0,0,0.0212634673339641,0,0,0.0157699325119431,0.0171171855512026,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.254216733342932,0,0,0,0,0,0.178180884802742,0,0,0,0,0,0,0,0.0253055845438164,0,0,0,0,0,0,0,0,0,0,0.00498315210783965,0,0,0.0294038574899815,0,0.119832963479617,0,0,0,0,0,0,0,0,0,-0.0117219136442131,-0.0251593003656891,0,0,0,0.00249515581746094,0,0
X600104.SH,0,0,0,0,0,0.0492095757743871,0,0,0,0,0,0,0,0,0.152921972259428,0,0,0,0,0,0,0,0,-0.0492330458997361,0,0,0,0,0,0,0.268133212492126,0,0,0,0,0,0,0,0.00997685704468778,0.0605730798660024,0,0,0,0,0,0,0,0.0683965494685105,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.135780329325427,0,0,0,0,0,0,0,0,0,0.600841578403847,0,0,0,0,0,0,0,0,0,0.16326667591361,0,0,0,0.137369926238875,0.0416264809845069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00160387327227128,2.16840434497101e-19,0,0,0,0.0947628857825219,0,0
X002304.SZ,0,0.202233217222285,0,0,0,0.0790963935854247,0,0,0,0.123857544138555,0,0,0,0,0.0934814595484747,0.0127840858140314,0.140513025203715,0,0,0,-0.0407310758880729,0,0,0,0,0,0,0,0,0,0,0,0,-0.10074610893808,0,0,0,0,0,0.0115214041598964,0,0,0,0.0753369320312272,0.0200716496606449,0,0,0,-0.00690355663645419,0,0,0,0.0513914533764237,0,0,0,0.00417856815255023,0,0
X000725.SZ,0,0,0,0,0,0.161627390570029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289983794147692,0,0.0353227553852799,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0410900141241401,0,0,0,0.399616703630598,0,0,0,0.0128893066595108,0.0583763339330034,8.67361737988404e-19,0,0.0424742765946035,0,0,-0.00300597531045661,0.068844890413209,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.149988068915893,0,0,0,0,0,0,0,0,0,0,0,0.0348994529823631,0,0,0,0,0,0,0,0.0335266920777345,0,0,0,0,0,0,0,0,0,0,0,0.148064129271497,0,0.0932323166052974,0.163070466769726,0,0.113393017079555,0,0,0.00463516870596106,0,0,0,0,0.00308128520862088,0,0
X000568.SZ,0,0.447312461271587,0,0,0,0.0056704119527832,0,-0.035468091724514,-2.16840434497101e-19,0,0.0212684662868329,0.064135566589406,0,0,0,0,0.192652015170835,0.0897678490946763,0,0,0,0.0926461464212053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00987332174153465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
