,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X600690.SH,X002415.SZ,X000651.SZ,X600809.SH,X002371.SZ,X003816.SZ,X000568.SZ,X300124.SZ,X000725.SZ,X600104.SH,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X002179.SZ,X002463.SZ,X000100.SZ,X002241.SZ,X600584.SH,X600089.SH,X600703.SH,X000977.SZ,X600418.SH,X600372.SH,X002049.SZ,X000157.SZ,X002028.SZ,X600066.SH,X002236.SZ,X600741.SH,X600522.SH,X600183.SH,X601877.SH,X000661.SZ,X600460.SH,X002180.SZ,X000921.SZ,X601799.SH,X600487.SH,X002074.SZ,X000800.SZ,X002129.SZ,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.388187110720411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22968209947764,0,0,0,0,0,0,0.00158571025849437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105317372999062,0,0.0244909941381761,-0.124883804948986,-0.0316446880616444,0,0,0,0,0
X000858.SZ,0.148722156137126,0,0.0844160108244762,0,0,0,0,0.27324443943578,0,0,0,0,0,0,0,0,0,0.308683424922176,0,0.0160478701690521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0692902180971279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.0413197399475632,0,0,0,0.0175453483629078,0,0,0,0,0,0.0757822918807807,0,0,0,0,0.0604336952023207,0,0,0,0.0197952864707075,0,0,0,0,0,0,0,0,-0.065921850243664,0,0,0,0,0,0,0.178289244727384,0,0,0,0.15221410126139,-0.0332311679639093,0,0,0,0,0,0,0.167690257035832,0.174150330066208,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0111668067988623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892648310324975,0,0.672934989755264,0.0827885640153221,0,0,0,0.0468161353307114,0,0,0,0,0,0,0,0,0,0,0,-0.0805074577844573,0,0,0,0.213699707671257,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.297730066060028,0,0,0,0,0,0.0831241941798969,0,0,0,0,0,0.0232848263786207,0.0586393154486229,0.0199373411306826,0,0,0,0,0,0,0,0,0.0486921944547735,0,0,0,0,0,0,0,0,0,0,0,-0.00118142960239004,0,0.183370198963321,0,0,0,0,0,0,0,-0.0240503690524637,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00534131902655691,0.127115256221822,0,0,0,0.16817542610017,0,0,0,0,0,0,0.0412417980088513,0,0,0,0.106630475454783,0,0,0,0,0,0,0,0.0836291143177114,0.0594855879375719,0,0,0,0.00813454140601367,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.161941864902614,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0612657236221769,0,0.0369852304383252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00991110476007918,0,0,0,0,0,0,-0.127966186384034,0,0.285590282480009,0,0,0,0,0,0,0,0,-0.0380741207481692,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0.0609887679420404,0.626679606295142,0,0,0,0,0,0,0,0,0.198997152877548,0.0176674205410356,0,0,0,0,0,0,0,0,0.0440053589582166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0.0898856473101211,0,0,0,0.130170245801084,0,0,0,0.137149510838867,0,0,0,-0.0418293853475787,-0.100668737868567,0,0,0,0,0,0.0270731667030626,0,0,0.0454366211903992,0,0,0,0.0778672117031755,0,0,0,0,0.227838906825027,0,0,0.0715958662178185,0,0,0,0.149983048651639,0,0,0,0,0,0,0,0,0.0556107350653376,0,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.215035393503961,0,0.272513099191278,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.299852572210909,0,0,0,-0.482644319418614,0,0,0,0,0,0,0,-0.0258750286558733,-0.00271611521900369,-0.0697199776717698,-0.171004441992083,-0.0635475681254402,0,0,0,0,0,0,0,0.045770713759912,0,0,0,0,0
X000568.SZ,-3.46944695195361e-18,0,0,0,0,0,0,0.24156751966034,0,0,0,0,0,0,0,0,0,0.168945837963722,0,0.463692244346156,0,0,0,0,0,0.0934829989947261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173214918233007,0,-0.00910203297118892,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971662735801735,0,0,0,0,0,0,0.103697716387465,0.555867356141411,0,0.128342702690798,0,0,0,0,0,0,0,0,0.0143146324435274,0,0,0,0,0.0521850519117201,0,0.0599284502032133,0.332753671544722,0,0,0,0,0.061958822746144,0,0,0,0,0,-0.163572894835604,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0483874994602867,0,0,0,0,0,0,0,0.0405532656011609,0.00236474967414053,0,0,0.553949106885546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488224312545085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0210018280918035,0.197878793222796,0.0412543786810791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159053890033192,0,0,0,0,0,0,0,0.0240949145686324,0,0,0.0922261619253779,0,0,0,0,0,0.0180618791297366,0.0163509880642939,0.0234534162546612,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209719391095334,0,0,0.0698779977578119,0.00266228517833557,0,0.00893600126801025,0,0.0815979989405624,0.00155911863594245,0,0,0.177627196554647,0,0,0.0238330717723743,0.119152587108569,0,0,0.199285953667113,0,0,0.0219804392910003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314321016009465,0,0,0,0,0,0
