,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600741.SH,X600066.SH,X600271.SH,X000100.SZ,X002292.SZ,X002236.SZ,X000568.SZ,X002241.SZ,X600118.SH,X600031.SH,X600372.SH,X600177.SH,X000559.SZ,X002506.SZ,X002456.SZ,X002475.SZ,X000338.SZ,X002007.SZ,X002074.SZ,X300003.SZ,X000157.SZ,X002426.SZ,X600522.SH,X002180.SZ,X300124.SZ,X000050.SZ,X000981.SZ,X002085.SZ,X002294.SZ,X601877.SH,X600867.SH,X002249.SZ,X002508.SZ,X600089.SH,X000869.SZ,X600498.SH,X002465.SZ,X600435.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0252179173087942,0,0.0937878060461836,0,0,0,0.335320743722296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0659134866300749,0,-0.103443209481514,0,0,0,0.0326562267773711,0,0,0,0,0.0251030813589059,0.131884455712908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321714503811519,0,0,0,0,0,0,0
X600104.SH,0.173378052132481,0,0,0,0,0,0,0.190444404273515,0,0,0,0.10495687253167,0,0,0,0,0,0,0,0,0,0,0,0,-0.0915262704318654,0,0,0,0,0,0,0,0,0,0.00751186757193955,0,0.0027289264440393,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365563718923433,-3.46944695195361e-18,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609596001655002,0,0,0,0,0,0,0,0.0237248768124779,0,0,0.03740746527104,0,0.0580727568414222,0.0943682399044603,0,0,0,0,0,0,0.0174684496778813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199602476462384,0.0267285082911054,0,0,0,0,0,0
X000858.SZ,0.252975351826844,0,0,0,0.239519552200835,0,0,0,0.186869821004142,0,0,0,0,0,0,0.0257172549165634,0,0.106047145792947,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.069784714092081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223766474770619,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.779148370479873,0,0,0,0,0,0,0,0,0.16064705449686,-0.0208685477021603,0,0,0,0,0,0,0,0,0,0,0,-0.0378050912702108,0,0,0,0.0119521377376325,0.0363761153918601,0,0,0,-0.0396849751790341,0,-0.0231341055373632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388807234765736,0.00600517138266472,0,0,0,0,0,0
X600276.SH,0,0,0.00819784552445174,0.0305387358399822,0,0,0,0,0.156408486136423,0,0,0,0.07532488321431,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149086527672068,0,0,0,0,0,0,0,0,0,-0.020999341660981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00626724518191552,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0358394425454993,0,0,0,0.104012869213918,0,0,0,0,0,0,0.10736957718414,0,0,0,0,0,0.226012531249488,0,0,0,0,0,0,0.0116258138627527,0,0.0446583129977271,0.0605589798167062,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436876513144386,0,0,0,0,0,0,0
X000625.SZ,0,0.115916445015615,0,0,0.028235578745845,0,0,0,0.0712489655899217,0,0,0.214682688329029,0,0,0,0,0,0,0.0275592228196484,0,0,0,0,0,0.0398014762468203,0,0,0,0,0,0,0,0,0.0374812235367917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459530705704924,0,0,0,0,0,0
X600690.SH,0,0,0.0696630969874848,0.106834398093374,0,0,0,0,0,0,0,0,0,0,0,0,0.0592447087667324,0,0,0,0,0,0,0.0795615332738593,0,0,0,0,0.119075449447487,0,0,0,0,0,0.0509428447177164,0,0.0253596420696997,0,0,0,0,0,0,0.0529603224224696,0,0,0,0,0.0453896765425917,0,0.0161298323671507,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.117510474256801,0,0,0,0.11801474866692,0,0,0,0,0,0,0.075294697076311,0,0,0.0221208276702903,0,0,0,0,0,0,0.102875607185702,0,0,0,0,0,0,0.0358900169035474,0.0302621743812696,0.0305905371615922,0,0,0.100348253255953,0,0,0,0,0,0.0365325573621263,0,0,0,0,0.00846383872910928,0,0,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0.112499751384456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13601920294511,0,0,-0.0140500923143334,0,0,0,0,0.0441367495723808,-0.0507500334510295,0,0.0455270032999245,0,0,0,0.0633811146248897,0,0.0352050431940743,0,0,0,0,0,0,0,0,0,0,0,-0.0196076116208793,0.00172409048578653,0,0,0,0,0,0
X600741.SH,0,0,0.0723283826641921,0.0289194501271028,0.0643810346260554,0,0,0.160418927032563,0,0,0,0,0.0691630958533816,0,0,0,0,0.00549666235928594,0,0,0,0,0,0.0291704463214646,0,-8.67361737988404e-19,0,0,0,0.0831593506876598,0,0,0,0,0.0350647518722665,0,0.0620417490231574,0.0130946908041476,0,0,0,0,0,0,0,0,0,0,0.080800847124328,0,0.0152453213210681,0,0,0,0,0,0,0
X600066.SH,0,0,0,0.00652094620452533,0,0.0286787237662191,0,0,0.075210332789429,0,0,0,0,0,0,0,0,0.0589116863859062,0,0,0,0,0,0.118656653970505,-0.121570224209546,0,0,0,-0.107370399084111,0,0,0,0,0,0,0,0.0293538565191265,-0.153406432688076,0,0,0,0,0,0,0,0,0,0,0.108393565731513,0,0,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264463878117331,0,0,0,0,0,0.121946721159817,0,0.0325907724250772,0,0.0111716517811384,0,0,0.0635823252671223,0,0,0,0,0.0505495040694326,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.132651021545861,0,-0.0463631720550796,0.0262506618835444,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0.105547888792472,0,0,0,0,0,0,0,0,0,0,0,0,0.1749795419732,0,0,0,0.095364057183234,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0.024102051712633,0,0,0,0,0,0,0,0,0,0,0.0475356918319974,0,0,0,0,0,0,0,0,0
