,X600519.SH,X000858.SZ,X000568.SZ,X600809.SH,X002415.SZ,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X600104.SH,X300014.SZ,X000725.SZ,X600031.SH,X000596.SZ,X003816.SZ,X000063.SZ,X002129.SZ,X000625.SZ,X002371.SZ,X000338.SZ,X600703.SH,X002049.SZ,X002179.SZ,X000661.SZ,X600089.SH,X002180.SZ,X000100.SZ,X002241.SZ,X600702.SH,X601877.SH,X300142.SZ,X600741.SH,X000157.SZ,X000733.SZ,X000977.SZ,X002074.SZ,X000799.SZ,X600522.SH,X600460.SH,X600584.SH,X300003.SZ,X000066.SZ,X600779.SH,X002294.SZ,X002236.SZ,X600884.SH,X600183.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0154328812414809,0.106005731955752,0.230241995314332,0,0,0.033283337937351,0,0,0,0,0,0,0,0,0.0812899300825627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165828043123959,0,0.036147899869191,0,0,0,0,0,0.0638652484317033,0,0,0,0,0,0,0.0100999882755444,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0514047030712666,0.19575115842425,0.102189541981399,0,0.50644691544823,0.106297317062025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815429783366582,0,0,0,0,0,0,0,0,0,0,0,0,-0.0307395442981985,0.00622576210856588,0,0,0,0,0,0
X000568.SZ,0,0.606118415832927,0,0.088639492613971,0,0,0.160060193415176,0.0836716076149931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05389971076567,0,0,0,-0.035618325494783,0.0690381257461467,0,0,-0.0830216677417096,0,0,0,0.00931766657956101,-0.00936736421428701,0,0,0,0,0,0
X600809.SH,0,0,0.266326547637258,0,0,0,0.126205329027683,0,0,0,0,0,0,0,0,0.102455415761663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202036358671579,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0123007724168594,0,0,0,0,0,0,0
X002415.SZ,0,0.222633615523295,0,0,0,0,0,0,0,0,0,0,0.0797065000189704,0,0,0,0,0.0368658464365368,0,0,0.0634804737597527,0,0,0.0217399440846213,0,0,0,0,0,0,-0.0735300757072557,0,0.0583360691948359,0,-0.110426256969723,0,0.163781820498148,0,0,-0.0345051663461654,0,0,0,0,0,0,0,0,-0.0115175787109404,0,0,0,-0.0202682362744354,0,0,0,0,0,0
X600276.SH,0,0,0.0526418285428144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0123651353154025,0,0.0706411512585013,0,0,0,0,0.00673557279957243,0,0.0770730153533353,0,0,0,0.0558213810247881,0,0,0,0,0,0,0.084970637898415,0,0.0623175697444307,0,0,0,0,-0.0439714136201712,-0.0148151254876762,0,0,0,0,0,0,0
X002304.SZ,0,0.388072163288069,0.32536128532902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398410020175372,0,0,-0.0603697826095357,0,0,6.93889390390723e-18,-0.0958317475463845,0,0,0,0,0,0,0,-0.0168521146876446,0.00986093426542566,0,0,0,0,0,0
X600690.SH,0,0,0.12721318099151,0,0,0,0,0,0,0,0,0,0,0,0.153521656193139,0,0,0.023304554134445,0,0.038992488080771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170744186763387,0,0,0,0,0,0.0873306780159891,0,0,0,0,0,0,0,0.00541614328486866,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0744109541459503,0,0,0,0,0,0,0,0.0465868683345556,0,0.223704027142925,0,0.017014286051468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643666577269148,0,0,0,0,0,0,0,0,0,0,0,0,-0.0364747171472873,0,0,0,0,0,0
X000651.SZ,0,0.222104557242208,0.0723388914636674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308833623255014,0,0,0,-0.0107243921746034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
