,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600031.SH,X600741.SH,X600703.SH,X000568.SZ,X600066.SH,X002241.SZ,X002475.SZ,X600271.SH,X002236.SZ,X002456.SZ,X000338.SZ,X002085.SZ,X600118.SH,X000157.SZ,X600177.SH,X002292.SZ,X600372.SH,X000559.SZ,X300124.SZ,X600867.SH,X002007.SZ,X002180.SZ,X300003.SZ,X002294.SZ,X002506.SZ,X600089.SH,X600498.SH,X000981.SZ,X002074.SZ,X600522.SH,X601877.SH,X002426.SZ,X000550.SZ,X002508.SZ,X002465.SZ,X000050.SZ,X600566.SH,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.192627660754647,0,0,0,0,0,0,0,0,0,0,0,0,0.131355643980477,0,0.108088847172649,0,0,0,0.0122185742775783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160608668026839,0,-0.0389682514398165,0,0,0,0,-0.00891433690016357,0,0,0.0193217611919998,0.00747659776267885,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229755041930983,0,0,0.0312183196703711,0,0,0,0,0,0,0,0,0,0,0.16883254034434,0,0,0,0,0,0,0,0.126665952708008,0,0,0,0,-0.0724058869239261,0,0,0,-0.099110521847691,0,0,0,0.0198578476964863,0,0,0,0,0,0
X002415.SZ,0,-0.0177900156567552,0,-0.00552809786187363,0,0,0,0,0,0,0,0.12946944142112,0,0,-0.0315306666923907,0,0,0,0,0,0,0.10953085400066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100420144866185,0,0,0,0.0750990783992049,0,0.475083730539484,0,0,0,0,0,0,0.0143288480615203,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.0300275529266173,0,0,0,0,-0.0418132048183954,0,0,0,0,0.0682941214082631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609676633670346,0,0,0.189886637514411,0.0960986987952859,0.0336884863024751,0,0,0,0,0,0,-0.0529428259061374,0.0993010936724903,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.0937256969454119,0,0,0,0.214250849328149,0,0,0,0,0,0,0,0,0,0,0,0,0.165200127968746,0,0,0.0761598231382133,0.169049568662386,0,0,0,0,0,0.02348734030876,0.0366767493172734,0.0860566310589721,0.0633810541031509,0,0,0,0,0,0,0,0,0,0.00432091394543679,0.0139348106421429,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00947483156140547,0,0,0,0,0,0.0067149421540136,0,0,0,0,0,0,0,0,0.00591577679272397,0,0,0,0,0.168719068050085,0,0,0,-8.67361737988404e-19,0.0888045894799048,0,0.101175092359222,0,0,0,0,0,0.14736469512221,0,0,0,-0.00299781169961651,0,0,0,0,0,0
X002304.SZ,0.337340368783299,0,0,-0.0024894384714792,0.230708620097083,0,0,-0.0799334100045524,0,0,0,0,0,-0.0274989069242959,0,0,0,0,0,0,0,0,0,0,-0.00497449203231097,0,0,0,0,0.0538893844354479,0,0,0,0,0,0,0,0,0.00573426192057188,0,0,0,0,-0.0108118530568794,0,0,0,0.02337016918803,0.223750415392409,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.119501372906872,0,0,0,0,0,0,0,0,0.104114571210098,0,0.0811359129737211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543671053730133,0.0299998917985366,0,0,0,0,0.0917371051690599,0,0,0,0,0,0,-0.0323249181681252,-0.0134526600232861,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.113922805338313,0,0,0,0,0,0,0,0,0,0,0.0259006151231935,0.009535763959071,0.0454299360741077,0,0,0,0,0,0,0,0,0,0,0.0527950932365762,0,0,0,-0.0812956844486245,0,0,0,0,0.0261969369166818,0.0547431552989321,0,0,0.05915490040495,0.206523767267923,0,0,0,0,0,0,0,0.043833847143269,-0.00750936447176382,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0401963998685109,0,0,0,0.14897257761143,0,0,0,0.038342508642117,0,0,0.0637499603862302,0,0.0465049200434881,0,0,0,0,0.138041475836686,0,0,0,0,0,0,0.0362620689870212,0,0,0,0,0,0,0,0,0,-0.0467919402271297,0,0.048138615630839,0,0,0,0,0,0,0,0,0,-0.0640965587321282,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0.0639313323484789,0,0,0,0,0.0431044559847088,0,0,0,0,0,0,0,0,0.00107273074845745,0,0,0,0,0,0,0,0,0,0.245187489716276,0,0,0,0,0.0619259335200163,0,0,0,0,0,0,0,0,0,0.0156827023301291,0.0652886093430987,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.155969526130992,0,0,0,0,0,0,0.165203341348172,0,0,0,0,0,0,0,0.099101417886705,0,0,0.128279444178822,0,0.0702155378092698,0,0,0,0,0.041708271901598,0.0342287108217652,0.0619604157271201,-0.023277676362396,-0.0467082334889211,0,0,0,0,0,0,0,0,0,0,-0.0359390289451352,-0.0187747552333987,0,0,0,0,0,0
