,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600741.SH,X600703.SH,X000568.SZ,X002475.SZ,X600066.SH,X002241.SZ,X600031.SH,X000100.SZ,X002236.SZ,X002456.SZ,X600271.SH,X000338.SZ,X002085.SZ,X600118.SH,X600177.SH,X002292.SZ,X002180.SZ,X000157.SZ,X002007.SZ,X600867.SH,X600372.SH,X000559.SZ,X300124.SZ,X300003.SZ,X002294.SZ,X002074.SZ,X002506.SZ,X002426.SZ,X600498.SH,X600089.SH,X601877.SH,X600522.SH,X600566.SH,X002508.SZ,X002465.SZ,X000981.SZ,X000050.SZ,X000869.SZ,X300115.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.136205025023968,0,0,0,0,0,0.0167741278360509,0,0,0,0.0515597881598955,0,0.0967086282480876,0,0,0,0,0,0,0,0,0.0330225804065869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314553030879278,0,0,0.0805472336949482,-0.0282177941547687,0,0,0,0,0,0.0289903734250132,0,0.0333116660754425,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.0393195298865927,0,0,0,0,0,0,0,0.0264738892145295,0,0,0.0311918568787015,0,0,0,-0.0452330219565671,0,0.317583901346802,0.0107229007977802,0.129554378202411,0,4.33680868994202e-19,0,0,0,0.059112778471753,0,0,0,0,0,0.0424474874027562,0,0,0,0,0,0,0.144896391149434,0,0,0,0,0.0186945789494541,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369868134984664,0,0,0,0,0,0,0,0.0722299214099296,0,0,0,0,0.0063121612212208,0,0.0721424680271953,0,0,0,0,0,0,0,0,0,0.0179431388931428,0,0,0,0,0.515028680526978,0,0.024486996161035,0,0.0867266046446594,0.00352472104428448,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208730613524498,0,-0.122030384689986,0,0.0228060163735531,0,0,0,0,0.0668230572249804,0,0,0,0,0,0,0,0.0628739184940595,0.0171185336406751,0,0,0,0.120101852196705,0,0,0,0.180039531437056,0,0,0,0,0,-0.0898031770979397,0.0945787831218986,-0.063305416352374,0,0,0,0,0
X000858.SZ,0,0,0.103953982723088,0,0,0,0,0,0,0,0.107442840234755,0,0,0.242078053588157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122316083815637,0,0.0579705707626122,0,0.00749088289765876,0,0,0.193722693408495,0,0.0132260683954783,0.00661694172488936,0,0,0,0.0461140847427745,0,0,0,0,0.0671220386685838,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0738227414928637,0,0,0,0.232868448791608,0.150216434641391,0,0,0,0,0.0698976843913809,0,0,0,0,0,0,0,0,0,-0.0305096907643295,-0.0195237843675585,-0.0198230502385365,0,0,0,0,0
X002304.SZ,0.200876391483202,0,0,0,0.0764246017011603,0,0,0,0,0,0,0,-0.0529067117240599,0.0397005574713597,0,0,0,0,0,0,0,0,0,0.0404356703913041,0,0,0,0,0,0,0,0,0,0.0342897464013841,0,0,0,0,0,0,0,-0.0220331950650976,0.140913664152211,0,0,0,0,0,0.151746163827885,0,0,-0.0150529801114125,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546356245024165,0.107338476555186,0,0,0.026168274168694,0,0,0.0868628394322531,0,0,0.0628810137656788,0,0,0,0,0,0,0,0,0,0,0,0,0.0539643677409414,0,0,0,-0.00900783427533779,0,0,0,0,0,0.0252392110440519,0,-0.0947696203745511,0,0,0,0,0,0,0
X000625.SZ,-0.0612888671966224,0,0,0,0,0,0,0,0,0,0,0.102989026808806,0,0,2.71050543121376e-20,0.0335097617080676,0,0,0,0,0,0,0,0,0.155175955015989,0,0,0,0,0,0,0,0.0344944466818815,0,0,0,0,0,0.137832343406518,0,0,0,0,0,0.0926569395862503,0,0.0450639082369327,0,0,0.0480187790256009,0,0.035467690403108,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00586584001375684,0,0,0.0322947696684349,0,0,0,0,0,0.0991416696796901,0.108919192860076,0,0.153635847230857,0,0,0,0,0,0,0.0369719619021375,0,0,0,0,0,0,0.195561514180255,0,0,0.0457601230946762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
