,X600519.SH,X600104.SH,X000651.SZ,X000858.SZ,X002415.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X300003.SZ,X601877.SH,X600271.SH,X600487.SH,X002008.SZ,X002236.SZ,X300124.SZ,X000596.SZ,X002007.SZ,X000100.SZ,X002179.SZ,X600809.SH,X002456.SZ,X600867.SH,X000661.SZ,X600566.SH,X000625.SZ,X600498.SH,X600066.SH,X300142.SZ,X300146.SZ,X002294.SZ,X000157.SZ,X600177.SH,X002180.SZ,X002506.SZ,X000977.SZ,X600089.SH,X600372.SH,X002241.SZ,X000981.SZ,X600522.SH,X000050.SZ,X300136.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.428338896526428,0,0,0,0,0,0,0,0,0,0,0,0,0.13403598987576,0,0,0,0,0.00876648211711297,0,0.0443736225806443,0,0,0,0.0718132270684199,0,0,0,0,0,0.0671098470234262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00316189022572465,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.274290994763571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204478202733877,0,0,0,0,0,0,0,0,0.0216092484633005,0,0,0,0,0,0.215002191590385,0,0,0,0,0,0,0,0,0.00678397419485447,-0.0131524487613414,0,0,0,0,0,0
X000651.SZ,0.097801608355975,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.0155634657955326,0,0.204536441134705,0,0,0,0,0,0,0.0799032189851344,0.0167239770041214,0,0,0,0,0,0.175217472718358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00678329017971972,0.0140326084349046,0,0,0,0,0,0
X000858.SZ,0.134628240662461,0.101153073270275,0,0,0,0,0.101692568040766,0,0,0,0,0,0,0.262841390602497,0,0,0,0,0,0,0,0.0349218285189179,0,0.117810899661805,0,0,0,0.076157349096616,0,0,0,0,0,0,0,0,0,0.0490469751162367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00355739932711027,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.035040137929301,0,0,0,0.0160100697325364,0,0,0,0,0,0,0,0,0,0,0,0.616143771244738,0,0,0,0,0,0,0,0,0.00833869904478421,0,0,0.0891073580937238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159499569956806,0.0449400376084299,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.0249244256139976,0,0,0,0,0.327106953674157,0,0,0,0,0.114063513156216,0,0,0.0807186949820246,0,0,0,0,0,0.135184704428093,0.0101100507687956,0,0,0,0,0.168748452080352,0.117742910382816,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135972437197304,0.0242581249850614,0,0,0,0,0,0
X002304.SZ,0,0,0,0.552038881690188,0,0,0,0,0,0.127198215456202,0,0,0,0.258544943140193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159146068176426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00882577496717713,-0.00388073073743982,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451678997990298,0,0,0.132661547915772,0,0,0,0,0,0.271341800328166,0,0,0.0599852515071184,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.085807580636562,0,0,0,0.0475263690219085,0,0,0.335004962913531,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0.048502548162308,0,0,0,0,0,0,0,0,0,0,0,0,0.0529056800680541,0,0,0,0,0,0,0.109695583496866,0.159426003908967,0,0,0,0,0,0,0.086367335175861,0,0,0,0,0,0,0,0,0,0,0,0,0.0302684597191568,0,0,0,0,0,0,0,0,-0.00230616975624173,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0720090319645238,0,0,0,0,0,0,0.0488083436330361,0,0,0,0,0,0,0,0.456672337980791,0,0.0108741470887498,0,0,0,0,0,0,0.28863928237851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775339700318329,0,0,0.0220500902900149,0,0,0,0,0,0,0
