,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X000100.SZ,X600031.SH,X002506.SZ,X002292.SZ,X600066.SH,X002241.SZ,X002236.SZ,X600118.SH,X000157.SZ,X600741.SH,X002049.SZ,X000559.SZ,X002465.SZ,X002475.SZ,X000338.SZ,X600372.SH,X600089.SH,X000568.SZ,X300124.SZ,X600177.SH,X002294.SZ,X600498.SH,X600867.SH,X300003.SZ,X000869.SZ,X000977.SZ,X002074.SZ,X601877.SH,X002456.SZ,X600582.SH,X002426.SZ,X002129.SZ,X000550.SZ,X600584.SH,X002085.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105314833837254,0,0,0,0,0,0.00281747236824101,0,0,0,0,0,0,0,0.0721305398943908,0,0.0103282546072704,0.0584406395504102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173678823238147,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.273019797883304,0,0,0,0,0,0,0,0,0.027512277844848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994488295476027,0,0,0,0,0,0,0.0324537569101488,0.0120806338356702,0,0,0.0748878616818501,0,0,0,0,0,0,0,0.00585492999814781,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142699737352534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259199528367097,0,0.148578048227789,0,0,0,0.198067531779832,0,0,0,0,0,0.0587961185655706,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.039592360321245,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0742078576946717,0,0,0.0846531393124995,0,0,0.084475066237654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102921471330736,0,0.197477758388377,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0641500930206781,0,0.0298909068028437,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286657761267145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119821862248155,0,0,0.0285332714731447,0.0356266064560698,0,0,0.0513998097388917,0,0.014501827722533,0,0,0.104664064069951,0,0,0,0.187590298225327,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0654021445741683,0,0,0.0419613955551457,0.0552612105815416,0,0,0,0.135799118197945,0,0,0,0.0463583447711208,0,0,0,0.0192864983284206,0,0,0,0,0,0,0,0,0.107687978239211,0,0.0295467782299132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0.0367422871885942,0,0,0,0,0,0,0.133236447153853,0,0,0,0,0,0,0,0.045779780418774,0,0.0571188845963189,0,0,0,0,0,0,0,0,0,0.168240957684764,0,0.0779592586598643,0,0,0.0655833961880681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260416160853412,0.143516086277743,0,0,0,0,0,0,0,0,0,0.0421090763176492,0,0,0,0,0,0,0.0160366426863306,0,0,1.73472347597681e-18,0,0,0.0724880988263952,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.047711947441905,0,0,0,0,0,0,0,0,0,0,0.0106211399659591,0.0134214924394198,0,0,0,0,0,0,0,0.232343148752902,0,0,0,0,0,0,0,0,0,0,0,0,0.0288720418345544,0,0,0,0,0,0,0.0238487912479159,0.245180957294812,0,0,0.204963740754032,0,0,-0.0108764376959232,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.141358735792313,0,0,0,0,0,0,0,0,0.0966074003673868,0,0.020247861334263,0,0,0,0,0,0,0,0,0,0.000316015159317461,0.185826948899132,0.12947305773757,0,0,0,0,0,0,0,0,0,0.0824158317210953,0.108356120162276,0,0,0,0,0.0121572923779675,0,0,-0.00499794112866859,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188817749764939,0,0,0,0,0,0.0759988298553618,0,0,0,0,0,0,0.000958750295720639,0,0,0,0,0,0,0,0,0,0.135331100083216,0.0711094926563312,0.0223099684004301,0.0616238690912725,0,0,0,0,0,0,0,0,0,0,0,0,0
