,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000661.SZ,X600031.SH,X000063.SZ,X000568.SZ,X000725.SZ,X003816.SZ,X600809.SH,X000338.SZ,X002241.SZ,X600703.SH,X600690.SH,X300014.SZ,X300142.SZ,X002007.SZ,X000596.SZ,X002371.SZ,X300124.SZ,X000100.SZ,X002049.SZ,X300003.SZ,X600741.SH,X000157.SZ,X002129.SZ,X000800.SZ,X600584.SH,X002236.SZ,X002414.SZ,X600183.SH,X601877.SH,X000977.SZ,X000625.SZ,X000066.SZ,X002179.SZ,X300136.SZ,X002456.SZ,X002185.SZ,X002008.SZ,X002463.SZ,X601799.SH,X600118.SH,X002180.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0680198769711454,0,0,0,0,0,0.0473600245216652,0,0,0,0.0285978248273821,0,0,0,0,0.0412859565729774,0,0,0,0.0839195173049705,0,0.128828140866363,0,0,0,0.0251536559289248,0,0,0,0,0,0.0345948819946694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000722868180007517,-0.00107484639400473,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0931843859982212,0,0,0,0.211966848603867,0,0,0.245904523974613,0,0.0543548398644085,0,0,0,0.018569994302839,0,0.0484518443331702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0167042469600693,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.0525721227571575,0.0978827411418216,0,0.151486741439151,0,0,0.0724502155320858,0.0420084410174129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11020056264643,0,-0.0143262215293978,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291880794771543,0,0,0,0,0,0.0794472304891127,0,0,0,0.0500738400195496,0,0,0,0.0497933098450427,0,0.0922658483722522,0,0,0,0,0,0,0,0,0,0.0918898836052906,0.0112356671912826,0,0,0,0,0,0,0,0,-0.0344720100382636,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.159660175165646,0,0,0,0,0,0.0410051214072931,0,0,0,0,0,0,0,0,0,0.0808510797609411,0,0.0181553370433862,0,0,0,0,0.20504094878521,0,0,0,0,0,0.0346315099797646,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148227891350094,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0136648215649435,0,0,0,0,0,0,0,0,0,0.0628405991668691,0,0,0.0357015191031296,0,0.0734242623240958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380989955204052,0,0.0226488404937806,0,0,0,0,0,0,0.0241601495888369,-0.0238668078389142,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703678805634916,0,0.171611331038983,0,0,0,0,0.0989061762672667,0.00871856513434467,0,0,0.0452145981689432,0.0587450737266713,0,0,0,0,0,0,-0.0682847659981169,-0.00937895900137019,0,0,0,0,0,0,0
X002304.SZ,0,0.195714679779422,0,0,0,0,0,0,0,0,0,0.430206514404336,0,0,0,0,0,0,0.0276832828249563,0,0,0,0.0973839294639679,0.0511200879534199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00931666207738567,0.00178548865050738,0,0,0,0,0,0
X000661.SZ,0,0,0.0676066085095305,0.0669587314646359,0,0,0,0,0,0,0,0,-0.102861462418051,0,0.120202162259664,0,0,0,0,0,0,0.1002926838728,0,0,0.035927819900486,0,0,0.114651416072984,0,0,0,0,0,0,0,0,0,0,0,0.100346413251374,0,0,0,0,0.0378425274316922,0,0.0691932438975361,0,-0.0112402770216884,0,0,0.0192432554859764,-0.0308843905267674,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.0523241319752357,0,0.0286507833220903,-0.0842781570305571,0,0,0,0,0,0,0.156299014268025,0,0,0,0,0,0,0.0797655713757695,0,0,0,0.22263648719008,0.0328522654706734,0,0,0,0,-0.0693424964876718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00544812838439697,-0.0287084675828305,0,0,0,0,0,0
