,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X003816.SZ,X002415.SZ,X000651.SZ,X600690.SH,X600809.SH,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X600031.SH,X002304.SZ,X000625.SZ,X000063.SZ,X000338.SZ,X300124.SZ,X000596.SZ,X002179.SZ,X000100.SZ,X002241.SZ,X300014.SZ,X600089.SH,X002463.SZ,X600372.SH,X000157.SZ,X600584.SH,X600703.SH,X002028.SZ,X600066.SH,X000977.SZ,X600741.SH,X600418.SH,X002236.SZ,X600183.SH,X600522.SH,X002049.SZ,X601877.SH,X000800.SZ,X600177.SH,X002180.SZ,X000921.SZ,X002294.SZ,X000661.SZ,X601799.SH,X002074.SZ,X002223.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002236.SZ,0,0,0,0.0509857205417264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608078945024692,0.18869709303705,0.0367554064672203,0,0,0,0.166329456500975,0,0.0311541403257956,0,0,0,0.0305438433180366,0,0,0,0,0,0,0,0,0,0.0427062393023476,0,0,0.050923925090699,0,0,0,0.207521180024034,0,0,0,0,0,0,-0.00393253004689267,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0806408861114983,0,0,0,0,0,0.0142254534315714,0,0.154839648394851,0,0,0.137978000290112,0,0,0,0,0,0.153803921306045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250120631534851,0,0,0,0,-2.71050543121376e-20,0,0
X600522.SH,0,0,0,0,0,0,0,0,-0.00431307966762173,0,0.0837583649467385,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.00409654797976074,0.228374488567686,0,0,0,0,-0.0302004450542626,0,0,0.311431421101545,0,0,0,0,0,0,-0.1943844224323,0,0,0,0,0,-0.00545961092997126,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452798190124125,0,0,0.0524738357277467,0,0,0,0,0.00690423845439522,0.488354155012971,0,0,0.225114572720054,0,0.061576161053553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0.103206616572256,0,0,0,0,0,0.055258551186676,0,0,0,0.0235949906370404,0,0,0,0,0,0,0.0564188338251749,0,0,0,0,0,0,0,0,0,0.0472950510414853,0,0,0.163424221194876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00830767644009459,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128731993767559,0,0,0,0,0,0,0.0398566327333321,0,0,0,0,0,0,0,0,0.0315158733862594,0,0,0,0.27961004784687,0,0,0,0,0,0,0,0.0567024407361484,0,0,0.0198178193316543,0,0,0,0,0,-0.0126481208319758,0,0,0,0.0252640740963679,0,0
X600177.SH,0,0,0,0,0,0,0,0,0.224881739450903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805455905099143,-0.0480921446149936,0,-0.00972540552270601,0,0,0,0.0365237003358611,0,0,0,0,0.00116524078195305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318384183355836,0,0.000567377054594089,-0.11813500628595,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.50232675555735,-0.0594811629045595,0,-0.0587807616794112,0,0,0,0,0,0,0.0697046190625975,0,0,0,0,0,0.0400875797773883,0,0,0,0,0,0.0858565212580014,0,0,0,0,0,0,0,0,-0.0210308347366033,0,0.105958802175862,-0.108743936780093,0,0,0.113385960526396,0.0159836294749046,0,0,0,0,0,-0.0024128007623572,0,0
X000921.SZ,0,0,0,0,0,0,0,0.448141500516196,0,0,0,0,0,0,0,0,0,0,0,0.318627435616607,0,0,0,0,0,0.148076349312169,0,0.105225828276191,0,0,0,0,0,0,0.00897312497682904,0,0,0,0,0,0,0,0,0,0.0326854963245948,0,0,0,0,0,-0.0380898824715872,0,0,0,0,0,0.0696557741376989,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0.0241863730799921,0,0,0,0,0,0,0,0,0,0,0.173527419278357,0,0,0,0,0,-0.079211751520223,0,0,0,0,0,0,0,0,0,0,0,-0.0204469643491109,0.253146706842775,0,0,0,0,0.0835018969964416,0,0,0,0,0,0,0,0,-0.0270023035979594,0,0,0,0,0,0
